event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e5,Control,navigate,26:01:01T08:00:00.00,26:01:01T08:00:13.68,r1,,,
e1,Control,navigate,26:01:01T08:00:00.00,26:01:01T08:00:47.57,r5,,,
e14,Control,navigate,26:01:01T08:00:10.00,26:01:01T08:00:35.33,r7,,,
e23,Control,navigate,26:01:01T08:00:10.00,26:01:01T08:01:19.31,r3,,,
e6,Control,enter_room,26:01:01T08:00:13.68,26:01:01T08:00:15.38,r1,,,
e7,Control,localize,26:01:01T08:00:15.38,26:01:01T08:00:17.36,r1,,,
e8,Control,clean_path,26:01:01T08:00:17.36,26:01:01T08:00:25.52,r1,,,
e9,Task,vacuum,26:01:01T08:00:25.52,26:01:01T08:00:48.17,r1,m1,m1_s2,t5
e15,Control,enter_room,26:01:01T08:00:35.33,26:01:01T08:00:37.36,r7,,,
e16,Control,localize,26:01:01T08:00:37.36,26:01:01T08:00:39.55,r7,,,
e17,Control,clean_path,26:01:01T08:00:39.55,26:01:01T08:00:46.59,r7,,,
e18,Task,vacuum,26:01:01T08:00:46.59,26:01:01T08:01:09.71,r7,m2,m2_s1,t11
e2,Control,enter_room,26:01:01T08:00:47.57,26:01:01T08:00:49.22,r5,,,
e68,Control,navigate,26:01:01T08:00:48.17,26:01:01T08:00:57.40,r4,,,
e10,Control,navigate,26:01:01T08:00:48.17,26:01:01T08:01:43.50,r1,,,
e3,Control,position,26:01:01T08:00:49.22,26:01:01T08:00:51.43,r5,,,
e4,Task,inspect,26:01:01T08:00:51.43,26:01:01T08:01:00.28,r5,m1,m1_s1,t1
e69,Control,position,26:01:01T08:00:57.40,26:01:01T08:00:59.15,r4,,,
e70,Task,empty_bin,26:01:01T08:00:59.15,26:01:01T08:01:08.95,r4,m1,m1_s2,t6
e19,Control,navigate,26:01:01T08:01:00.28,26:01:01T08:02:02.59,r5,,,
e103,Control,navigate,26:01:01T08:01:09.71,26:01:01T08:01:49.09,r4,,,
e32,Control,navigate,26:01:01T08:01:09.71,26:01:01T08:02:08.91,r7,,,
e24,Control,enter_room,26:01:01T08:01:19.31,26:01:01T08:01:21.33,r3,,,
e25,Control,localize,26:01:01T08:01:21.33,26:01:01T08:01:23.02,r3,,,
e26,Control,clean_path,26:01:01T08:01:23.02,26:01:01T08:01:30.14,r3,,,
e27,Task,vacuum,26:01:01T08:01:30.14,26:01:01T08:01:53.52,r3,m2,m2_s3,t17
e11,Control,enter_room,26:01:01T08:01:43.50,26:01:01T08:01:45.80,r1,,,
e12,Control,position,26:01:01T08:01:45.80,26:01:01T08:01:47.74,r1,,,
e13,Task,inspect,26:01:01T08:01:47.74,26:01:01T08:01:54.81,r1,m1,m1_s3,t7
e104,Control,position,26:01:01T08:01:49.09,26:01:01T08:01:51.48,r4,,,
e105,Task,empty_bin,26:01:01T08:01:51.48,26:01:01T08:02:01.71,r4,m2,m2_s1,t12
e41,Control,navigate,26:01:01T08:01:53.52,26:01:01T08:02:36.53,r3,,,
e28,Control,navigate,26:01:01T08:01:54.81,26:01:01T08:02:03.07,r1,,,
e174,Control,navigate,26:01:01T08:02:01.71,26:01:01T08:02:22.06,r4,,,
e20,Control,enter_room,26:01:01T08:02:02.59,26:01:01T08:02:04.99,r5,,,
e29,Control,enter_room,26:01:01T08:02:03.07,26:01:01T08:02:05.14,r1,,,
e21,Control,position,26:01:01T08:02:04.99,26:01:01T08:02:07.11,r5,,,
e30,Control,position,26:01:01T08:02:05.14,26:01:01T08:02:06.93,r1,,,
e31,Task,inspect,26:01:01T08:02:06.93,26:01:01T08:02:14.03,r1,m3,m3_s1,t19
e22,Task,inspect,26:01:01T08:02:07.11,26:01:01T08:02:14.91,r5,m2,m2_s2,t13
e33,Control,enter_room,26:01:01T08:02:08.91,26:01:01T08:02:10.57,r7,,,
e34,Control,localize,26:01:01T08:02:10.57,26:01:01T08:02:12.68,r7,,,
e35,Control,clean_path,26:01:01T08:02:12.68,26:01:01T08:02:19.81,r7,,,
e37,Control,navigate,26:01:01T08:02:14.03,26:01:01T08:02:52.67,r1,,,
e46,Control,navigate,26:01:01T08:02:14.91,26:01:01T08:02:39.67,r5,,,
e36,Task,vacuum,26:01:01T08:02:19.81,26:01:01T08:02:48.86,r7,m3,m3_s2,t23
e175,Control,position,26:01:01T08:02:22.06,26:01:01T08:02:24.31,r4,,,
e176,Task,empty_bin,26:01:01T08:02:24.31,26:01:01T08:02:33.51,r4,m2,m2_s3,t18
e42,Control,enter_room,26:01:01T08:02:36.53,26:01:01T08:02:38.66,r3,,,
e43,Control,localize,26:01:01T08:02:38.66,26:01:01T08:02:40.44,r3,,,
e47,Control,enter_room,26:01:01T08:02:39.67,26:01:01T08:02:41.73,r5,,,
e44,Control,clean_path,26:01:01T08:02:40.44,26:01:01T08:02:47.26,r3,,,
e48,Control,position,26:01:01T08:02:41.73,26:01:01T08:02:43.71,r5,,,
e49,Task,inspect,26:01:01T08:02:43.71,26:01:01T08:02:52.62,r5,m4,m4_s2,t31
e45,Task,vacuum,26:01:01T08:02:47.26,26:01:01T08:03:16.61,r3,m4,m4_s1,t29
e259,Control,navigate,26:01:01T08:02:48.86,26:01:01T08:03:08.27,r8,,,
e71,Control,navigate,26:01:01T08:02:48.86,26:01:01T08:03:55.92,r7,,,
e50,Control,navigate,26:01:01T08:02:52.62,26:01:01T08:02:56.81,r5,,,
e38,Control,enter_room,26:01:01T08:02:52.67,26:01:01T08:02:54.96,r1,,,
e39,Control,position,26:01:01T08:02:54.96,26:01:01T08:02:56.62,r1,,,
e40,Task,inspect,26:01:01T08:02:56.62,26:01:01T08:03:03.78,r1,m3,m3_s3,t25
e51,Control,enter_room,26:01:01T08:02:56.81,26:01:01T08:02:59.05,r5,,,
e52,Control,localize,26:01:01T08:02:59.05,26:01:01T08:03:00.80,r5,,,
e53,Control,clean_path,26:01:01T08:03:00.80,26:01:01T08:03:07.51,r5,,,
e64,Control,navigate,26:01:01T08:03:03.78,26:01:01T08:04:13.36,r1,,,
e54,Task,vacuum,26:01:01T08:03:07.51,26:01:01T08:03:31.82,r5,m4,m4_s3,t35
e260,Control,position,26:01:01T08:03:08.27,26:01:01T08:03:10.05,r8,,,
e261,Task,empty_bin,26:01:01T08:03:10.05,26:01:01T08:03:21.32,r8,m3,m3_s2,t24
e59,Control,navigate,26:01:01T08:03:16.61,26:01:01T08:03:40.84,r3,,,
e313,Control,navigate,26:01:01T08:03:21.32,26:01:01T08:03:58.44,r8,,,
e55,Control,navigate,26:01:01T08:03:31.82,26:01:01T08:04:16.17,r5,,,
e316,Control,navigate,26:01:01T08:03:31.82,26:01:01T08:04:44.37,r4,,,
e60,Control,enter_room,26:01:01T08:03:40.84,26:01:01T08:03:42.98,r3,,,
e61,Control,localize,26:01:01T08:03:42.98,26:01:01T08:03:45.36,r3,,,
e62,Control,clean_path,26:01:01T08:03:45.36,26:01:01T08:03:52.08,r3,,,
e63,Task,vacuum,26:01:01T08:03:52.08,26:01:01T08:04:16.10,r3,m5,m5_s2,t41
e72,Control,enter_room,26:01:01T08:03:55.92,26:01:01T08:03:57.86,r7,,,
e73,Control,localize,26:01:01T08:03:57.86,26:01:01T08:03:59.69,r7,,,
e314,Control,position,26:01:01T08:03:58.44,26:01:01T08:04:00.29,r8,,,
e74,Control,clean_path,26:01:01T08:03:59.69,26:01:01T08:04:06.88,r7,,,
e315,Task,empty_bin,26:01:01T08:04:00.29,26:01:01T08:04:11.68,r8,m4,m4_s1,t30
e75,Task,vacuum,26:01:01T08:04:06.88,26:01:01T08:04:36.12,r7,m6,m6_s1,t47
e65,Control,enter_room,26:01:01T08:04:13.36,26:01:01T08:04:15.23,r1,,,
e66,Control,position,26:01:01T08:04:15.23,26:01:01T08:04:17.52,r1,,,
e80,Control,navigate,26:01:01T08:04:16.10,26:01:01T08:04:29.16,r3,,,
e319,Control,navigate,26:01:01T08:04:16.10,26:01:01T08:04:40.33,r8,,,
e56,Control,enter_room,26:01:01T08:04:16.17,26:01:01T08:04:18.11,r5,,,
e67,Task,inspect,26:01:01T08:04:17.52,26:01:01T08:04:24.71,r1,m5,m5_s3,t43
e57,Control,position,26:01:01T08:04:18.11,26:01:01T08:04:20.08,r5,,,
e58,Task,inspect,26:01:01T08:04:20.08,26:01:01T08:04:28.81,r5,m5,m5_s1,t37
e85,Control,navigate,26:01:01T08:04:24.71,26:01:01T08:05:22.98,r1,,,
e76,Control,navigate,26:01:01T08:04:28.81,26:01:01T08:04:54.92,r5,,,
e81,Control,enter_room,26:01:01T08:04:29.16,26:01:01T08:04:30.80,r3,,,
e82,Control,localize,26:01:01T08:04:30.80,26:01:01T08:04:33.20,r3,,,
e83,Control,clean_path,26:01:01T08:04:33.20,26:01:01T08:04:42.27,r3,,,
e98,Control,navigate,26:01:01T08:04:36.12,26:01:01T08:05:02.79,r7,,,
e320,Control,position,26:01:01T08:04:40.33,26:01:01T08:04:42.17,r8,,,
e321,Task,empty_bin,26:01:01T08:04:42.17,26:01:01T08:04:51.81,r8,m5,m5_s2,t42
e84,Task,vacuum,26:01:01T08:04:42.27,26:01:01T08:05:11.96,r3,m6,m6_s3,t53
e317,Control,position,26:01:01T08:04:44.37,26:01:01T08:04:46.55,r4,,,
e318,Task,empty_bin,26:01:01T08:04:46.55,26:01:01T08:04:55.75,r4,m4,m4_s3,t36
e332,Control,navigate,26:01:01T08:04:51.81,26:01:01T08:05:02.00,r8,,,
e77,Control,enter_room,26:01:01T08:04:54.92,26:01:01T08:04:56.88,r5,,,
e78,Control,position,26:01:01T08:04:56.88,26:01:01T08:04:59.16,r5,,,
e79,Task,inspect,26:01:01T08:04:59.16,26:01:01T08:05:07.33,r5,m6,m6_s2,t49
e333,Control,position,26:01:01T08:05:02.00,26:01:01T08:05:03.84,r8,,,
e99,Control,enter_room,26:01:01T08:05:02.79,26:01:01T08:05:05.02,r7,,,
e334,Task,empty_bin,26:01:01T08:05:03.84,26:01:01T08:05:14.03,r8,m6,m6_s1,t48
e100,Control,localize,26:01:01T08:05:05.02,26:01:01T08:05:06.98,r7,,,
e101,Control,clean_path,26:01:01T08:05:06.98,26:01:01T08:05:14.74,r7,,,
e89,Control,navigate,26:01:01T08:05:07.33,26:01:01T08:05:26.89,r5,,,
e106,Control,navigate,26:01:01T08:05:11.96,26:01:01T08:05:33.38,r3,,,
e340,Control,navigate,26:01:01T08:05:14.03,26:01:01T08:05:36.25,r8,,,
e102,Task,vacuum,26:01:01T08:05:14.74,26:01:01T08:05:44.31,r7,m1,m1_s1,t2
e86,Control,enter_room,26:01:01T08:05:22.98,26:01:01T08:05:25.32,r1,,,
e87,Control,position,26:01:01T08:05:25.32,26:01:01T08:05:27.60,r1,,,
e90,Control,enter_room,26:01:01T08:05:26.89,26:01:01T08:05:28.88,r5,,,
e88,Task,inspect,26:01:01T08:05:27.60,26:01:01T08:05:34.53,r1,m7,m7_s1,t55
e91,Control,localize,26:01:01T08:05:28.88,26:01:01T08:05:30.65,r5,,,
e92,Control,clean_path,26:01:01T08:05:30.65,26:01:01T08:05:38.34,r5,,,
e107,Control,enter_room,26:01:01T08:05:33.38,26:01:01T08:05:35.55,r3,,,
e94,Control,navigate,26:01:01T08:05:34.53,26:01:01T08:05:52.82,r1,,,
e108,Control,localize,26:01:01T08:05:35.55,26:01:01T08:05:37.27,r3,,,
