task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t1,survey_field,m1,,mission,r5,auction,2026-01-01T08:00:00.00,e4,2026-01-01T08:00:33.25,2026-01-01T08:00:41.53
t11,survey_field,m2,,mission,r3,auction,2026-01-01T08:00:10.00,e8,2026-01-01T08:00:58.87,2026-01-01T08:01:09.80
t20,survey_field,m3,,mission,r1,auction,2026-01-01T08:00:20.00,e12,2026-01-01T08:02:06.85,2026-01-01T08:02:14.88
t30,survey_field,m4,,mission,r5,auction,2026-01-01T08:00:30.00,e16,2026-01-01T08:01:31.92,2026-01-01T08:01:40.77
t39,survey_field,m5,,mission,r7,auction,2026-01-01T08:00:40.00,e20,2026-01-01T08:01:19.67,2026-01-01T08:01:30.98
t2,inspect,m1,m1_s1,segment,r7,auction,2026-01-01T08:00:41.53,e24,2026-01-01T08:02:46.25,2026-01-01T08:03:00.52
t5,inspect,m1,m1_s2,segment,r3,auction,2026-01-01T08:00:41.53,e28,2026-01-01T08:02:39.09,2026-01-01T08:02:50.73
t7,inspect,m1,m1_s3,segment,r1,auction,2026-01-01T08:00:41.53,e32,2026-01-01T08:03:12.29,2026-01-01T08:03:22.74
t49,survey_field,m6,,mission,r1,auction,2026-01-01T08:00:50.00,e36,2026-01-01T08:03:37.02,2026-01-01T08:03:47.46
t58,survey_field,m7,,mission,r5,auction,2026-01-01T08:01:00.00,e40,2026-01-01T08:02:06.60,2026-01-01T08:02:16.65
t12,inspect,m2,m2_s1,segment,r3,auction,2026-01-01T08:01:09.80,e44,2026-01-01T08:04:59.28,2026-01-01T08:05:09.82
t14,inspect,m2,m2_s2,segment,r5,auction,2026-01-01T08:01:09.80,e48,2026-01-01T08:02:55.08,2026-01-01T08:03:07.99
t17,inspect,m2,m2_s3,segment,r7,auction,2026-01-01T08:01:09.80,e52,2026-01-01T08:04:05.62,2026-01-01T08:04:19.32
t68,survey_field,m8,,mission,r5,auction,2026-01-01T08:01:10.00,e56,2026-01-01T08:04:43.79,2026-01-01T08:04:52.66
t77,survey_field,m9,,mission,r7,auction,2026-01-01T08:01:20.00,e60,2026-01-01T08:05:37.45,2026-01-01T08:05:46.57
t87,survey_field,m10,,mission,r3,auction,2026-01-01T08:01:30.00,e64,2026-01-01T08:05:17.94,2026-01-01T08:05:26.51
t40,inspect,m5,m5_s1,segment,r5,auction,2026-01-01T08:01:30.98,e68,2026-01-01T08:05:41.89,2026-01-01T08:05:52.85
t43,inspect,m5,m5_s2,segment,r3,auction,2026-01-01T08:01:30.98,e72,2026-01-01T08:05:40.44,2026-01-01T08:05:51.94
t45,inspect,m5,m5_s3,segment,r1,auction,2026-01-01T08:01:30.98,e76,2026-01-01T08:06:58.66,2026-01-01T08:07:11.09
t96,survey_field,m11,,mission,r3,auction,2026-01-01T08:01:40.00,e80,2026-01-01T08:06:19.96,2026-01-01T08:06:29.54
