perspective_type,perspective_id,source_event_id,source_task_id,source_robot_id,target_event_id,target_task_id,target_robot_id
mission,m1,e4,t1,r5,e28,t5,r3
mission,m1,e4,t1,r5,e24,t2,r7
mission,m1,e28,t5,r3,e32,t7,r1
mission,m1,e24,t2,r7,e32,t7,r1
mission,m1,e32,t7,r1,e149,t6,r8
mission,m1,e32,t7,r1,e157,t3,r2
mission,m1,e149,t6,r8,e186,t4,r8
mission,m1,e157,t3,r2,e186,t4,r8
mission,m1,e186,t4,r8,e169,t8,r2
mission,m1,e169,t8,r2,e268,t9,r4
mission,m1,e268,t9,r4,e453,t10,r5
mission,m10,e64,t87,r3,e216,t90,r5
mission,m10,e64,t87,r3,e220,t93,r3
mission,m10,e216,t90,r5,e212,t88,r7
mission,m10,e220,t93,r3,e212,t88,r7
mission,m10,e212,t88,r7,e485,t91,r6
mission,m10,e485,t91,r6,e490,t94,r4
mission,m10,e490,t94,r4,e500,t89,r4
mission,m10,e500,t89,r4,e528,t92,r4
mission,m10,e528,t92,r4,e766,t95,r7
mission,m11,e80,t96,r3,e258,t102,r5
mission,m11,e258,t102,r5,e250,t97,r1
mission,m11,e250,t97,r1,e532,t103,r2
mission,m11,e532,t103,r2,e254,t100,r3
mission,m11,e254,t100,r3,e540,t98,r2
mission,m11,e540,t98,r2,e550,t104,r8
mission,m11,e540,t98,r2,e572,t101,r5
mission,m11,e550,t104,r8,e599,t99,r1
mission,m11,e572,t101,r5,e599,t99,r1
mission,m11,e599,t99,r1,e802,t105,r7
mission,m12,e96,t106,r3,e314,t112,r7
mission,m12,e314,t112,r7,e310,t109,r1
mission,m12,e314,t112,r7,e306,t107,r3
mission,m12,e310,t109,r1,e603,t110,r6
mission,m12,e306,t107,r3,e603,t110,r6
mission,m12,e603,t110,r6,e567,t113,r4
mission,m12,e567,t113,r4,e611,t108,r5
mission,m12,e611,t108,r5,e669,t111,r8
mission,m12,e669,t111,r8,e814,t114,r7
mission,m13,e100,t115,r7,e285,t119,r7
mission,m13,e285,t119,r7,e289,t121,r1
mission,m13,e289,t121,r1,e281,t116,r5
mission,m13,e281,t116,r5,e562,t122,r6
mission,m13,e562,t122,r6,e585,t117,r6
mission,m13,e585,t117,r6,e545,t120,r1
mission,m13,e545,t120,r1,e616,t123,r4
mission,m13,e616,t123,r4,e645,t118,r8
mission,m13,e645,t118,r8,e806,t124,r3
mission,m14,e104,t125,r7,e332,t128,r7
mission,m14,e332,t128,r7,e328,t126,r5
mission,m14,e328,t126,r5,e336,t131,r1
mission,m14,e336,t131,r1,e589,t129,r2
mission,m14,e589,t129,r2,e594,t127,r8
mission,m14,e594,t127,r8,e650,t130,r5
mission,m14,e650,t130,r5,e632,t132,r4
mission,m14,e632,t132,r4,e810,t133,r7
mission,m15,e132,t134,r5,e353,t138,r7
mission,m15,e353,t138,r7,e349,t135,r5
mission,m15,e349,t135,r5,e357,t140,r3
mission,m15,e357,t140,r3,e636,t136,r2
mission,m15,e636,t136,r2,e664,t141,r2
mission,m15,e664,t141,r2,e624,t139,r8
mission,m15,e624,t139,r8,e674,t137,r1
mission,m15,e674,t137,r1,e707,t142,r1
mission,m15,e707,t142,r1,e818,t143,r3
mission,m16,e136,t144,r5,e378,t150,r5
mission,m16,e136,t144,r5,e370,t145,r1
mission,m16,e378,t150,r5,e374,t147,r7
mission,m16,e370,t145,r1,e374,t147,r7
mission,m16,e374,t147,r7,e697,t148,r6
mission,m16,e697,t148,r6,e655,t151,r1
mission,m16,e655,t151,r1,e660,t146,r4
mission,m16,e660,t146,r4,e779,t149,r4
mission,m16,e779,t149,r4,e830,t152,r3
mission,m17,e140,t153,r1,e399,t159,r5
mission,m17,e399,t159,r5,e391,t154,r3
mission,m17,e391,t154,r3,e395,t157,r1
mission,m17,e391,t154,r3,e678,t160,r6
mission,m17,e395,t157,r1,e693,t155,r2
mission,m17,e678,t160,r6,e693,t155,r2
mission,m17,e693,t155,r2,e702,t158,r5
mission,m17,e702,t158,r5,e712,t161,r8
mission,m17,e712,t161,r8,e757,t156,r5
mission,m17,e757,t156,r5,e822,t162,r7
mission,m18,e144,t163,r5,e427,t164,r5
mission,m18,e427,t164,r5,e435,t169,r1
mission,m18,e435,t169,r1,e431,t166,r7
mission,m18,e431,t166,r7,e770,t167,r2
mission,m18,e770,t167,r2,e738,t165,r4
mission,m18,e738,t165,r4,e752,t170,r1
mission,m18,e752,t170,r1,e794,t168,r5
mission,m18,e794,t168,r5,e838,t171,r5
mission,m19,e153,t172,r7,e411,t178,r5
mission,m19,e411,t178,r5,e403,t173,r7
mission,m19,e403,t173,r7,e689,t179,r6
mission,m19,e689,t179,r6,e407,t176,r3
mission,m19,e407,t176,r3,e728,t174,r6
mission,m19,e728,t174,r6,e743,t180,r8
mission,m19,e743,t180,r8,e762,t177,r8
mission,m19,e743,t180,r8,e789,t175,r1
mission,m19,e762,t177,r8,e834,t181,r1
mission,m19,e789,t175,r1,e834,t181,r1
mission,m2,e8,t11,r3,e48,t14,r5
mission,m2,e48,t14,r5,e52,t17,r7
mission,m2,e52,t17,r7,e44,t12,r3
mission,m2,e44,t12,r3,e191,t18,r4
mission,m2,e191,t18,r4,e161,t15,r6
mission,m2,e161,t15,r6,e208,t13,r8
mission,m2,e208,t13,r8,e246,t16,r8
mission,m2,e246,t16,r8,e361,t19,r7
mission,m20,e165,t182,r1,e423,t188,r5
mission,m20,e423,t188,r5,e415,t183,r1
mission,m20,e415,t183,r1,e419,t185,r7
mission,m20,e419,t185,r7,e747,t186,r2
mission,m20,e747,t186,r2,e717,t189,r4
mission,m20,e747,t186,r2,e733,t184,r5
mission,m20,e717,t189,r4,e784,t187,r5
mission,m20,e733,t184,r5,e784,t187,r5
mission,m20,e784,t187,r5,e826,t190,r7
mission,m3,e12,t20,r1,e116,t26,r5
mission,m3,e116,t26,r5,e112,t24,r1
mission,m3,e112,t24,r1,e297,t27,r2
mission,m3,e297,t27,r2,e108,t21,r7
mission,m3,e108,t21,r7,e387,t22,r2
mission,m3,e108,t21,r7,e302,t25,r8
mission,m3,e387,t22,r2,e366,t28,r8
mission,m3,e302,t25,r8,e366,t28,r8
mission,m3,e366,t28,r8,e458,t23,r4
mission,m3,e458,t23,r4,e640,t29,r7
mission,m4,e16,t30,r5,e92,t36,r7
mission,m4,e92,t36,r7,e84,t31,r3
mission,m4,e84,t31,r3,e88,t33,r5
mission,m4,e88,t33,r5,e293,t34,r2
mission,m4,e293,t34,r2,e263,t37,r4
mission,m4,e263,t37,r4,e277,t32,r8
mission,m4,e277,t32,r8,e341,t35,r4
mission,m4,e341,t35,r4,e519,t38,r5
mission,m5,e20,t39,r7,e72,t43,r3
mission,m5,e20,t39,r7,e68,t40,r5
mission,m5,e72,t43,r3,e76,t45,r1
mission,m5,e68,t40,r5,e76,t45,r1
mission,m5,e76,t45,r1,e237,t44,r4
mission,m5,e237,t44,r4,e241,t41,r6
mission,m5,e241,t41,r6,e272,t46,r6
mission,m5,e272,t46,r6,e324,t42,r8
mission,m5,e324,t42,r8,e383,t47,r4
mission,m5,e383,t47,r4,e576,t48,r3
mission,m6,e36,t49,r1,e181,t55,r7
mission,m6,e181,t55,r7,e173,t50,r3
mission,m6,e173,t50,r3,e177,t52,r1
mission,m6,e177,t52,r1,e472,t53,r2
mission,m6,e472,t53,r2,e440,t56,r8
mission,m6,e440,t56,r8,e463,t51,r8
mission,m6,e463,t51,r8,e495,t54,r8
mission,m6,e495,t54,r8,e724,t57,r3
mission,m7,e40,t58,r5,e124,t62,r5
mission,m7,e124,t62,r5,e120,t59,r1
mission,m7,e120,t59,r1,e128,t64,r3
mission,m7,e120,t59,r1,e345,t60,r6
mission,m7,e128,t64,r3,e444,t65,r6
mission,m7,e345,t60,r6,e444,t65,r6
mission,m7,e444,t65,r6,e319,t63,r4
mission,m7,e319,t63,r4,e449,t61,r8
mission,m7,e449,t61,r8,e481,t66,r8
mission,m7,e481,t66,r8,e685,t67,r7
mission,m8,e56,t68,r5,e203,t74,r7
mission,m8,e203,t74,r7,e199,t71,r5
mission,m8,e199,t71,r5,e476,t72,r2
mission,m8,e476,t72,r2,e195,t69,r1
mission,m8,e195,t69,r1,e468,t75,r4
mission,m8,e468,t75,r4,e510,t73,r8
mission,m8,e510,t73,r8,e515,t70,r8
mission,m8,e515,t70,r8,e774,t76,r3
mission,m9,e60,t77,r7,e228,t81,r5
mission,m9,e228,t81,r5,e224,t78,r3
mission,m9,e224,t78,r3,e232,t83,r7
mission,m9,e232,t83,r7,e523,t79,r6
mission,m9,e523,t79,r6,e536,t84,r6
mission,m9,e536,t84,r6,e505,t82,r4
mission,m9,e505,t82,r4,e581,t85,r4
mission,m9,e505,t82,r4,e558,t80,r1
mission,m9,e581,t85,r4,e798,t86,r7
mission,m9,e558,t80,r1,e798,t86,r7
segment,m10_s1,e212,t88,r7,e500,t89,r4
segment,m10_s2,e216,t90,r5,e485,t91,r6
segment,m10_s2,e485,t91,r6,e528,t92,r4
segment,m10_s3,e220,t93,r3,e490,t94,r4
segment,m11_s1,e250,t97,r1,e540,t98,r2
