pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
capability_return,mission,m1,,,,,,,,e157,e186,e169,r2,r8,gripper,,,,,
capability_return,mission,m11,,,,,,,,e532,e254,e540,r2,r3,camera,,,,,
capability_return,mission,m19,,,,,,,,e689,e407,e728,r6,r3,camera,,,,,
capability_return,mission,m3,,,,,,,,e297,e108,e387,r2,r7,camera,,,,,
capability_return,segment,m11_s1,,,,,,,,e250,e540,e599,r1,r2,sprayer,,,,,
handover,mission,m1,e169,e268,r2,r4,,,,,,,,,,,,,,
handover,mission,m1,e186,e169,r8,r2,,,,,,,,,,,,,,
handover,mission,m1,e24,e32,r7,r1,,,,,,,,,,,,,,
handover,mission,m1,e268,e453,r4,r5,,,,,,,,,,,,,,
handover,mission,m1,e28,e32,r3,r1,,,,,,,,,,,,,,
handover,mission,m1,e32,e149,r1,r8,,,,,,,,,,,,,,
handover,mission,m1,e32,e157,r1,r2,,,,,,,,,,,,,,
handover,mission,m1,e4,e24,r5,r7,,,,,,,,,,,,,,
handover,mission,m1,e4,e28,r5,r3,,,,,,,,,,,,,,
handover,mission,m10,e212,e485,r7,r6,,,,,,,,,,,,,,
handover,mission,m10,e216,e212,r5,r7,,,,,,,,,,,,,,
handover,mission,m10,e220,e212,r3,r7,,,,,,,,,,,,,,
handover,mission,m10,e485,e490,r6,r4,,,,,,,,,,,,,,
handover,mission,m10,e528,e766,r4,r7,,,,,,,,,,,,,,
handover,mission,m10,e64,e216,r3,r5,,,,,,,,,,,,,,
handover,mission,m11,e250,e532,r1,r2,,,,,,,,,,,,,,
handover,mission,m11,e254,e540,r3,r2,,,,,,,,,,,,,,
handover,mission,m11,e258,e250,r5,r1,,,,,,,,,,,,,,
handover,mission,m11,e532,e254,r2,r3,,,,,,,,,,,,,,
handover,mission,m11,e540,e550,r2,r8,,,,,,,,,,,,,,
handover,mission,m11,e540,e572,r2,r5,,,,,,,,,,,,,,
handover,mission,m11,e550,e599,r8,r1,,,,,,,,,,,,,,
handover,mission,m11,e572,e599,r5,r1,,,,,,,,,,,,,,
handover,mission,m11,e599,e802,r1,r7,,,,,,,,,,,,,,
handover,mission,m11,e80,e258,r3,r5,,,,,,,,,,,,,,
handover,mission,m12,e306,e603,r3,r6,,,,,,,,,,,,,,
handover,mission,m12,e310,e603,r1,r6,,,,,,,,,,,,,,
handover,mission,m12,e314,e306,r7,r3,,,,,,,,,,,,,,
handover,mission,m12,e314,e310,r7,r1,,,,,,,,,,,,,,
handover,mission,m12,e567,e611,r4,r5,,,,,,,,,,,,,,
handover,mission,m12,e603,e567,r6,r4,,,,,,,,,,,,,,
handover,mission,m12,e611,e669,r5,r8,,,,,,,,,,,,,,
handover,mission,m12,e669,e814,r8,r7,,,,,,,,,,,,,,
handover,mission,m12,e96,e314,r3,r7,,,,,,,,,,,,,,
handover,mission,m13,e281,e562,r5,r6,,,,,,,,,,,,,,
handover,mission,m13,e285,e289,r7,r1,,,,,,,,,,,,,,
handover,mission,m13,e289,e281,r1,r5,,,,,,,,,,,,,,
handover,mission,m13,e545,e616,r1,r4,,,,,,,,,,,,,,
handover,mission,m13,e585,e545,r6,r1,,,,,,,,,,,,,,
handover,mission,m13,e616,e645,r4,r8,,,,,,,,,,,,,,
handover,mission,m13,e645,e806,r8,r3,,,,,,,,,,,,,,
handover,mission,m14,e328,e336,r5,r1,,,,,,,,,,,,,,
handover,mission,m14,e332,e328,r7,r5,,,,,,,,,,,,,,
handover,mission,m14,e336,e589,r1,r2,,,,,,,,,,,,,,
handover,mission,m14,e589,e594,r2,r8,,,,,,,,,,,,,,
handover,mission,m14,e594,e650,r8,r5,,,,,,,,,,,,,,
handover,mission,m14,e632,e810,r4,r7,,,,,,,,,,,,,,
handover,mission,m14,e650,e632,r5,r4,,,,,,,,,,,,,,
handover,mission,m15,e132,e353,r5,r7,,,,,,,,,,,,,,
handover,mission,m15,e349,e357,r5,r3,,,,,,,,,,,,,,
handover,mission,m15,e353,e349,r7,r5,,,,,,,,,,,,,,
handover,mission,m15,e357,e636,r3,r2,,,,,,,,,,,,,,
handover,mission,m15,e624,e674,r8,r1,,,,,,,,,,,,,,
