objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id
mission,m1,e169,e268,r2,r4
mission,m1,e186,e169,r8,r2
mission,m1,e24,e32,r7,r1
mission,m1,e268,e453,r4,r5
mission,m1,e28,e32,r3,r1
mission,m1,e32,e149,r1,r8
mission,m1,e32,e157,r1,r2
mission,m1,e4,e24,r5,r7
mission,m1,e4,e28,r5,r3
mission,m10,e212,e485,r7,r6
mission,m10,e216,e212,r5,r7
mission,m10,e220,e212,r3,r7
mission,m10,e485,e490,r6,r4
mission,m10,e528,e766,r4,r7
mission,m10,e64,e216,r3,r5
mission,m11,e250,e532,r1,r2
mission,m11,e254,e540,r3,r2
mission,m11,e258,e250,r5,r1
mission,m11,e532,e254,r2,r3
mission,m11,e540,e550,r2,r8
mission,m11,e540,e572,r2,r5
mission,m11,e550,e599,r8,r1
mission,m11,e572,e599,r5,r1
mission,m11,e599,e802,r1,r7
mission,m11,e80,e258,r3,r5
mission,m12,e306,e603,r3,r6
mission,m12,e310,e603,r1,r6
mission,m12,e314,e306,r7,r3
mission,m12,e314,e310,r7,r1
mission,m12,e567,e611,r4,r5
mission,m12,e603,e567,r6,r4
mission,m12,e611,e669,r5,r8
mission,m12,e669,e814,r8,r7
mission,m12,e96,e314,r3,r7
mission,m13,e281,e562,r5,r6
mission,m13,e285,e289,r7,r1
mission,m13,e289,e281,r1,r5
mission,m13,e545,e616,r1,r4
mission,m13,e585,e545,r6,r1
mission,m13,e616,e645,r4,r8
mission,m13,e645,e806,r8,r3
mission,m14,e328,e336,r5,r1
mission,m14,e332,e328,r7,r5
mission,m14,e336,e589,r1,r2
mission,m14,e589,e594,r2,r8
mission,m14,e594,e650,r8,r5
mission,m14,e632,e810,r4,r7
mission,m14,e650,e632,r5,r4
mission,m15,e132,e353,r5,r7
mission,m15,e349,e357,r5,r3
mission,m15,e353,e349,r7,r5
mission,m15,e357,e636,r3,r2
mission,m15,e624,e674,r8,r1
mission,m15,e664,e624,r2,r8
mission,m15,e707,e818,r1,r3
mission,m16,e136,e370,r5,r1
mission,m16,e370,e374,r1,r7
mission,m16,e374,e697,r7,r6
mission,m16,e378,e374,r5,r7
mission,m16,e655,e660,r1,r4
mission,m16,e697,e655,r6,r1
mission,m16,e779,e830,r4,r3
mission,m17,e140,e399,r1,r5
mission,m17,e391,e395,r3,r1
mission,m17,e391,e678,r3,r6
mission,m17,e395,e693,r1,r2
mission,m17,e399,e391,r5,r3
mission,m17,e678,e693,r6,r2
mission,m17,e693,e702,r2,r5
mission,m17,e702,e712,r5,r8
mission,m17,e712,e757,r8,r5
mission,m17,e757,e822,r5,r7
mission,m18,e427,e435,r5,r1
mission,m18,e431,e770,r7,r2
mission,m18,e435,e431,r1,r7
mission,m18,e738,e752,r4,r1
mission,m18,e752,e794,r1,r5
mission,m18,e770,e738,r2,r4
mission,m19,e153,e411,r7,r5
mission,m19,e403,e689,r7,r6
mission,m19,e407,e728,r3,r6
mission,m19,e411,e403,r5,r7
mission,m19,e689,e407,r6,r3
mission,m19,e728,e743,r6,r8
mission,m2,e161,e208,r6,r8
mission,m2,e191,e161,r4,r6
mission,m2,e246,e361,r8,r7
mission,m2,e44,e191,r3,r4
mission,m2,e48,e52,r5,r7
mission,m2,e52,e44,r7,r3
mission,m2,e8,e48,r3,r5
mission,m20,e165,e423,r1,r5
mission,m20,e415,e419,r1,r7
mission,m20,e419,e747,r7,r2
mission,m20,e423,e415,r5,r1
mission,m20,e717,e784,r4,r5
mission,m20,e747,e717,r2,r4
mission,m20,e747,e733,r2,r5
mission,m20,e784,e826,r5,r7
mission,m3,e108,e302,r7,r8
mission,m3,e108,e387,r7,r2
mission,m3,e112,e297,r1,r2
mission,m3,e116,e112,r5,r1
mission,m3,e12,e116,r1,r5
mission,m3,e297,e108,r2,r7
mission,m3,e366,e458,r8,r4
mission,m3,e387,e366,r2,r8
mission,m3,e458,e640,r4,r7
mission,m4,e16,e92,r5,r7
mission,m4,e263,e277,r4,r8
mission,m4,e277,e341,r8,r4
mission,m4,e293,e263,r2,r4
mission,m4,e341,e519,r4,r5
mission,m4,e84,e88,r3,r5
mission,m4,e88,e293,r5,r2
mission,m4,e92,e84,r7,r3
mission,m5,e20,e68,r7,r5
mission,m5,e20,e72,r7,r3
mission,m5,e237,e241,r4,r6
mission,m5,e272,e324,r6,r8
mission,m5,e324,e383,r8,r4
mission,m5,e383,e576,r4,r3
mission,m5,e68,e76,r5,r1
mission,m5,e72,e76,r3,r1
mission,m5,e76,e237,r1,r4
mission,m6,e173,e177,r3,r1
mission,m6,e177,e472,r1,r2
mission,m6,e181,e173,r7,r3
mission,m6,e36,e181,r1,r7
mission,m6,e472,e440,r2,r8
mission,m6,e495,e724,r8,r3
mission,m7,e120,e128,r1,r3
mission,m7,e120,e345,r1,r6
mission,m7,e124,e120,r5,r1
mission,m7,e319,e449,r4,r8
mission,m7,e444,e319,r6,r4
mission,m7,e481,e685,r8,r7
mission,m8,e195,e468,r1,r4
mission,m8,e199,e476,r5,r2
mission,m8,e203,e199,r7,r5
mission,m8,e468,e510,r4,r8
mission,m8,e476,e195,r2,r1
mission,m8,e515,e774,r8,r3
mission,m8,e56,e203,r5,r7
mission,m9,e224,e232,r3,r7
mission,m9,e228,e224,r5,r3
mission,m9,e232,e523,r7,r6
mission,m9,e505,e558,r4,r1
mission,m9,e536,e505,r6,r4
mission,m9,e558,e798,r1,r7
mission,m9,e581,e798,r4,r7
