objective_type,objective_1,objective_2,mission_id,overlap_start,overlap_end
mission,m1,m10,,2026-01-01T08:05:17.94,2026-01-01T08:27:26.45
mission,m1,m11,,2026-01-01T08:06:19.96,2026-01-01T08:27:26.45
mission,m1,m12,,2026-01-01T08:08:30.25,2026-01-01T08:27:26.45
mission,m1,m13,,2026-01-01T08:07:15.97,2026-01-01T08:27:26.45
mission,m1,m14,,2026-01-01T08:08:50.04,2026-01-01T08:27:26.45
mission,m1,m15,,2026-01-01T08:09:29.31,2026-01-01T08:27:26.45
mission,m1,m16,,2026-01-01T08:09:51.04,2026-01-01T08:27:26.45
mission,m1,m17,,2026-01-01T08:10:25.02,2026-01-01T08:27:26.45
mission,m1,m18,,2026-01-01T08:11:21.71,2026-01-01T08:27:26.45
mission,m1,m19,,2026-01-01T08:10:52.36,2026-01-01T08:27:26.45
mission,m1,m2,,2026-01-01T08:00:58.87,2026-01-01T08:21:41.61
mission,m1,m20,,2026-01-01T08:11:08.30,2026-01-01T08:27:26.45
mission,m1,m3,,2026-01-01T08:02:06.85,2026-01-01T08:27:26.45
mission,m1,m4,,2026-01-01T08:01:31.92,2026-01-01T08:27:26.45
mission,m1,m5,,2026-01-01T08:01:19.67,2026-01-01T08:27:26.45
mission,m1,m6,,2026-01-01T08:03:37.02,2026-01-01T08:27:26.45
mission,m1,m7,,2026-01-01T08:02:06.60,2026-01-01T08:27:26.45
mission,m1,m8,,2026-01-01T08:04:43.79,2026-01-01T08:27:26.45
mission,m1,m9,,2026-01-01T08:05:37.45,2026-01-01T08:27:26.45
mission,m10,m11,,2026-01-01T08:06:19.96,2026-01-01T08:34:24.95
mission,m10,m12,,2026-01-01T08:08:30.25,2026-01-01T08:34:24.95
mission,m10,m13,,2026-01-01T08:07:15.97,2026-01-01T08:34:24.95
mission,m10,m14,,2026-01-01T08:08:50.04,2026-01-01T08:34:24.95
mission,m10,m15,,2026-01-01T08:09:29.31,2026-01-01T08:34:24.95
mission,m10,m16,,2026-01-01T08:09:51.04,2026-01-01T08:34:24.95
mission,m10,m17,,2026-01-01T08:10:25.02,2026-01-01T08:34:24.95
mission,m10,m18,,2026-01-01T08:11:21.71,2026-01-01T08:34:24.95
mission,m10,m19,,2026-01-01T08:10:52.36,2026-01-01T08:34:24.95
mission,m10,m2,,2026-01-01T08:05:17.94,2026-01-01T08:21:41.61
mission,m10,m20,,2026-01-01T08:11:08.30,2026-01-01T08:34:24.95
mission,m10,m3,,2026-01-01T08:05:17.94,2026-01-01T08:29:23.73
mission,m10,m4,,2026-01-01T08:05:17.94,2026-01-01T08:28:23.60
mission,m10,m5,,2026-01-01T08:05:17.94,2026-01-01T08:30:31.51
mission,m10,m6,,2026-01-01T08:05:17.94,2026-01-01T08:34:24.95
mission,m10,m7,,2026-01-01T08:05:17.94,2026-01-01T08:32:48.75
mission,m10,m8,,2026-01-01T08:05:17.94,2026-01-01T08:34:24.95
mission,m10,m9,,2026-01-01T08:05:37.45,2026-01-01T08:34:24.95
mission,m11,m12,,2026-01-01T08:08:30.25,2026-01-01T08:36:43.48
mission,m11,m13,,2026-01-01T08:07:15.97,2026-01-01T08:36:43.48
mission,m11,m14,,2026-01-01T08:08:50.04,2026-01-01T08:36:43.48
mission,m11,m15,,2026-01-01T08:09:29.31,2026-01-01T08:36:43.48
mission,m11,m16,,2026-01-01T08:09:51.04,2026-01-01T08:36:43.48
mission,m11,m17,,2026-01-01T08:10:25.02,2026-01-01T08:36:43.48
mission,m11,m18,,2026-01-01T08:11:21.71,2026-01-01T08:36:43.48
mission,m11,m19,,2026-01-01T08:10:52.36,2026-01-01T08:36:43.48
mission,m11,m2,,2026-01-01T08:06:19.96,2026-01-01T08:21:41.61
mission,m11,m20,,2026-01-01T08:11:08.30,2026-01-01T08:36:43.48
mission,m11,m3,,2026-01-01T08:06:19.96,2026-01-01T08:29:23.73
mission,m11,m4,,2026-01-01T08:06:19.96,2026-01-01T08:28:23.60
mission,m11,m5,,2026-01-01T08:06:19.96,2026-01-01T08:30:31.51
mission,m11,m6,,2026-01-01T08:06:19.96,2026-01-01T08:34:28.73
mission,m11,m7,,2026-01-01T08:06:19.96,2026-01-01T08:32:48.75
mission,m11,m8,,2026-01-01T08:06:19.96,2026-01-01T08:36:03.83
mission,m11,m9,,2026-01-01T08:06:19.96,2026-01-01T08:35:43.37
mission,m12,m13,,2026-01-01T08:08:30.25,2026-01-01T08:36:47.51
mission,m12,m14,,2026-01-01T08:08:50.04,2026-01-01T08:38:05.83
mission,m12,m15,,2026-01-01T08:09:29.31,2026-01-01T08:38:53.13
mission,m12,m16,,2026-01-01T08:09:51.04,2026-01-01T08:38:53.13
mission,m12,m17,,2026-01-01T08:10:25.02,2026-01-01T08:38:53.13
mission,m12,m18,,2026-01-01T08:11:21.71,2026-01-01T08:38:53.13
mission,m12,m19,,2026-01-01T08:10:52.36,2026-01-01T08:38:53.13
mission,m12,m2,,2026-01-01T08:08:30.25,2026-01-01T08:21:41.61
mission,m12,m20,,2026-01-01T08:11:08.30,2026-01-01T08:38:53.13
mission,m12,m3,,2026-01-01T08:08:30.25,2026-01-01T08:29:23.73
mission,m12,m4,,2026-01-01T08:08:30.25,2026-01-01T08:28:23.60
mission,m12,m5,,2026-01-01T08:08:30.25,2026-01-01T08:30:31.51
mission,m12,m6,,2026-01-01T08:08:30.25,2026-01-01T08:34:28.73
mission,m12,m7,,2026-01-01T08:08:30.25,2026-01-01T08:32:48.75
mission,m12,m8,,2026-01-01T08:08:30.25,2026-01-01T08:36:03.83
mission,m12,m9,,2026-01-01T08:08:30.25,2026-01-01T08:35:43.37
mission,m13,m14,,2026-01-01T08:08:50.04,2026-01-01T08:36:47.51
mission,m13,m15,,2026-01-01T08:09:29.31,2026-01-01T08:36:47.51
mission,m13,m16,,2026-01-01T08:09:51.04,2026-01-01T08:36:47.51
mission,m13,m17,,2026-01-01T08:10:25.02,2026-01-01T08:36:47.51
mission,m13,m18,,2026-01-01T08:11:21.71,2026-01-01T08:36:47.51
mission,m13,m19,,2026-01-01T08:10:52.36,2026-01-01T08:36:47.51
mission,m13,m2,,2026-01-01T08:07:15.97,2026-01-01T08:21:41.61
mission,m13,m20,,2026-01-01T08:11:08.30,2026-01-01T08:36:47.51
mission,m13,m3,,2026-01-01T08:07:15.97,2026-01-01T08:29:23.73
mission,m13,m4,,2026-01-01T08:07:15.97,2026-01-01T08:28:23.60
mission,m13,m5,,2026-01-01T08:07:15.97,2026-01-01T08:30:31.51
mission,m13,m6,,2026-01-01T08:07:15.97,2026-01-01T08:34:28.73
mission,m13,m7,,2026-01-01T08:07:15.97,2026-01-01T08:32:48.75
mission,m13,m8,,2026-01-01T08:07:15.97,2026-01-01T08:36:03.83
mission,m13,m9,,2026-01-01T08:07:15.97,2026-01-01T08:35:43.37
mission,m14,m15,,2026-01-01T08:09:29.31,2026-01-01T08:38:05.83
mission,m14,m16,,2026-01-01T08:09:51.04,2026-01-01T08:38:05.83
mission,m14,m17,,2026-01-01T08:10:25.02,2026-01-01T08:38:05.83
mission,m14,m18,,2026-01-01T08:11:21.71,2026-01-01T08:38:05.83
mission,m14,m19,,2026-01-01T08:10:52.36,2026-01-01T08:38:05.83
mission,m14,m2,,2026-01-01T08:08:50.04,2026-01-01T08:21:41.61
mission,m14,m20,,2026-01-01T08:11:08.30,2026-01-01T08:38:05.83
mission,m14,m3,,2026-01-01T08:08:50.04,2026-01-01T08:29:23.73
mission,m14,m4,,2026-01-01T08:08:50.04,2026-01-01T08:28:23.60
mission,m14,m5,,2026-01-01T08:08:50.04,2026-01-01T08:30:31.51
mission,m14,m6,,2026-01-01T08:08:50.04,2026-01-01T08:34:28.73
mission,m14,m7,,2026-01-01T08:08:50.04,2026-01-01T08:32:48.75
mission,m14,m8,,2026-01-01T08:08:50.04,2026-01-01T08:36:03.83
mission,m14,m9,,2026-01-01T08:08:50.04,2026-01-01T08:35:43.37
mission,m15,m16,,2026-01-01T08:09:51.04,2026-01-01T08:39:41.12
mission,m15,m17,,2026-01-01T08:10:25.02,2026-01-01T08:39:41.12
mission,m15,m18,,2026-01-01T08:11:21.71,2026-01-01T08:39:41.12
mission,m15,m19,,2026-01-01T08:10:52.36,2026-01-01T08:39:41.12
mission,m15,m2,,2026-01-01T08:09:29.31,2026-01-01T08:21:41.61
mission,m15,m20,,2026-01-01T08:11:08.30,2026-01-01T08:39:41.12
mission,m15,m3,,2026-01-01T08:09:29.31,2026-01-01T08:29:23.73
