predecessor_task_id,successor_task_id
t4,t10
t6,t10
t9,t10
t1,t2
t2,t3
t3,t4
t1,t5
t5,t6
t1,t7
t7,t8
t8,t9
t13,t19
t16,t19
t18,t19
t11,t12
t12,t13
t11,t14
t14,t15
t15,t16
t11,t17
t17,t18
t23,t29
t25,t29
t28,t29
t20,t21
t21,t22
t22,t23
t20,t24
t24,t25
t20,t26
t26,t27
t27,t28
t32,t38
t35,t38
t37,t38
t30,t31
t31,t32
t30,t33
t33,t34
t34,t35
t30,t36
t36,t37
t42,t48
t44,t48
t47,t48
t39,t40
t40,t41
t41,t42
t39,t43
t43,t44
t39,t45
t45,t46
t46,t47
t51,t57
t54,t57
t56,t57
t49,t50
t50,t51
t49,t52
t52,t53
t53,t54
t49,t55
t55,t56
t61,t67
t63,t67
t66,t67
t58,t59
t59,t60
t60,t61
t58,t62
t62,t63
t58,t64
t64,t65
t65,t66
t70,t76
t73,t76
t75,t76
t68,t69
t69,t70
t68,t71
t71,t72
t72,t73
t68,t74
t74,t75
t80,t86
t82,t86
t85,t86
t77,t78
t78,t79
t79,t80
t77,t81
t81,t82
t77,t83
t83,t84
t84,t85
t89,t95
t92,t95
t94,t95
t87,t88
t88,t89
t87,t90
t90,t91
t91,t92
t87,t93
t93,t94
t99,t105
t101,t105
t104,t105
t96,t97
t97,t98
t98,t99
t96,t100
t100,t101
t96,t102
t102,t103
t103,t104
t108,t114
t111,t114
t113,t114
t106,t107
t107,t108
t106,t109
t109,t110
t110,t111
t106,t112
t112,t113
t118,t124
t120,t124
t123,t124
t115,t116
t116,t117
t117,t118
t115,t119
t119,t120
t115,t121
t121,t122
t122,t123
t127,t133
t130,t133
t132,t133
t125,t126
t126,t127
t125,t128
t128,t129
t129,t130
t125,t131
t131,t132
t137,t143
t139,t143
t142,t143
t134,t135
t135,t136
t136,t137
t134,t138
t138,t139
t134,t140
t140,t141
t141,t142
t146,t152
t149,t152
t151,t152
t144,t145
t145,t146
t144,t147
t147,t148
t148,t149
t144,t150
t150,t151
t156,t162
t158,t162
t161,t162
t153,t154
t154,t155
t155,t156
t153,t157
t157,t158
t153,t159
t159,t160
t160,t161
t165,t171
t168,t171
t170,t171
t163,t164
t164,t165
t163,t166
t166,t167
t167,t168
t163,t169
t169,t170
t175,t181
t177,t181
t180,t181
t172,t173
t173,t174
t174,t175
t172,t176
t176,t177
t172,t178
t178,t179
t179,t180
t184,t190
t187,t190
t189,t190
t182,t183
t183,t184
t182,t185
t185,t186
t186,t187
t182,t188
t188,t189
