segment_id,mission_id,location_x,location_y
m1_s1,m1,134.993,91.3662
m1_s2,m1,137.1723,132.3693
m1_s3,m1,26.5956,153.5676
m2_s1,m2,122.6654,8.8521
m2_s2,m2,0.811,26.7945
m2_s3,m2,188.2005,60.5721
m3_s1,m3,62.8728,109.7964
m3_s2,m3,87.2062,12.9988
m3_s3,m3,116.9092,168.8136
m4_s1,m4,82.574,7.385
m4_s2,m4,99.3207,163.5966
m4_s3,m4,131.5782,106.6967
m5_s1,m5,113.4471,74.835
m5_s2,m5,120.2609,22.5831
m5_s3,m5,155.1025,19.3212
m6_s1,m6,189.5388,86.6463
m6_s2,m6,82.8162,49.0964
m6_s3,m6,54.9407,123.4506
m7_s1,m7,91.147,32.9876
m7_s2,m7,129.745,164.2111
m7_s3,m7,155.5023,96.0267
m8_s1,m8,1.0017,142.5146
m8_s2,m8,66.3314,63.8846
m8_s3,m8,15.985,89.6112
m9_s1,m9,173.9091,134.6706
m9_s2,m9,48.2816,105.0708
m9_s3,m9,182.1068,104.0219
m10_s1,m10,97.8772,92.2883
m10_s2,m10,80.226,84.0871
m10_s3,m10,116.987,107.7334
m11_s1,m11,88.2694,193.7356
m11_s2,m11,83.0347,7.0636
m11_s3,m11,0.5661,107.0837
m12_s1,m12,21.7513,90.8157
m12_s2,m12,198.5376,97.0111
m12_s3,m12,91.7281,87.3022
m13_s1,m13,145.243,179.5883
m13_s2,m13,139.5741,84.6621
m13_s3,m13,129.9058,181.9081
m14_s1,m14,123.8224,137.404
m14_s2,m14,128.52,117.7057
m14_s3,m14,165.8846,95.7886
m15_s1,m15,87.0713,171.7691
m15_s2,m15,143.6485,177.7363
m15_s3,m15,9.2472,182.6197
m16_s1,m16,196.2639,57.0971
m16_s2,m16,134.0003,28.2547
m16_s3,m16,119.0266,183.9159
m17_s1,m17,15.9491,38.9313
m17_s2,m17,41.5405,19.2002
m17_s3,m17,199.9396,177.5068
m18_s1,m18,139.0474,104.4909
m18_s2,m18,84.6974,132.8147
m18_s3,m18,111.104,53.178
m19_s1,m19,125.4258,41.9188
m19_s2,m19,121.9546,174.9858
m19_s3,m19,174.2675,130.4527
m20_s1,m20,17.8045,11.05
m20_s2,m20,50.9396,91.3748
m20_s3,m20,151.8799,125.7683
