objective_type,robot_id,prev_event_id,next_event_id,from_objective_id,to_objective_id
mission,r1,e112,e120,m3,m7
mission,r1,e12,e32,m3,m1
mission,r1,e120,e140,m7,m17
mission,r1,e140,e165,m17,m20
mission,r1,e165,e177,m20,m6
mission,r1,e177,e195,m6,m8
mission,r1,e195,e250,m8,m11
mission,r1,e250,e289,m11,m13
mission,r1,e289,e310,m13,m12
mission,r1,e310,e336,m12,m14
mission,r1,e32,e36,m1,m6
mission,r1,e336,e370,m14,m16
mission,r1,e36,e76,m6,m5
mission,r1,e370,e395,m16,m17
mission,r1,e395,e415,m17,m20
mission,r1,e415,e435,m20,m18
mission,r1,e435,e545,m18,m13
mission,r1,e545,e558,m13,m9
mission,r1,e558,e599,m9,m11
mission,r1,e599,e655,m11,m16
mission,r1,e655,e674,m16,m15
mission,r1,e707,e752,m15,m18
mission,r1,e752,e789,m18,m19
mission,r1,e76,e112,m5,m3
mission,r2,e169,e293,m1,m4
mission,r2,e293,e297,m4,m3
mission,r2,e387,e472,m3,m6
mission,r2,e472,e476,m6,m8
mission,r2,e476,e532,m8,m11
mission,r2,e540,e589,m11,m14
mission,r2,e589,e636,m14,m15
mission,r2,e664,e693,m15,m17
mission,r2,e693,e747,m17,m20
mission,r2,e747,e770,m20,m18
mission,r3,e128,e173,m7,m6
mission,r3,e173,e220,m6,m10
mission,r3,e220,e224,m10,m9
mission,r3,e224,e254,m9,m11
mission,r3,e254,e306,m11,m12
mission,r3,e28,e44,m1,m2
mission,r3,e306,e357,m12,m15
mission,r3,e357,e391,m15,m17
mission,r3,e391,e407,m17,m19
mission,r3,e407,e576,m19,m5
mission,r3,e44,e64,m2,m10
mission,r3,e576,e724,m5,m6
mission,r3,e64,e72,m10,m5
mission,r3,e72,e80,m5,m11
mission,r3,e724,e774,m6,m8
mission,r3,e774,e806,m8,m13
mission,r3,e8,e28,m2,m1
mission,r3,e80,e84,m11,m4
mission,r3,e806,e818,m13,m15
mission,r3,e818,e830,m15,m16
mission,r3,e84,e96,m4,m12
mission,r3,e96,e128,m12,m7
mission,r4,e191,e237,m2,m5
mission,r4,e237,e263,m5,m4
mission,r4,e263,e268,m4,m1
mission,r4,e268,e319,m1,m7
mission,r4,e319,e341,m7,m4
mission,r4,e341,e383,m4,m5
mission,r4,e383,e458,m5,m3
mission,r4,e458,e468,m3,m8
mission,r4,e468,e490,m8,m10
mission,r4,e500,e505,m10,m9
mission,r4,e505,e528,m9,m10
mission,r4,e528,e567,m10,m12
mission,r4,e567,e581,m12,m9
mission,r4,e581,e616,m9,m13
mission,r4,e616,e632,m13,m14
mission,r4,e632,e660,m14,m16
mission,r4,e660,e717,m16,m20
mission,r4,e717,e738,m20,m18
mission,r4,e738,e779,m18,m16
mission,r5,e116,e124,m3,m7
mission,r5,e124,e132,m7,m15
mission,r5,e132,e136,m15,m16
mission,r5,e136,e144,m16,m18
mission,r5,e144,e199,m18,m8
mission,r5,e16,e40,m4,m7
mission,r5,e199,e216,m8,m10
mission,r5,e216,e228,m10,m9
mission,r5,e228,e258,m9,m11
mission,r5,e258,e281,m11,m13
mission,r5,e281,e328,m13,m14
mission,r5,e328,e349,m14,m15
mission,r5,e349,e378,m15,m16
