event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,move_to,2026-08-27T16:20:45.105948,2026-08-27T16:20:51.114108,robot1,m1,m1_s1
e2,Control,view_capturing,2026-08-27T16:20:51.115211,2026-08-27T16:20:54.123049,robot1,m1,m1_s1
e3,Task,inspect,2026-08-27T16:20:54.125161,2026-08-27T16:21:10.132480,robot1,m1,m1_s1
e4,Control,move_to,2026-08-27T16:21:11.113513,2026-08-27T16:21:27.269745,robot1,m1,m1_s7
e5,Control,view_capturing,2026-08-27T16:21:27.272655,2026-08-27T16:21:30.279491,robot1,m1,m1_s7
e6,Task,inspect,2026-08-27T16:21:30.281498,2026-08-27T16:21:40.289623,robot1,m1,m1_s7
e7,Control,move_to,2026-08-27T16:20:45.110626,2026-08-27T16:21:05.116368,robot2,m1,m1_s3
e8,Control,view_capturing,2026-08-27T16:21:05.116975,2026-08-27T16:21:08.121970,robot2,m1,m1_s3
e9,Task,inspect,2026-08-27T16:21:08.124491,2026-08-27T16:21:24.126493,robot2,m1,m1_s3
e10,Control,move_to,2026-08-27T16:20:45.125254,2026-08-27T16:20:53.616849,robot3,m1,m1_s4
e11,Control,view_capturing,2026-08-27T16:20:53.618182,2026-08-27T16:20:56.623530,robot3,m1,m1_s4
e12,Task,inspect,2026-08-27T16:20:56.624234,2026-08-27T16:21:04.629823,robot3,m1,m1_s4
e13,Task,irrigate,2026-08-27T16:21:07.102344,2026-08-27T16:21:23.104103,robot3,m1,m1_s4
e14,Control,move_to,2026-08-27T16:21:27.106923,2026-08-27T16:21:42.351401,robot3,m1,m1_s3
e15,Task,irrigate,2026-08-27T16:21:42.353348,2026-08-27T16:22:14.359779,robot3,m1,m1_s3
e16,Control,move_to,2026-08-27T16:23:26.101954,2026-08-27T16:23:40.249808,robot3,m1,
e17,Control,view_capturing,2026-08-27T16:23:40.253420,2026-08-27T16:23:43.262460,robot3,m1,
e18,Task,final_inspection,2026-08-27T16:23:43.265279,2026-08-27T16:24:23.273003,robot3,m1,
e19,Control,move_to,2026-08-27T16:20:45.130235,2026-08-27T16:21:06.014391,robot4,m1,m1_s6
e20,Control,view_capturing,2026-08-27T16:21:06.015725,2026-08-27T16:21:09.021427,robot4,m1,m1_s6
e21,Task,inspect,2026-08-27T16:21:09.022738,2026-08-27T16:21:15.023836,robot4,m1,m1_s6
e22,Task,irrigate,2026-08-27T16:21:17.097816,2026-08-27T16:21:29.107923,robot4,m1,m1_s6
e23,Control,move_to,2026-08-27T16:21:43.097959,2026-08-27T16:21:52.104254,robot4,m1,m1_s7
e24,Task,irrigate,2026-08-27T16:21:52.105178,2026-08-27T16:22:12.109406,robot4,m1,m1_s7
e25,Control,move_to,2026-08-27T16:20:45.123724,2026-08-27T16:21:00.134138,robot5,m1,m1_s2
e26,Control,view_capturing,2026-08-27T16:21:00.137279,2026-08-27T16:21:03.145101,robot5,m1,m1_s2
e27,Task,inspect,2026-08-27T16:21:03.147168,2026-08-27T16:21:15.149871,robot5,m1,m1_s2
e28,Task,irrigate,2026-08-27T16:21:16.101588,2026-08-27T16:21:40.108758,robot5,m1,m1_s2
e29,Control,move_to,2026-08-27T16:20:45.128218,2026-08-27T16:21:01.289722,robot6,m1,m1_s5
e30,Control,view_capturing,2026-08-27T16:21:01.290730,2026-08-27T16:21:04.295865,robot6,m1,m1_s5
e31,Task,inspect,2026-08-27T16:21:04.297109,2026-08-27T16:21:22.297880,robot6,m1,m1_s5
e32,Control,move_to,2026-08-27T16:21:23.103342,2026-08-27T16:21:35.836072,robot6,m1,m1_s8
e33,Control,view_capturing,2026-08-27T16:21:35.836701,2026-08-27T16:21:38.842357,robot6,m1,m1_s8
e34,Task,inspect,2026-08-27T16:21:38.844136,2026-08-27T16:21:46.855744,robot6,m1,m1_s8
e35,Task,irrigate,2026-08-27T16:21:49.104851,2026-08-27T16:22:05.113045,robot6,m1,m1_s8
e36,Control,move_to,2026-08-27T16:21:25.103023,2026-08-27T16:21:41.264685,robot7,m1,m1_s5
e37,Task,irrigate,2026-08-27T16:21:41.267303,2026-08-27T16:22:17.278433,robot7,m1,m1_s5
e38,Control,move_to,2026-08-27T16:22:18.106663,2026-08-27T16:22:18.109872,robot7,m1,m1_s4
e39,Task,spray,2026-08-27T16:22:18.110646,2026-08-27T16:22:28.115284,robot7,m1,m1_s4
e40,Control,move_to,2026-08-27T16:22:29.088695,2026-08-27T16:22:38.096372,robot7,m1,m1_s5
e41,Task,spray,2026-08-27T16:22:38.099036,2026-08-27T16:23:00.605820,robot7,m1,m1_s5
e42,Control,move_to,2026-08-27T16:23:01.108758,2026-08-27T16:23:13.859776,robot7,m1,m1_s8
e43,Task,spray,2026-08-27T16:23:13.861963,2026-08-27T16:23:23.866858,robot7,m1,m1_s8
e44,Control,move_to,2026-08-27T16:21:13.095673,2026-08-27T16:21:19.103867,robot8,m1,m1_s1
e45,Task,irrigate,2026-08-27T16:21:19.106053,2026-08-27T16:21:51.115557,robot8,m1,m1_s1
e46,Task,spray,2026-08-27T16:21:52.099077,2026-08-27T16:22:12.104593,robot8,m1,m1_s1
e47,Control,move_to,2026-08-27T16:22:13.097178,2026-08-27T16:22:28.103485,robot8,m1,m1_s2
e48,Task,spray,2026-08-27T16:22:28.105063,2026-08-27T16:22:43.111281,robot8,m1,m1_s2
e49,Control,move_to,2026-08-27T16:22:44.095882,2026-08-27T16:23:00.259941,robot8,m1,m1_s7
e50,Task,spray,2026-08-27T16:23:00.261846,2026-08-27T16:23:12.770807,robot8,m1,m1_s7
