event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,move_to,2026-08-27T16:45:28.752268,2026-08-27T16:45:34.756073,robot1,m1,s1
e2,Control,view_capturing,2026-08-27T16:45:34.756959,2026-08-27T16:45:37.760560,robot1,m1,s1
e3,Task,inspect,2026-08-27T16:45:37.761506,2026-08-27T16:45:53.766295,robot1,m1,s1
e4,Control,move_to,2026-08-27T16:45:54.740452,2026-08-27T16:46:15.959904,robot1,m1,s8
e5,Control,view_capturing,2026-08-27T16:46:15.963245,2026-08-27T16:46:18.968519,robot1,m1,s8
e6,Task,inspect,2026-08-27T16:46:18.969452,2026-08-27T16:46:26.973828,robot1,m1
e7,Control,move_to,2026-08-27T16:47:59.735949,2026-08-27T16:48:06.813404,robot1,m1
e8,Control,view_capturing,2026-08-27T16:48:06.815083,2026-08-27T16:48:09.820948,robot1,m1
e9,Task,final_inspection,2026-08-27T16:48:09.823048,2026-08-27T16:48:49.830463,robot1,m1,s8
e10,Control,move_to,2026-08-27T16:45:28.738156,2026-08-27T16:45:43.746757,robot2,m1,s2
e11,Control,view_capturing,2026-08-27T16:45:43.749792,2026-08-27T16:45:46.756978,robot2,m1,s2
e12,Task,inspect,2026-08-27T16:45:46.758806,2026-08-27T16:45:58.765516,robot2,m1,s2
e13,Control,move_to,2026-08-27T16:45:28.738429,2026-08-27T16:45:48.748321,robot3,m1,s3
e14,Control,view_capturing,2026-08-27T16:45:48.749039,2026-08-27T16:45:51.754128,robot3,m1,s3
e15,Task,inspect,2026-08-27T16:45:51.755805,2026-08-27T16:46:07.765126,robot3,m1,s3
e16,Task,irrigate,2026-08-27T16:46:10.733906,2026-08-27T16:46:42.740365,robot3,m1,s3
e17,Control,move_to,2026-08-27T16:45:28.740223,2026-08-27T16:45:37.230666,robot4,m1,s4
e18,Control,view_capturing,2026-08-27T16:45:37.231383,2026-08-27T16:45:40.235777,robot4,m1,s4
e19,Task,inspect,2026-08-27T16:45:40.236489,2026-08-27T16:45:48.240830,robot4,m1,s4
e20,Control,move_to,2026-08-27T16:45:48.729750,2026-08-27T16:45:57.741124,robot4,m1,s7
e21,Control,view_capturing,2026-08-27T16:45:57.742472,2026-08-27T16:46:00.749110,robot4,m1,s7
e22,Task,inspect,2026-08-27T16:46:00.751488,2026-08-27T16:46:10.760166,robot4,m1,s7
e23,Control,move_to,2026-08-27T16:46:11.725667,2026-08-27T16:46:20.731523,robot4,m1,s5
e24,Task,irrigate,2026-08-27T16:46:20.734514,2026-08-27T16:46:56.745651,robot4,m1,s5
e25,Control,move_to,2026-08-27T16:45:28.751731,2026-08-27T16:45:44.911251,robot5,m1,s5
e26,Control,view_capturing,2026-08-27T16:45:44.912910,2026-08-27T16:45:47.918595,robot5,m1,s5
e27,Task,inspect,2026-08-27T16:45:47.920516,2026-08-27T16:46:05.926891,robot5,m1,s5
e28,Control,move_to,2026-08-27T16:46:06.727624,2026-08-27T16:46:17.553208,robot5,m1,s2
e29,Task,irrigate,2026-08-27T16:46:17.556021,2026-08-27T16:46:41.559917,robot5,m1,s2
e30,Control,move_to,2026-08-27T16:45:28.749223,2026-08-27T16:45:49.635038,robot6,m1,s6
e31,Control,view_capturing,2026-08-27T16:45:49.636541,2026-08-27T16:45:52.641695,robot6,m1,s6
e32,Task,inspect,2026-08-27T16:45:52.643341,2026-08-27T16:45:58.649070,robot6,m1,s6
e33,Task,irrigate,2026-08-27T16:46:00.726598,2026-08-27T16:46:12.734185,robot6,m1,s6
e34,Control,move_to,2026-08-27T16:46:13.723754,2026-08-27T16:46:22.729620,robot6,m1,s7
e35,Task,irrigate,2026-08-27T16:46:22.730582,2026-08-27T16:46:42.733072,robot6,m1,s7
e36,Control,move_to,2026-08-27T16:45:50.746975,2026-08-27T16:45:59.239894,robot7,m1,s4
e37,Task,irrigate,2026-08-27T16:45:59.240757,2026-08-27T16:46:15.245000,robot7,m1,s4
e38,Task,spray,2026-08-27T16:46:15.733874,2026-08-27T16:46:25.739368,robot7,m1,s4
e39,Control,move_to,2026-08-27T16:46:27.821601,2026-08-27T16:46:40.557767,robot7,m1,s8
e40,Task,irrigate,2026-08-27T16:46:40.559721,2026-08-27T16:46:56.564288,robot7,m1,s8
e41,Control,move_to,2026-08-27T16:46:56.734833,2026-08-27T16:47:11.741251,robot7,m1,s2
e42,Task,spray,2026-08-27T16:47:11.744860,2026-08-27T16:47:26.749485,robot7,m1,s2
e43,Control,move_to,2026-08-27T16:47:27.729495,2026-08-27T16:47:48.948489,robot7,m1,s8
e44,Task,spray,2026-08-27T16:47:48.950094,2026-08-27T16:47:58.957105,robot7,m1,s8
e45,Control,move_to,2026-08-27T16:45:56.741482,2026-08-27T16:46:02.750217,robot8,m1,s1
e46,Task,irrigate,2026-08-27T16:46:02.752764,2026-08-27T16:46:34.759461,robot8,m1,s1
e47,Task,spray,2026-08-27T16:46:35.716295,2026-08-27T16:46:55.721889,robot8,m1,s1
e48,Control,move_to,2026-08-27T16:46:56.737075,2026-08-27T16:47:12.899052,robot8,m1,s7
e49,Task,spray,2026-08-27T16:47:12.900665,2026-08-27T16:47:25.406276,robot8,m1,s7
e50,Control,move_to,2026-08-27T16:47:25.727205,2026-08-27T16:47:34.733612,robot8,m1,s5
e51,Task,spray,2026-08-27T16:47:34.735571,2026-08-27T16:47:57.243198,robot8,m1,s5
