event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,move_to,2026-08-27T16:26:07.255784,2026-08-27T16:26:13.263682,robot1,m1,m1_m1_s1
e2,Control,view_capturing,2026-08-27T16:26:13.265827,2026-08-27T16:26:16.274382,robot1,m1,m1_m1_s1
e3,Task,inspect,2026-08-27T16:26:16.325521,2026-08-27T16:26:32.333321,robot1,m1,m1_m1_s1
e4,Control,move_to,2026-08-27T16:26:33.265376,2026-08-27T16:26:54.154470,robot1,m1,m1_m1_s6
e5,Control,view_capturing,2026-08-27T16:26:54.157120,2026-08-27T16:26:57.165973,robot1,m1,m1_m1_s6
e6,Task,inspect,2026-08-27T16:26:57.167924,2026-08-27T16:27:03.176370,robot1,m1,m1_m1_s6
e7,Control,move_to,2026-08-27T16:28:10.260437,2026-08-27T16:28:15.922455,robot1,m1,
e8,Control,view_capturing,2026-08-27T16:28:15.924244,2026-08-27T16:28:18.931586,robot1,m1,
e9,Task,final_inspection,2026-08-27T16:28:18.934121,2026-08-27T16:28:58.940904,robot1,m1,
e10,Control,move_to,2026-08-27T16:26:07.262177,2026-08-27T16:26:15.752389,robot2,m1,m1_m1_s4
e11,Control,view_capturing,2026-08-27T16:26:15.753769,2026-08-27T16:26:18.759443,robot2,m1,m1_m1_s4
e12,Task,inspect,2026-08-27T16:26:18.761866,2026-08-27T16:26:26.769542,robot2,m1,m1_m1_s4
e13,Control,move_to,2026-08-27T16:26:27.264635,2026-08-27T16:26:39.996786,robot2,m1,m1_m1_s8
e14,Control,view_capturing,2026-08-27T16:26:39.997970,2026-08-27T16:26:43.009797,robot2,m1,m1_m1_s8
e15,Task,inspect,2026-08-27T16:26:43.012947,2026-08-27T16:26:51.057401,robot2,m1,m1_m1_s8
e16,Control,move_to,2026-08-27T16:26:07.289274,2026-08-27T16:26:22.294673,robot3,m1,m1_m1_s2
e17,Control,view_capturing,2026-08-27T16:26:22.295710,2026-08-27T16:26:25.300999,robot3,m1,m1_m1_s2
e18,Task,inspect,2026-08-27T16:26:25.302987,2026-08-27T16:26:37.308820,robot3,m1,m1_m1_s2
e19,Task,irrigate,2026-08-27T16:26:38.256889,2026-08-27T16:27:02.261726,robot3,m1,m1_m1_s2
e20,Control,move_to,2026-08-27T16:27:05.261429,2026-08-27T16:27:26.146816,robot3,m1,m1_m1_s6
e21,Task,irrigate,2026-08-27T16:27:26.148232,2026-08-27T16:27:38.156276,robot3,m1,m1_m1_s6
e22,Control,move_to,2026-08-27T16:26:07.288860,2026-08-27T16:26:23.452276,robot4,m1,m1_m1_s5
e23,Control,view_capturing,2026-08-27T16:26:23.454108,2026-08-27T16:26:26.462502,robot4,m1,m1_m1_s5
e24,Task,inspect,2026-08-27T16:26:26.464225,2026-08-27T16:26:44.470982,robot4,m1,m1_m1_s5
e25,Task,irrigate,2026-08-27T16:26:47.275989,2026-08-27T16:27:23.282063,robot4,m1,m1_m1_s5
e26,Control,move_to,2026-08-27T16:26:07.313937,2026-08-27T16:26:23.483918,robot5,m1,m1_m1_s7
e27,Control,view_capturing,2026-08-27T16:26:23.486081,2026-08-27T16:26:26.492168,robot5,m1,m1_m1_s7
e28,Task,inspect,2026-08-27T16:26:26.493903,2026-08-27T16:26:36.501950,robot5,m1,m1_m1_s7
e29,Task,irrigate,2026-08-27T16:26:39.262864,2026-08-27T16:26:59.270322,robot5,m1,m1_m1_s7
e30,Control,move_to,2026-08-27T16:27:00.255474,2026-08-27T16:27:00.260837,robot5,m1,m1_m1_s8
e31,Task,irrigate,2026-08-27T16:27:00.262046,2026-08-27T16:27:16.268196,robot5,m1,m1_m1_s8
e32,Control,move_to,2026-08-27T16:26:07.312289,2026-08-27T16:26:27.316577,robot6,m1,m1_m1_s3
e33,Control,view_capturing,2026-08-27T16:26:27.317615,2026-08-27T16:26:30.323312,robot6,m1,m1_m1_s3
e34,Task,inspect,2026-08-27T16:26:30.326137,2026-08-27T16:26:46.334424,robot6,m1,m1_m1_s3
e35,Task,irrigate,2026-08-27T16:26:49.295782,2026-08-27T16:27:21.304214,robot6,m1,m1_m1_s3
e36,Control,move_to,2026-08-27T16:26:29.266117,2026-08-27T16:26:37.758538,robot7,m1,m1_m1_s4
e37,Task,irrigate,2026-08-27T16:26:37.759866,2026-08-27T16:26:53.769226,robot7,m1,m1_m1_s4
e38,Task,spray,2026-08-27T16:26:54.263552,2026-08-27T16:27:04.270596,robot7,m1,m1_m1_s4
e39,Control,move_to,2026-08-27T16:27:05.260658,2026-08-27T16:27:14.264429,robot7,m1,m1_m1_s7
e40,Task,spray,2026-08-27T16:27:14.265324,2026-08-27T16:27:26.772228,robot7,m1,m1_m1_s7
