objective_type,objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability
mission,m1,e149,e165,e187,r8,r6,sprayer
mission,m14,e335,e624,e620,r1,r2,sprayer
mission,m2,e182,e48,e197,r4,r7,camera
mission,m20,e448,e764,e774,r5,r6,sprayer
mission,m4,e268,e302,e286,r4,r2,sprayer
mission,m5,e246,e272,e251,r4,r2,sprayer
mission,m9,e473,e209,e531,r2,r7,camera
segment,m12_s2,e294,e607,e647,r5,r2,sprayer
segment,m13_s1,e311,e611,e664,r1,r6,sprayer
segment,m18_s2,e425,e742,e788,r1,r6,sprayer
