task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t1,survey_field,m1,,mission,r5,greedy,2026-01-01T08:00:00.00,e4,2026-01-01T08:00:33.25,2026-01-01T08:00:41.53
t11,survey_field,m2,,mission,r3,greedy,2026-01-01T08:00:10.00,e8,2026-01-01T08:00:58.87,2026-01-01T08:01:09.80
t20,survey_field,m3,,mission,r1,greedy,2026-01-01T08:00:20.00,e12,2026-01-01T08:02:06.85,2026-01-01T08:02:14.88
t30,survey_field,m4,,mission,r5,greedy,2026-01-01T08:00:30.00,e16,2026-01-01T08:01:31.92,2026-01-01T08:01:40.77
t39,survey_field,m5,,mission,r7,greedy,2026-01-01T08:00:40.00,e20,2026-01-01T08:01:19.67,2026-01-01T08:01:30.98
t2,inspect,m1,m1_s1,segment,r7,greedy,2026-01-01T08:00:41.53,e24,2026-01-01T08:02:46.25,2026-01-01T08:03:00.52
t5,inspect,m1,m1_s2,segment,r3,greedy,2026-01-01T08:00:41.53,e28,2026-01-01T08:02:39.09,2026-01-01T08:02:50.73
t7,inspect,m1,m1_s3,segment,r1,greedy,2026-01-01T08:00:41.53,e32,2026-01-01T08:03:12.29,2026-01-01T08:03:22.74
t49,survey_field,m6,,mission,r1,greedy,2026-01-01T08:00:50.00,e36,2026-01-01T08:03:37.02,2026-01-01T08:03:47.46
t58,survey_field,m7,,mission,r5,greedy,2026-01-01T08:01:00.00,e40,2026-01-01T08:02:06.60,2026-01-01T08:02:16.65
t12,inspect,m2,m2_s1,segment,r5,greedy,2026-01-01T08:01:09.80,e44,2026-01-01T08:03:49.10,2026-01-01T08:03:59.64
t14,inspect,m2,m2_s2,segment,r7,greedy,2026-01-01T08:01:09.80,e48,2026-01-01T08:05:32.86,2026-01-01T08:05:45.77
t17,inspect,m2,m2_s3,segment,r3,greedy,2026-01-01T08:01:09.80,e52,2026-01-01T08:04:22.45,2026-01-01T08:04:36.15
t68,survey_field,m8,,mission,r1,greedy,2026-01-01T08:01:10.00,e56,2026-01-01T08:05:14.84,2026-01-01T08:05:23.71
t77,survey_field,m9,,mission,r5,greedy,2026-01-01T08:01:20.00,e60,2026-01-01T08:05:13.55,2026-01-01T08:05:22.67
t87,survey_field,m10,,mission,r3,greedy,2026-01-01T08:01:30.00,e64,2026-01-01T08:06:03.00,2026-01-01T08:06:11.57
t40,inspect,m5,m5_s1,segment,r5,greedy,2026-01-01T08:01:30.98,e68,2026-01-01T08:05:30.85,2026-01-01T08:05:41.81
t43,inspect,m5,m5_s2,segment,r3,greedy,2026-01-01T08:01:30.98,e72,2026-01-01T08:06:25.50,2026-01-01T08:06:37.00
t45,inspect,m5,m5_s3,segment,r1,greedy,2026-01-01T08:01:30.98,e76,2026-01-01T08:07:16.76,2026-01-01T08:07:29.19
t96,survey_field,m11,,mission,r5,greedy,2026-01-01T08:01:40.00,e80,2026-01-01T08:06:29.62,2026-01-01T08:06:39.20
t31,inspect,m4,m4_s1,segment,r5,greedy,2026-01-01T08:01:40.77,e84,2026-01-01T08:07:12.67,2026-01-01T08:07:22.58
t33,inspect,m4,m4_s2,segment,r7,greedy,2026-01-01T08:01:40.77,e88,2026-01-01T08:08:37.80,2026-01-01T08:08:51.46
t36,inspect,m4,m4_s3,segment,r3,greedy,2026-01-01T08:01:40.77,e92,2026-01-01T08:08:05.91,2026-01-01T08:08:19.22
t106,survey_field,m12,,mission,r5,greedy,2026-01-01T08:01:50.00,e96,2026-01-01T08:08:39.91,2026-01-01T08:08:50.23
t115,survey_field,m13,,mission,r3,greedy,2026-01-01T08:02:00.00,e100,2026-01-01T08:08:59.00,2026-01-01T08:09:08.35
t125,survey_field,m14,,mission,r5,greedy,2026-01-01T08:02:10.00,e104,2026-01-01T08:09:29.28,2026-01-01T08:09:40.34
t21,inspect,m3,m3_s1,segment,r1,greedy,2026-01-01T08:02:14.88,e108,2026-01-01T08:09:42.56,2026-01-01T08:09:56.84
t24,inspect,m3,m3_s2,segment,r3,greedy,2026-01-01T08:02:14.88,e112,2026-01-01T08:10:29.86,2026-01-01T08:10:43.97
t26,inspect,m3,m3_s3,segment,r7,greedy,2026-01-01T08:02:14.88,e116,2026-01-01T08:09:13.82,2026-01-01T08:09:25.18
t59,inspect,m7,m7_s1,segment,r5,greedy,2026-01-01T08:02:16.65,e120,2026-01-01T08:10:46.66,2026-01-01T08:11:00.55
t62,inspect,m7,m7_s2,segment,r7,greedy,2026-01-01T08:02:16.65,e124,2026-01-01T08:09:42.79,2026-01-01T08:09:54.61
t64,inspect,m7,m7_s3,segment,r1,greedy,2026-01-01T08:02:16.65,e128,2026-01-01T08:11:34.54,2026-01-01T08:11:48.21
t134,survey_field,m15,,mission,r7,greedy,2026-01-01T08:02:20.00,e132,2026-01-01T08:10:40.93,2026-01-01T08:10:50.43
t144,survey_field,m16,,mission,r7,greedy,2026-01-01T08:02:30.00,e136,2026-01-01T08:11:02.66,2026-01-01T08:11:14.46
t153,survey_field,m17,,mission,r3,greedy,2026-01-01T08:02:40.00,e140,2026-01-01T08:12:03.75,2026-01-01T08:12:14.55
t163,survey_field,m18,,mission,r7,greedy,2026-01-01T08:02:50.00,e144,2026-01-01T08:12:33.34,2026-01-01T08:12:41.52
t6,harvest,m1,m1_s2,segment,r8,greedy,2026-01-01T08:02:50.73,e149,2026-01-01T08:03:34.14,2026-01-01T08:03:59.99
t172,survey_field,m19,,mission,r5,greedy,2026-01-01T08:03:00.00,e153,2026-01-01T08:12:38.91,2026-01-01T08:12:48.75
t3,spray,m1,m1_s1,segment,r2,greedy,2026-01-01T08:03:00.52,e157,2026-01-01T08:03:59.62,2026-01-01T08:04:16.18
t182,survey_field,m20,,mission,r3,greedy,2026-01-01T08:03:10.00,e161,2026-01-01T08:12:47.04,2026-01-01T08:12:55.86
t8,spray,m1,m1_s3,segment,r6,greedy,2026-01-01T08:03:22.74,e165,2026-01-01T08:04:12.15,2026-01-01T08:04:32.45
t50,inspect,m6,m6_s1,segment,r1,greedy,2026-01-01T08:03:47.46,e169,2026-01-01T08:12:27.55,2026-01-01T08:12:40.80
t52,inspect,m6,m6_s2,segment,r5,greedy,2026-01-01T08:03:47.46,e173,2026-01-01T08:14:09.67,2026-01-01T08:14:20.03
t55,inspect,m6,m6_s3,segment,r7,greedy,2026-01-01T08:03:47.46,e177,2026-01-01T08:13:30.74,2026-01-01T08:13:42.91
