perspective_type,perspective_id,source_event_id,source_task_id,source_robot_id,target_event_id,target_task_id,target_robot_id
mission,m1,e4,t1,r5,e28,t5,r3
mission,m1,e4,t1,r5,e24,t2,r7
mission,m1,e28,t5,r3,e32,t7,r1
mission,m1,e24,t2,r7,e32,t7,r1
mission,m1,e32,t7,r1,e149,t6,r8
mission,m1,e32,t7,r1,e157,t3,r2
mission,m1,e149,t6,r8,e165,t8,r6
mission,m1,e157,t3,r2,e187,t4,r8
mission,m1,e165,t8,r6,e187,t4,r8
mission,m1,e187,t4,r8,e192,t9,r8
mission,m1,e192,t9,r8,e276,t10,r7
mission,m10,e64,t87,r3,e233,t88,r5
mission,m10,e233,t88,r5,e237,t90,r3
mission,m10,e237,t90,r3,e241,t93,r7
mission,m10,e241,t93,r7,e540,t91,r6
mission,m10,e540,t91,r6,e527,t89,r4
mission,m10,e527,t89,r4,e554,t94,r8
mission,m10,e554,t94,r8,e559,t92,r4
mission,m10,e559,t92,r4,e783,t95,r7
mission,m11,e80,t96,r5,e263,t102,r1
mission,m11,e263,t102,r1,e255,t97,r5
mission,m11,e255,t97,r5,e259,t100,r3
mission,m11,e259,t100,r3,e549,t103,r6
mission,m11,e549,t103,r6,e563,t98,r2
mission,m11,e563,t98,r2,e573,t101,r5
mission,m11,e573,t101,r5,e585,t104,r8
mission,m11,e585,t104,r8,e598,t99,r4
mission,m11,e598,t99,r4,e802,t105,r3
mission,m12,e96,t106,r5,e290,t107,r1
mission,m12,e290,t107,r1,e298,t112,r7
mission,m12,e298,t112,r7,e294,t109,r5
mission,m12,e294,t109,r5,e607,t110,r2
mission,m12,e607,t110,r2,e590,t113,r4
mission,m12,e607,t110,r2,e568,t108,r1
mission,m12,e590,t113,r4,e647,t111,r5
mission,m12,e568,t108,r1,e647,t111,r5
mission,m12,e647,t111,r5,e806,t114,r3
mission,m13,e100,t115,r3,e315,t119,r3
mission,m13,e315,t119,r3,e311,t116,r1
mission,m13,e311,t116,r1,e319,t121,r7
mission,m13,e319,t121,r7,e611,t117,r6
mission,m13,e611,t117,r6,e615,t122,r6
mission,m13,e615,t122,r6,e603,t120,r5
mission,m13,e603,t120,r5,e673,t123,r4
mission,m13,e603,t120,r5,e664,t118,r1
mission,m13,e673,t123,r4,e810,t124,r7
mission,m13,e664,t118,r1,e810,t124,r7
mission,m14,e104,t125,r5,e327,t126,r3
mission,m14,e327,t126,r3,e331,t128,r5
mission,m14,e331,t128,r5,e335,t131,r1
mission,m14,e335,t131,r1,e624,t129,r2
mission,m14,e624,t129,r2,e620,t127,r1
mission,m14,e620,t127,r1,e633,t132,r5
mission,m14,e633,t132,r5,e678,t130,r4
mission,m14,e678,t130,r4,e814,t133,r3
mission,m15,e132,t134,r7,e353,t135,r7
mission,m15,e132,t134,r7,e357,t138,r3
mission,m15,e353,t135,r7,e361,t140,r5
mission,m15,e357,t138,r3,e361,t140,r5
mission,m15,e361,t140,r5,e628,t136,r6
mission,m15,e628,t136,r6,e668,t141,r6
mission,m15,e668,t141,r6,e638,t139,r1
mission,m15,e638,t139,r1,e692,t137,r1
mission,m15,e692,t137,r1,e720,t142,r1
mission,m15,e720,t142,r1,e822,t143,r7
mission,m16,e136,t144,r7,e373,t145,r1
mission,m16,e373,t145,r1,e377,t147,r7
mission,m16,e373,t145,r1,e381,t150,r3
mission,m16,e377,t147,r7,e682,t148,r2
mission,m16,e381,t150,r3,e682,t148,r2
mission,m16,e682,t148,r2,e655,t146,r8
mission,m16,e682,t148,r2,e687,t151,r1
mission,m16,e655,t146,r8,e710,t149,r8
mission,m16,e687,t151,r1,e710,t149,r8
mission,m16,e710,t149,r8,e818,t152,r7
mission,m17,e140,t153,r3,e399,t154,r1
mission,m17,e140,t153,r3,e407,t159,r3
mission,m17,e399,t154,r1,e403,t157,r7
mission,m17,e407,t159,r3,e696,t155,r2
mission,m17,e403,t157,r7,e696,t155,r2
mission,m17,e696,t155,r2,e700,t160,r6
mission,m17,e700,t160,r6,e705,t158,r5
mission,m17,e705,t158,r5,e747,t156,r5
mission,m17,e747,t156,r5,e769,t161,r8
mission,m17,e769,t161,r8,e830,t162,r3
mission,m18,e144,t163,r7,e421,t164,r5
mission,m18,e421,t164,r5,e429,t169,r7
mission,m18,e429,t169,r7,e425,t166,r1
mission,m18,e425,t166,r1,e742,t167,r6
mission,m18,e742,t167,r6,e715,t165,r4
mission,m18,e715,t165,r4,e734,t170,r8
mission,m18,e734,t170,r8,e788,t168,r1
mission,m18,e788,t168,r1,e826,t171,r1
mission,m19,e153,t172,r5,e437,t176,r3
mission,m19,e153,t172,r5,e433,t173,r5
mission,m19,e437,t176,r3,e441,t178,r7
mission,m19,e433,t173,r5,e441,t178,r7
mission,m19,e441,t178,r7,e729,t174,r2
mission,m19,e729,t174,r2,e760,t179,r2
mission,m19,e760,t179,r2,e725,t177,r4
mission,m19,e725,t177,r4,e779,t175,r4
mission,m19,e779,t175,r4,e793,t180,r8
mission,m19,e793,t180,r8,e838,t181,r1
mission,m2,e8,t11,r3,e44,t12,r5
mission,m2,e44,t12,r5,e52,t17,r3
mission,m2,e44,t12,r5,e182,t13,r4
mission,m2,e52,t17,r3,e48,t14,r7
mission,m2,e182,t13,r4,e48,t14,r7
mission,m2,e48,t14,r7,e197,t18,r4
mission,m2,e197,t18,r4,e229,t15,r6
mission,m2,e229,t15,r6,e281,t16,r8
mission,m2,e281,t16,r8,e365,t19,r3
mission,m20,e161,t182,r3,e459,t188,r3
mission,m20,e459,t188,r3,e455,t185,r1
mission,m20,e455,t185,r1,e448,t183,r5
mission,m20,e448,t183,r5,e764,t186,r6
mission,m20,e764,t186,r6,e774,t184,r5
mission,m20,e764,t186,r6,e752,t189,r4
mission,m20,e774,t184,r5,e798,t187,r5
mission,m20,e752,t189,r4,e798,t187,r5
mission,m20,e798,t187,r5,e834,t190,r3
mission,m3,e12,t20,r1,e116,t26,r7
mission,m3,e116,t26,r7,e108,t21,r1
mission,m3,e108,t21,r1,e112,t24,r3
mission,m3,e112,t24,r3,e344,t22,r6
mission,m3,e344,t22,r6,e323,t27,r2
mission,m3,e323,t27,r2,e349,t25,r8
mission,m3,e349,t25,r8,e395,t23,r4
mission,m3,e395,t23,r4,e412,t28,r8
mission,m3,e412,t28,r8,e580,t29,r7
mission,m4,e16,t30,r5,e84,t31,r5
mission,m4,e84,t31,r5,e92,t36,r3
mission,m4,e92,t36,r3,e88,t33,r7
mission,m4,e88,t33,r7,e268,t32,r4
mission,m4,e268,t32,r4,e302,t34,r2
mission,m4,e302,t34,r2,e286,t37,r4
mission,m4,e286,t37,r4,e390,t35,r4
mission,m4,e390,t35,r4,e522,t38,r1
mission,m5,e20,t39,r7,e68,t40,r5
mission,m5,e68,t40,r5,e225,t41,r2
mission,m5,e68,t40,r5,e72,t43,r3
mission,m5,e225,t41,r2,e76,t45,r1
mission,m5,e72,t43,r3,e76,t45,r1
mission,m5,e76,t45,r1,e246,t42,r4
mission,m5,e246,t42,r4,e272,t46,r2
mission,m5,e272,t46,r2,e251,t44,r4
mission,m5,e251,t44,r4,e307,t47,r8
mission,m5,e307,t47,r8,e485,t48,r3
mission,m6,e36,t49,r1,e169,t50,r1
mission,m6,e169,t50,r1,e177,t55,r7
mission,m6,e177,t55,r7,e173,t52,r5
mission,m6,e173,t52,r5,e489,t53,r6
mission,m6,e489,t53,r6,e417,t51,r4
mission,m6,e417,t51,r4,e464,t56,r8
mission,m6,e464,t56,r8,e499,t54,r4
mission,m6,e499,t54,r4,e642,t57,r7
mission,m7,e40,t58,r5,e124,t62,r7
mission,m7,e124,t62,r7,e120,t59,r5
mission,m7,e120,t59,r5,e128,t64,r1
mission,m7,e128,t64,r1,e369,t60,r6
mission,m7,e369,t60,r6,e385,t65,r2
mission,m7,e385,t65,r2,e340,t63,r4
mission,m7,e340,t63,r4,e469,t61,r4
mission,m7,e469,t61,r4,e494,t66,r8
mission,m7,e494,t66,r8,e659,t67,r3
mission,m8,e56,t68,r1,e217,t71,r5
mission,m8,e56,t68,r1,e213,t69,r3
mission,m8,e217,t71,r5,e503,t72,r6
mission,m8,e213,t69,r3,e503,t72,r6
mission,m8,e503,t72,r6,e221,t74,r1
mission,m8,e221,t74,r1,e508,t70,r4
mission,m8,e508,t70,r4,e518,t73,r8
mission,m8,e518,t73,r8,e536,t75,r8
mission,m8,e536,t75,r8,e738,t76,r7
mission,m9,e60,t77,r5,e201,t78,r1
mission,m9,e60,t77,r5,e205,t81,r3
mission,m9,e201,t78,r1,e473,t79,r2
mission,m9,e205,t81,r3,e473,t79,r2
mission,m9,e473,t79,r2,e209,t83,r7
mission,m9,e209,t83,r7,e531,t84,r2
mission,m9,e531,t84,r2,e478,t82,r8
mission,m9,e478,t82,r8,e513,t80,r8
mission,m9,e513,t80,r8,e545,t85,r4
mission,m9,e545,t85,r4,e756,t86,r3
segment,m10_s1,e233,t88,r5,e527,t89,r4
segment,m10_s2,e237,t90,r3,e540,t91,r6
segment,m10_s2,e540,t91,r6,e559,t92,r4
segment,m10_s3,e241,t93,r7,e554,t94,r8
