pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
capability_return,mission,m1,,,,,,,,e149,e165,e187,r8,r6,sprayer,,,,,
capability_return,mission,m14,,,,,,,,e335,e624,e620,r1,r2,sprayer,,,,,
capability_return,mission,m2,,,,,,,,e182,e48,e197,r4,r7,camera,,,,,
capability_return,mission,m20,,,,,,,,e448,e764,e774,r5,r6,sprayer,,,,,
capability_return,mission,m4,,,,,,,,e268,e302,e286,r4,r2,sprayer,,,,,
capability_return,mission,m5,,,,,,,,e246,e272,e251,r4,r2,sprayer,,,,,
capability_return,mission,m9,,,,,,,,e473,e209,e531,r2,r7,camera,,,,,
capability_return,segment,m12_s2,,,,,,,,e294,e607,e647,r5,r2,sprayer,,,,,
capability_return,segment,m13_s1,,,,,,,,e311,e611,e664,r1,r6,sprayer,,,,,
capability_return,segment,m18_s2,,,,,,,,e425,e742,e788,r1,r6,sprayer,,,,,
handover,mission,m1,e149,e165,r8,r6,,,,,,,,,,,,,,
handover,mission,m1,e165,e187,r6,r8,,,,,,,,,,,,,,
handover,mission,m1,e192,e276,r8,r7,,,,,,,,,,,,,,
handover,mission,m1,e24,e32,r7,r1,,,,,,,,,,,,,,
handover,mission,m1,e28,e32,r3,r1,,,,,,,,,,,,,,
handover,mission,m1,e32,e149,r1,r8,,,,,,,,,,,,,,
handover,mission,m1,e32,e157,r1,r2,,,,,,,,,,,,,,
handover,mission,m1,e4,e24,r5,r7,,,,,,,,,,,,,,
handover,mission,m1,e4,e28,r5,r3,,,,,,,,,,,,,,
handover,mission,m10,e233,e237,r5,r3,,,,,,,,,,,,,,
handover,mission,m10,e237,e241,r3,r7,,,,,,,,,,,,,,
handover,mission,m10,e241,e540,r7,r6,,,,,,,,,,,,,,
handover,mission,m10,e527,e554,r4,r8,,,,,,,,,,,,,,
handover,mission,m10,e540,e527,r6,r4,,,,,,,,,,,,,,
handover,mission,m10,e554,e559,r8,r4,,,,,,,,,,,,,,
handover,mission,m10,e559,e783,r4,r7,,,,,,,,,,,,,,
handover,mission,m10,e64,e233,r3,r5,,,,,,,,,,,,,,
handover,mission,m11,e255,e259,r5,r3,,,,,,,,,,,,,,
