objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id
mission,m1,e149,e165,r8,r6
mission,m1,e165,e187,r6,r8
mission,m1,e192,e276,r8,r7
mission,m1,e24,e32,r7,r1
mission,m1,e28,e32,r3,r1
mission,m1,e32,e149,r1,r8
mission,m1,e32,e157,r1,r2
mission,m1,e4,e24,r5,r7
mission,m1,e4,e28,r5,r3
mission,m10,e233,e237,r5,r3
mission,m10,e237,e241,r3,r7
mission,m10,e241,e540,r7,r6
mission,m10,e527,e554,r4,r8
mission,m10,e540,e527,r6,r4
mission,m10,e554,e559,r8,r4
mission,m10,e559,e783,r4,r7
mission,m10,e64,e233,r3,r5
mission,m11,e255,e259,r5,r3
mission,m11,e259,e549,r3,r6
mission,m11,e263,e255,r1,r5
mission,m11,e549,e563,r6,r2
mission,m11,e563,e573,r2,r5
mission,m11,e573,e585,r5,r8
mission,m11,e585,e598,r8,r4
mission,m11,e598,e802,r4,r3
mission,m11,e80,e263,r5,r1
mission,m12,e290,e298,r1,r7
mission,m12,e294,e607,r5,r2
mission,m12,e298,e294,r7,r5
mission,m12,e568,e647,r1,r5
mission,m12,e590,e647,r4,r5
mission,m12,e607,e568,r2,r1
mission,m12,e607,e590,r2,r4
mission,m12,e647,e806,r5,r3
mission,m12,e96,e290,r5,r1
mission,m13,e311,e319,r1,r7
mission,m13,e315,e311,r3,r1
mission,m13,e319,e611,r7,r6
mission,m13,e603,e664,r5,r1
mission,m13,e603,e673,r5,r4
mission,m13,e615,e603,r6,r5
mission,m13,e664,e810,r1,r7
mission,m13,e673,e810,r4,r7
mission,m14,e104,e327,r5,r3
mission,m14,e327,e331,r3,r5
mission,m14,e331,e335,r5,r1
mission,m14,e335,e624,r1,r2
mission,m14,e620,e633,r1,r5
mission,m14,e624,e620,r2,r1
mission,m14,e633,e678,r5,r4
mission,m14,e678,e814,r4,r3
mission,m15,e132,e357,r7,r3
mission,m15,e353,e361,r7,r5
mission,m15,e357,e361,r3,r5
mission,m15,e361,e628,r5,r6
mission,m15,e668,e638,r6,r1
mission,m15,e720,e822,r1,r7
mission,m16,e136,e373,r7,r1
mission,m16,e373,e377,r1,r7
mission,m16,e373,e381,r1,r3
mission,m16,e377,e682,r7,r2
mission,m16,e381,e682,r3,r2
mission,m16,e682,e655,r2,r8
mission,m16,e682,e687,r2,r1
mission,m16,e710,e818,r8,r7
mission,m17,e140,e399,r3,r1
mission,m17,e399,e403,r1,r7
mission,m17,e403,e696,r7,r2
mission,m17,e407,e696,r3,r2
mission,m17,e696,e700,r2,r6
mission,m17,e700,e705,r6,r5
mission,m17,e747,e769,r5,r8
mission,m17,e769,e830,r8,r3
mission,m18,e144,e421,r7,r5
mission,m18,e421,e429,r5,r7
mission,m18,e425,e742,r1,r6
mission,m18,e429,e425,r7,r1
mission,m18,e715,e734,r4,r8
mission,m18,e734,e788,r8,r1
mission,m18,e742,e715,r6,r4
mission,m19,e153,e437,r5,r3
mission,m19,e433,e441,r5,r7
mission,m19,e437,e441,r3,r7
mission,m19,e441,e729,r7,r2
mission,m19,e760,e725,r2,r4
mission,m19,e779,e793,r4,r8
mission,m19,e793,e838,r8,r1
mission,m2,e182,e48,r4,r7
mission,m2,e197,e229,r4,r6
mission,m2,e229,e281,r6,r8
mission,m2,e281,e365,r8,r3
mission,m2,e44,e182,r5,r4
mission,m2,e44,e52,r5,r3
mission,m2,e48,e197,r7,r4
mission,m2,e52,e48,r3,r7
mission,m2,e8,e44,r3,r5
mission,m20,e448,e764,r5,r6
mission,m20,e455,e448,r1,r5
mission,m20,e459,e455,r3,r1
mission,m20,e764,e752,r6,r4
mission,m20,e764,e774,r6,r5
mission,m20,e798,e834,r5,r3
mission,m3,e108,e112,r1,r3
mission,m3,e112,e344,r3,r6
mission,m3,e116,e108,r7,r1
mission,m3,e12,e116,r1,r7
mission,m3,e323,e349,r2,r8
mission,m3,e344,e323,r6,r2
mission,m3,e349,e395,r8,r4
mission,m3,e395,e412,r4,r8
mission,m3,e412,e580,r8,r7
mission,m4,e268,e302,r4,r2
mission,m4,e302,e286,r2,r4
mission,m4,e390,e522,r4,r1
mission,m4,e84,e92,r5,r3
mission,m4,e88,e268,r7,r4
mission,m4,e92,e88,r3,r7
mission,m5,e20,e68,r7,r5
mission,m5,e225,e76,r2,r1
mission,m5,e246,e272,r4,r2
mission,m5,e251,e307,r4,r8
mission,m5,e272,e251,r2,r4
mission,m5,e307,e485,r8,r3
mission,m5,e68,e225,r5,r2
mission,m5,e68,e72,r5,r3
mission,m5,e72,e76,r3,r1
mission,m5,e76,e246,r1,r4
mission,m6,e169,e177,r1,r7
mission,m6,e173,e489,r5,r6
mission,m6,e177,e173,r7,r5
mission,m6,e417,e464,r4,r8
mission,m6,e464,e499,r8,r4
mission,m6,e489,e417,r6,r4
mission,m6,e499,e642,r4,r7
mission,m7,e120,e128,r5,r1
mission,m7,e124,e120,r7,r5
mission,m7,e128,e369,r1,r6
mission,m7,e369,e385,r6,r2
mission,m7,e385,e340,r2,r4
mission,m7,e40,e124,r5,r7
mission,m7,e469,e494,r4,r8
mission,m7,e494,e659,r8,r3
mission,m8,e213,e503,r3,r6
mission,m8,e217,e503,r5,r6
mission,m8,e221,e508,r1,r4
mission,m8,e503,e221,r6,r1
mission,m8,e508,e518,r4,r8
mission,m8,e536,e738,r8,r7
mission,m8,e56,e213,r1,r3
mission,m8,e56,e217,r1,r5
mission,m9,e201,e473,r1,r2
mission,m9,e205,e473,r3,r2
mission,m9,e209,e531,r7,r2
mission,m9,e473,e209,r2,r7
mission,m9,e513,e545,r8,r4
mission,m9,e531,e478,r2,r8
mission,m9,e545,e756,r4,r3
mission,m9,e60,e201,r5,r1
mission,m9,e60,e205,r5,r3
segment,m10_s1,e233,e527,r5,r4
segment,m10_s2,e237,e540,r3,r6
segment,m10_s2,e540,e559,r6,r4
segment,m10_s3,e241,e554,r7,r8
segment,m11_s1,e255,e563,r5,r2
segment,m11_s1,e563,e598,r2,r4
segment,m11_s2,e259,e573,r3,r5
segment,m11_s3,e263,e549,r1,r6
segment,m11_s3,e549,e585,r6,r8
segment,m12_s2,e294,e607,r5,r2
segment,m12_s2,e607,e647,r2,r5
segment,m12_s3,e298,e590,r7,r4
segment,m13_s1,e311,e611,r1,r6
segment,m13_s1,e611,e664,r6,r1
segment,m13_s2,e315,e603,r3,r5
segment,m13_s3,e319,e615,r7,r6
segment,m13_s3,e615,e673,r6,r4
segment,m14_s1,e327,e620,r3,r1
segment,m14_s2,e331,e624,r5,r2
segment,m14_s2,e624,e678,r2,r4
segment,m14_s3,e335,e633,r1,r5
segment,m15_s1,e353,e628,r7,r6
segment,m15_s1,e628,e692,r6,r1
segment,m15_s2,e357,e638,r3,r1
segment,m15_s3,e361,e668,r5,r6
segment,m15_s3,e668,e720,r6,r1
segment,m16_s1,e373,e655,r1,r8
