objective_type,objective_1,objective_2,mission_id,overlap_start,overlap_end
mission,m1,m10,,2026-01-01T08:06:03.00,2026-01-01T08:18:47.34
mission,m1,m11,,2026-01-01T08:06:29.62,2026-01-01T08:18:47.34
mission,m1,m12,,2026-01-01T08:08:39.91,2026-01-01T08:18:47.34
mission,m1,m13,,2026-01-01T08:08:59.00,2026-01-01T08:18:47.34
mission,m1,m14,,2026-01-01T08:09:29.28,2026-01-01T08:18:47.34
mission,m1,m15,,2026-01-01T08:10:40.93,2026-01-01T08:18:47.34
mission,m1,m16,,2026-01-01T08:11:02.66,2026-01-01T08:18:47.34
mission,m1,m17,,2026-01-01T08:12:03.75,2026-01-01T08:18:47.34
mission,m1,m18,,2026-01-01T08:12:33.34,2026-01-01T08:18:47.34
mission,m1,m19,,2026-01-01T08:12:38.91,2026-01-01T08:18:47.34
mission,m1,m2,,2026-01-01T08:00:58.87,2026-01-01T08:18:47.34
mission,m1,m20,,2026-01-01T08:12:47.04,2026-01-01T08:18:47.34
mission,m1,m3,,2026-01-01T08:02:06.85,2026-01-01T08:18:47.34
mission,m1,m4,,2026-01-01T08:01:31.92,2026-01-01T08:18:47.34
mission,m1,m5,,2026-01-01T08:01:19.67,2026-01-01T08:18:47.34
mission,m1,m6,,2026-01-01T08:03:37.02,2026-01-01T08:18:47.34
mission,m1,m7,,2026-01-01T08:02:06.60,2026-01-01T08:18:47.34
mission,m1,m8,,2026-01-01T08:05:14.84,2026-01-01T08:18:47.34
mission,m1,m9,,2026-01-01T08:05:13.55,2026-01-01T08:18:47.34
mission,m10,m11,,2026-01-01T08:06:29.62,2026-01-01T08:37:22.61
mission,m10,m12,,2026-01-01T08:08:39.91,2026-01-01T08:37:32.81
mission,m10,m13,,2026-01-01T08:08:59.00,2026-01-01T08:37:32.81
mission,m10,m14,,2026-01-01T08:09:29.28,2026-01-01T08:37:32.81
mission,m10,m15,,2026-01-01T08:10:40.93,2026-01-01T08:37:32.81
mission,m10,m16,,2026-01-01T08:11:02.66,2026-01-01T08:37:32.81
mission,m10,m17,,2026-01-01T08:12:03.75,2026-01-01T08:37:32.81
mission,m10,m18,,2026-01-01T08:12:33.34,2026-01-01T08:37:32.81
mission,m10,m19,,2026-01-01T08:12:38.91,2026-01-01T08:37:32.81
mission,m10,m2,,2026-01-01T08:06:03.00,2026-01-01T08:23:49.04
mission,m10,m20,,2026-01-01T08:12:47.04,2026-01-01T08:37:32.81
mission,m10,m3,,2026-01-01T08:06:03.00,2026-01-01T08:33:20.22
mission,m10,m4,,2026-01-01T08:06:03.00,2026-01-01T08:31:53.53
mission,m10,m5,,2026-01-01T08:06:03.00,2026-01-01T08:32:06.10
