objective_type,robot_id,prev_event_id,next_event_id,from_objective_id,to_objective_id
mission,r1,e108,e128,m3,m7
mission,r1,e12,e32,m3,m1
mission,r1,e128,e169,m7,m6
mission,r1,e169,e201,m6,m9
mission,r1,e201,e221,m9,m8
mission,r1,e221,e263,m8,m11
mission,r1,e263,e290,m11,m12
mission,r1,e290,e311,m12,m13
mission,r1,e311,e335,m13,m14
mission,r1,e32,e36,m1,m6
mission,r1,e335,e373,m14,m16
mission,r1,e36,e56,m6,m8
mission,r1,e373,e399,m16,m17
mission,r1,e399,e425,m17,m18
mission,r1,e425,e455,m18,m20
mission,r1,e455,e522,m20,m4
mission,r1,e522,e568,m4,m12
mission,r1,e56,e76,m8,m5
mission,r1,e568,e620,m12,m14
mission,r1,e620,e638,m14,m15
mission,r1,e638,e664,m15,m13
mission,r1,e664,e687,m13,m16
mission,r1,e687,e692,m16,m15
mission,r1,e720,e788,m15,m18
mission,r1,e76,e108,m5,m3
mission,r1,e826,e838,m18,m19
mission,r2,e157,e225,m1,m5
mission,r2,e272,e302,m5,m4
mission,r2,e302,e323,m4,m3
mission,r2,e323,e385,m3,m7
mission,r2,e385,e473,m7,m9
mission,r2,e531,e563,m9,m11
mission,r2,e563,e607,m11,m12
mission,r2,e607,e624,m12,m14
mission,r2,e624,e682,m14,m16
mission,r2,e682,e696,m16,m17
mission,r2,e696,e729,m17,m19
mission,r3,e100,e112,m13,m3
mission,r3,e112,e140,m3,m17
mission,r3,e140,e161,m17,m20
mission,r3,e161,e205,m20,m9
mission,r3,e205,e213,m9,m8
mission,r3,e213,e237,m8,m10
mission,r3,e237,e259,m10,m11
mission,r3,e259,e315,m11,m13
mission,r3,e28,e52,m1,m2
mission,r3,e315,e327,m13,m14
mission,r3,e327,e357,m14,m15
mission,r3,e357,e365,m15,m2
mission,r3,e365,e381,m2,m16
mission,r3,e381,e407,m16,m17
mission,r3,e407,e437,m17,m19
mission,r3,e437,e459,m19,m20
mission,r3,e459,e485,m20,m5
mission,r3,e485,e659,m5,m7
mission,r3,e52,e64,m2,m10
mission,r3,e64,e72,m10,m5
mission,r3,e659,e756,m7,m9
mission,r3,e72,e92,m5,m4
mission,r3,e756,e802,m9,m11
mission,r3,e8,e28,m2,m1
mission,r3,e802,e806,m11,m12
mission,r3,e806,e814,m12,m14
mission,r3,e814,e830,m14,m17
mission,r3,e830,e834,m17,m20
mission,r3,e92,e100,m4,m13
mission,r4,e197,e246,m2,m5
mission,r4,e251,e268,m5,m4
mission,r4,e286,e340,m4,m7
mission,r4,e340,e390,m7,m4
mission,r4,e390,e395,m4,m3
mission,r4,e395,e417,m3,m6
mission,r4,e417,e469,m6,m7
mission,r4,e469,e499,m7,m6
mission,r4,e499,e508,m6,m8
mission,r4,e508,e527,m8,m10
mission,r4,e527,e545,m10,m9
mission,r4,e545,e559,m9,m10
mission,r4,e559,e590,m10,m12
mission,r4,e590,e598,m12,m11
mission,r4,e598,e673,m11,m13
mission,r4,e673,e678,m13,m14
mission,r4,e678,e715,m14,m18
mission,r4,e715,e725,m18,m19
mission,r4,e725,e752,m19,m20
mission,r4,e752,e779,m20,m19
mission,r5,e104,e120,m14,m7
mission,r5,e120,e153,m7,m19
mission,r5,e153,e173,m19,m6
mission,r5,e16,e40,m4,m7
mission,r5,e173,e217,m6,m8
mission,r5,e217,e233,m8,m10
mission,r5,e233,e255,m10,m11
mission,r5,e255,e294,m11,m12
mission,r5,e294,e331,m12,m14
mission,r5,e331,e361,m14,m15
mission,r5,e361,e421,m15,m18
mission,r5,e4,e16,m1,m4
mission,r5,e40,e44,m7,m2
mission,r5,e421,e433,m18,m19
mission,r5,e433,e448,m19,m20
mission,r5,e44,e60,m2,m9
mission,r5,e448,e573,m20,m11
mission,r5,e573,e603,m11,m13
mission,r5,e60,e68,m9,m5
mission,r5,e603,e633,m13,m14
mission,r5,e633,e647,m14,m12
mission,r5,e647,e705,m12,m17
mission,r5,e68,e80,m5,m11
mission,r5,e747,e774,m17,m20
mission,r5,e80,e84,m11,m4
mission,r5,e84,e96,m4,m12
mission,r5,e96,e104,m12,m14
mission,r6,e165,e229,m1,m2
mission,r6,e229,e344,m2,m3
mission,r6,e344,e369,m3,m7
mission,r6,e369,e489,m7,m6
mission,r6,e489,e503,m6,m8
mission,r6,e503,e540,m8,m10
mission,r6,e540,e549,m10,m11
mission,r6,e549,e611,m11,m13
mission,r6,e615,e628,m13,m15
mission,r6,e668,e700,m15,m17
mission,r6,e700,e742,m17,m18
mission,r6,e742,e764,m18,m20
mission,r7,e116,e124,m3,m7
mission,r7,e124,e132,m7,m15
mission,r7,e132,e136,m15,m16
mission,r7,e136,e144,m16,m18
mission,r7,e144,e177,m18,m6
mission,r7,e177,e209,m6,m9
mission,r7,e20,e24,m5,m1
mission,r7,e209,e241,m9,m10
mission,r7,e24,e48,m1,m2
mission,r7,e241,e276,m10,m1
mission,r7,e276,e298,m1,m12
mission,r7,e298,e319,m12,m13
mission,r7,e319,e353,m13,m15
mission,r7,e353,e377,m15,m16
mission,r7,e377,e403,m16,m17
mission,r7,e403,e429,m17,m18
mission,r7,e429,e441,m18,m19
mission,r7,e441,e580,m19,m3
mission,r7,e48,e88,m2,m4
mission,r7,e580,e642,m3,m6
mission,r7,e642,e738,m6,m8
mission,r7,e738,e783,m8,m10
mission,r7,e783,e810,m10,m13
mission,r7,e810,e818,m13,m16
mission,r7,e818,e822,m16,m15
mission,r7,e88,e116,m4,m3
mission,r8,e192,e281,m1,m2
mission,r8,e281,e307,m2,m5
mission,r8,e307,e349,m5,m3
mission,r8,e412,e464,m3,m6
mission,r8,e464,e478,m6,m9
mission,r8,e478,e494,m9,m7
mission,r8,e494,e513,m7,m9
mission,r8,e513,e518,m9,m8
