task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t1,survey_field,m1,,mission,r5,hungarian,2026-01-01T08:00:00.00,e4,2026-01-01T08:00:33.25,2026-01-01T08:00:41.53
t11,survey_field,m2,,mission,r3,hungarian,2026-01-01T08:00:10.00,e8,2026-01-01T08:00:58.87,2026-01-01T08:01:09.80
t20,survey_field,m3,,mission,r1,hungarian,2026-01-01T08:00:20.00,e12,2026-01-01T08:02:06.85,2026-01-01T08:02:14.88
t30,survey_field,m4,,mission,r5,hungarian,2026-01-01T08:00:30.00,e16,2026-01-01T08:01:31.92,2026-01-01T08:01:40.77
t39,survey_field,m5,,mission,r7,hungarian,2026-01-01T08:00:40.00,e20,2026-01-01T08:01:19.67,2026-01-01T08:01:30.98
t2,inspect,m1,m1_s1,segment,r7,hungarian,2026-01-01T08:00:41.53,e24,2026-01-01T08:02:46.25,2026-01-01T08:03:00.52
t5,inspect,m1,m1_s2,segment,r3,hungarian,2026-01-01T08:00:41.53,e28,2026-01-01T08:02:39.09,2026-01-01T08:02:50.73
t7,inspect,m1,m1_s3,segment,r1,hungarian,2026-01-01T08:00:41.53,e32,2026-01-01T08:03:12.29,2026-01-01T08:03:22.74
t49,survey_field,m6,,mission,r1,hungarian,2026-01-01T08:00:50.00,e36,2026-01-01T08:03:37.02,2026-01-01T08:03:47.46
t58,survey_field,m7,,mission,r5,hungarian,2026-01-01T08:01:00.00,e40,2026-01-01T08:02:06.60,2026-01-01T08:02:16.65
t12,inspect,m2,m2_s1,segment,r7,hungarian,2026-01-01T08:01:09.80,e44,2026-01-01T08:04:28.13,2026-01-01T08:04:38.67
t14,inspect,m2,m2_s2,segment,r5,hungarian,2026-01-01T08:01:09.80,e48,2026-01-01T08:02:55.08,2026-01-01T08:03:07.99
t17,inspect,m2,m2_s3,segment,r3,hungarian,2026-01-01T08:01:09.80,e52,2026-01-01T08:04:22.45,2026-01-01T08:04:36.15
t68,survey_field,m8,,mission,r5,hungarian,2026-01-01T08:01:10.00,e56,2026-01-01T08:04:43.79,2026-01-01T08:04:52.66
t77,survey_field,m9,,mission,r5,hungarian,2026-01-01T08:01:20.00,e60,2026-01-01T08:05:44.92,2026-01-01T08:05:54.04
t87,survey_field,m10,,mission,r7,hungarian,2026-01-01T08:01:30.00,e64,2026-01-01T08:04:46.79,2026-01-01T08:04:55.36
t40,inspect,m5,m5_s1,segment,r1,hungarian,2026-01-01T08:01:30.98,e68,2026-01-01T08:05:49.16,2026-01-01T08:06:00.12
t43,inspect,m5,m5_s2,segment,r7,hungarian,2026-01-01T08:01:30.98,e72,2026-01-01T08:05:09.29,2026-01-01T08:05:20.79
t45,inspect,m5,m5_s3,segment,r3,hungarian,2026-01-01T08:01:30.98,e76,2026-01-01T08:05:33.01,2026-01-01T08:05:45.44
t96,survey_field,m11,,mission,r7,hungarian,2026-01-01T08:01:40.00,e80,2026-01-01T08:05:48.81,2026-01-01T08:05:58.39
t31,inspect,m4,m4_s1,segment,r7,hungarian,2026-01-01T08:01:40.77,e84,2026-01-01T08:06:31.86,2026-01-01T08:06:41.77
t33,inspect,m4,m4_s2,segment,r1,hungarian,2026-01-01T08:01:40.77,e88,2026-01-01T08:07:33.45,2026-01-01T08:07:47.11
t36,inspect,m4,m4_s3,segment,r5,hungarian,2026-01-01T08:01:40.77,e92,2026-01-01T08:06:30.36,2026-01-01T08:06:43.67
t106,survey_field,m12,,mission,r7,hungarian,2026-01-01T08:01:50.00,e96,2026-01-01T08:07:59.09,2026-01-01T08:08:09.41
t115,survey_field,m13,,mission,r3,hungarian,2026-01-01T08:02:00.00,e100,2026-01-01T08:07:18.43,2026-01-01T08:07:27.78
t125,survey_field,m14,,mission,r5,hungarian,2026-01-01T08:02:10.00,e104,2026-01-01T08:08:44.17,2026-01-01T08:08:55.23
t21,inspect,m3,m3_s1,segment,r3,hungarian,2026-01-01T08:02:14.88,e108,2026-01-01T08:08:14.51,2026-01-01T08:08:28.79
t24,inspect,m3,m3_s2,segment,r7,hungarian,2026-01-01T08:02:14.88,e112,2026-01-01T08:09:30.69,2026-01-01T08:09:44.80
t26,inspect,m3,m3_s3,segment,r1,hungarian,2026-01-01T08:02:14.88,e116,2026-01-01T08:08:09.48,2026-01-01T08:08:20.84
t59,inspect,m7,m7_s1,segment,r5,hungarian,2026-01-01T08:02:16.65,e120,2026-01-01T08:10:01.55,2026-01-01T08:10:15.44
t62,inspect,m7,m7_s2,segment,r1,hungarian,2026-01-01T08:02:16.65,e124,2026-01-01T08:08:38.44,2026-01-01T08:08:50.26
t64,inspect,m7,m7_s3,segment,r3,hungarian,2026-01-01T08:02:16.65,e128,2026-01-01T08:10:06.49,2026-01-01T08:10:20.16
t134,survey_field,m15,,mission,r1,hungarian,2026-01-01T08:02:20.00,e132,2026-01-01T08:09:36.59,2026-01-01T08:09:46.09
t144,survey_field,m16,,mission,r1,hungarian,2026-01-01T08:02:30.00,e136,2026-01-01T08:09:58.32,2026-01-01T08:10:10.12
t153,survey_field,m17,,mission,r7,hungarian,2026-01-01T08:02:40.00,e140,2026-01-01T08:11:04.59,2026-01-01T08:11:15.39
t163,survey_field,m18,,mission,r1,hungarian,2026-01-01T08:02:50.00,e144,2026-01-01T08:11:28.99,2026-01-01T08:11:37.17
t6,harvest,m1,m1_s2,segment,r8,hungarian,2026-01-01T08:02:50.73,e149,2026-01-01T08:03:34.14,2026-01-01T08:03:59.99
t172,survey_field,m19,,mission,r3,hungarian,2026-01-01T08:03:00.00,e153,2026-01-01T08:11:51.98,2026-01-01T08:12:01.82
t3,spray,m1,m1_s1,segment,r2,hungarian,2026-01-01T08:03:00.52,e157,2026-01-01T08:03:59.62,2026-01-01T08:04:16.18
t15,spray,m2,m2_s2,segment,r6,hungarian,2026-01-01T08:03:07.99,e161,2026-01-01T08:06:03.80,2026-01-01T08:06:20.89
t182,survey_field,m20,,mission,r7,hungarian,2026-01-01T08:03:10.00,e165,2026-01-01T08:11:47.88,2026-01-01T08:11:56.70
t8,spray,m1,m1_s3,segment,r2,hungarian,2026-01-01T08:03:22.74,e169,2026-01-01T08:06:26.79,2026-01-01T08:06:47.09
t50,inspect,m6,m6_s1,segment,r1,hungarian,2026-01-01T08:03:47.46,e173,2026-01-01T08:13:36.20,2026-01-01T08:13:49.45
t52,inspect,m6,m6_s2,segment,r5,hungarian,2026-01-01T08:03:47.46,e177,2026-01-01T08:10:37.50,2026-01-01T08:10:47.86
t55,inspect,m6,m6_s3,segment,r3,hungarian,2026-01-01T08:03:47.46,e181,2026-01-01T08:12:23.58,2026-01-01T08:12:35.75
t4,harvest,m1,m1_s1,segment,r8,hungarian,2026-01-01T08:04:16.18,e186,2026-01-01T08:05:03.73,2026-01-01T08:05:27.68
t18,harvest,m2,m2_s3,segment,r4,hungarian,2026-01-01T08:04:36.15,e191,2026-01-01T08:05:47.68,2026-01-01T08:06:10.98
t13,harvest,m2,m2_s1,segment,r8,hungarian,2026-01-01T08:04:38.67,e196,2026-01-01T08:06:58.24,2026-01-01T08:07:21.93
t69,inspect,m8,m8_s1,segment,r3,hungarian,2026-01-01T08:04:52.66,e200,2026-01-01T08:13:36.99,2026-01-01T08:13:49.39
t71,inspect,m8,m8_s2,segment,r5,hungarian,2026-01-01T08:04:52.66,e204,2026-01-01T08:11:13.78,2026-01-01T08:11:27.77
