perspective_type,perspective_id,source_event_id,source_task_id,source_robot_id,target_event_id,target_task_id,target_robot_id
mission,m1,e4,t1,r5,e28,t5,r3
mission,m1,e4,t1,r5,e24,t2,r7
mission,m1,e28,t5,r3,e32,t7,r1
mission,m1,e24,t2,r7,e32,t7,r1
mission,m1,e32,t7,r1,e149,t6,r8
mission,m1,e32,t7,r1,e157,t3,r2
mission,m1,e149,t6,r8,e186,t4,r8
mission,m1,e157,t3,r2,e186,t4,r8
mission,m1,e186,t4,r8,e169,t8,r2
mission,m1,e169,t8,r2,e277,t9,r8
mission,m1,e277,t9,r8,e470,t10,r7
mission,m10,e64,t87,r7,e216,t90,r5
mission,m10,e216,t90,r5,e212,t88,r7
mission,m10,e212,t88,r7,e456,t91,r2
mission,m10,e456,t91,r2,e220,t93,r1
mission,m10,e220,t93,r1,e495,t89,r1
mission,m10,e495,t89,r1,e519,t92,r8
mission,m10,e519,t92,r8,e524,t94,r8
mission,m10,e524,t94,r8,e784,t95,r3
mission,m11,e80,t96,r7,e253,t102,r3
mission,m11,e253,t102,r3,e249,t100,r5
mission,m11,e249,t100,r5,e245,t97,r1
mission,m11,e245,t97,r1,e532,t103,r6
mission,m11,e532,t103,r6,e557,t98,r6
mission,m11,e557,t98,r6,e544,t101,r5
mission,m11,e544,t101,r5,e570,t104,r1
mission,m11,e570,t104,r1,e641,t99,r1
mission,m11,e641,t99,r1,e810,t105,r7
mission,m12,e96,t106,r7,e297,t107,r3
mission,m12,e297,t107,r3,e301,t109,r7
mission,m12,e301,t109,r7,e305,t112,r5
mission,m12,e305,t112,r5,e591,t110,r2
mission,m12,e591,t110,r2,e553,t108,r4
mission,m12,e553,t108,r4,e619,t113,r1
mission,m12,e619,t113,r1,e668,t111,r5
mission,m12,e668,t111,r5,e814,t114,r3
mission,m13,e100,t115,r3,e281,t116,r7
mission,m13,e281,t116,r7,e289,t121,r1
mission,m13,e289,t121,r1,e285,t119,r5
mission,m13,e285,t119,r5,e548,t117,r2
mission,m13,e548,t117,r2,e574,t122,r2
mission,m13,e574,t122,r2,e587,t120,r5
mission,m13,e587,t120,r5,e609,t118,r4
mission,m13,e609,t118,r4,e624,t123,r8
mission,m13,e624,t123,r8,e806,t124,r7
mission,m14,e104,t125,r5,e326,t128,r3
mission,m14,e104,t125,r5,e322,t126,r1
mission,m14,e326,t128,r3,e330,t131,r7
mission,m14,e322,t126,r1,e330,t131,r7
mission,m14,e330,t131,r7,e595,t129,r6
mission,m14,e595,t129,r6,e600,t127,r4
mission,m14,e600,t127,r4,e614,t132,r5
mission,m14,e614,t132,r5,e663,t130,r5
mission,m14,e663,t130,r5,e802,t133,r3
mission,m15,e132,t134,r1,e349,t135,r1
mission,m15,e132,t134,r1,e353,t138,r3
mission,m15,e349,t135,r1,e357,t140,r5
mission,m15,e353,t138,r3,e357,t140,r5
mission,m15,e357,t140,r5,e628,t136,r6
mission,m15,e628,t136,r6,e658,t141,r6
mission,m15,e658,t141,r6,e636,t139,r4
mission,m15,e636,t139,r4,e682,t137,r1
mission,m15,e682,t137,r1,e714,t142,r5
mission,m15,e714,t142,r5,e822,t143,r7
mission,m16,e136,t144,r1,e373,t150,r1
mission,m16,e136,t144,r1,e369,t147,r7
mission,m16,e373,t150,r1,e365,t145,r3
mission,m16,e373,t150,r1,e649,t148,r2
mission,m16,e369,t147,r7,e365,t145,r3
mission,m16,e369,t147,r7,e649,t148,r2
mission,m16,e365,t145,r3,e654,t151,r8
mission,m16,e649,t148,r2,e654,t151,r8
mission,m16,e654,t151,r8,e687,t146,r5
mission,m16,e687,t146,r5,e692,t149,r8
mission,m16,e692,t149,r8,e818,t152,r7
mission,m17,e140,t153,r7,e402,t159,r1
mission,m17,e402,t159,r1,e398,t157,r7
mission,m17,e398,t157,r7,e394,t154,r5
mission,m17,e394,t154,r5,e672,t160,r2
mission,m17,e672,t160,r2,e705,t155,r6
mission,m17,e705,t155,r6,e677,t158,r4
mission,m17,e677,t158,r4,e756,t156,r4
mission,m17,e756,t156,r4,e747,t161,r1
mission,m17,e747,t161,r1,e830,t162,r3
mission,m18,e144,t163,r1,e418,t169,r7
mission,m18,e418,t169,r7,e414,t166,r1
mission,m18,e414,t166,r1,e410,t164,r3
mission,m18,e410,t164,r3,e709,t167,r2
mission,m18,e709,t167,r2,e701,t170,r1
mission,m18,e701,t170,r1,e719,t165,r8
mission,m18,e719,t165,r8,e780,t168,r8
mission,m18,e780,t168,r8,e834,t171,r7
mission,m19,e153,t172,r3,e448,t176,r1
mission,m19,e448,t176,r1,e452,t178,r3
mission,m19,e452,t178,r3,e444,t173,r5
mission,m19,e444,t173,r5,e751,t174,r6
mission,m19,e751,t174,r6,e742,t179,r2
mission,m19,e742,t179,r2,e738,t177,r8
mission,m19,e738,t177,r8,e794,t180,r1
mission,m19,e738,t177,r8,e789,t175,r4
mission,m19,e794,t180,r1,e838,t181,r3
mission,m19,e789,t175,r4,e838,t181,r3
mission,m2,e8,t11,r3,e48,t14,r5
mission,m2,e48,t14,r5,e52,t17,r3
mission,m2,e48,t14,r5,e44,t12,r7
mission,m2,e52,t17,r3,e191,t18,r4
mission,m2,e52,t17,r3,e161,t15,r6
mission,m2,e44,t12,r7,e191,t18,r4
mission,m2,e44,t12,r7,e161,t15,r6
mission,m2,e191,t18,r4,e196,t13,r8
mission,m2,e161,t15,r6,e196,t13,r8
mission,m2,e196,t13,r8,e262,t16,r8
mission,m2,e262,t16,r8,e361,t19,r3
mission,m20,e165,t182,r7,e432,t183,r5
mission,m20,e432,t183,r5,e436,t185,r7
mission,m20,e432,t183,r5,e440,t188,r3
mission,m20,e436,t185,r7,e728,t186,r6
mission,m20,e440,t188,r3,e728,t186,r6
mission,m20,e728,t186,r6,e724,t184,r4
mission,m20,e724,t184,r4,e733,t189,r1
mission,m20,e733,t189,r1,e775,t187,r4
mission,m20,e775,t187,r4,e826,t190,r3
mission,m3,e12,t20,r1,e116,t26,r1
mission,m3,e12,t20,r1,e108,t21,r3
mission,m3,e116,t26,r1,e112,t24,r7
mission,m3,e108,t21,r3,e112,t24,r7
mission,m3,e112,t24,r7,e309,t27,r2
mission,m3,e112,t24,r7,e313,t22,r6
mission,m3,e309,t27,r2,e345,t25,r4
mission,m3,e313,t22,r6,e345,t25,r4
mission,m3,e345,t25,r4,e423,t28,r4
mission,m3,e423,t28,r4,e428,t23,r8
mission,m3,e428,t23,r8,e645,t29,r7
mission,m4,e16,t30,r5,e92,t36,r5
mission,m4,e16,t30,r5,e84,t31,r7
mission,m4,e92,t36,r5,e88,t33,r1
mission,m4,e84,t31,r7,e88,t33,r1
mission,m4,e88,t33,r1,e267,t32,r4
mission,m4,e267,t32,r4,e293,t34,r2
mission,m4,e293,t34,r2,e272,t37,r4
mission,m4,e272,t37,r4,e390,t35,r8
mission,m4,e390,t35,r8,e604,t38,r7
mission,m5,e20,t39,r7,e72,t43,r7
mission,m5,e72,t43,r7,e76,t45,r3
mission,m5,e76,t45,r3,e68,t40,r1
mission,m5,e68,t40,r1,e225,t44,r4
mission,m5,e225,t44,r4,e257,t41,r2
mission,m5,e225,t44,r4,e229,t46,r6
mission,m5,e257,t41,r2,e335,t42,r4
mission,m5,e229,t46,r6,e335,t42,r4
mission,m5,e335,t42,r4,e340,t47,r8
mission,m5,e340,t47,r8,e536,t48,r3
mission,m6,e36,t49,r1,e177,t52,r5
mission,m6,e177,t52,r5,e181,t55,r3
mission,m6,e181,t55,r3,e173,t50,r1
mission,m6,e173,t50,r1,e385,t53,r6
mission,m6,e385,t53,r6,e466,t56,r4
mission,m6,e466,t56,r4,e490,t51,r8
mission,m6,e490,t51,r8,e504,t54,r5
mission,m6,e504,t54,r5,e763,t57,r7
mission,m7,e40,t58,r5,e124,t62,r1
mission,m7,e124,t62,r1,e120,t59,r5
mission,m7,e124,t62,r1,e128,t64,r3
mission,m7,e120,t59,r5,e318,t63,r4
mission,m7,e128,t64,r3,e318,t63,r4
mission,m7,e318,t63,r4,e381,t65,r2
mission,m7,e318,t63,r4,e377,t60,r6
mission,m7,e381,t65,r2,e475,t66,r4
mission,m7,e377,t60,r6,e475,t66,r4
mission,m7,e475,t66,r4,e480,t61,r8
mission,m7,e480,t61,r8,e696,t67,r3
mission,m8,e56,t68,r5,e204,t71,r5
mission,m8,e204,t71,r5,e208,t74,r7
mission,m8,e208,t74,r7,e200,t69,r3
mission,m8,e200,t69,r3,e406,t72,r6
mission,m8,e406,t72,r6,e461,t75,r8
mission,m8,e461,t75,r8,e485,t70,r4
mission,m8,e485,t70,r4,e509,t73,r4
mission,m8,e509,t73,r4,e770,t76,r3
mission,m9,e60,t77,r5,e241,t83,r5
mission,m9,e241,t83,r5,e237,t81,r3
mission,m9,e237,t81,r3,e233,t78,r7
mission,m9,e233,t78,r7,e499,t84,r2
mission,m9,e499,t84,r2,e528,t79,r2
mission,m9,e528,t79,r2,e514,t82,r1
mission,m9,e514,t82,r1,e562,t85,r8
mission,m9,e562,t85,r8,e582,t80,r8
mission,m9,e582,t80,r8,e798,t86,r7
segment,m10_s1,e212,t88,r7,e495,t89,r1
