pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
capability_return,mission,m1,,,,,,,,e157,e186,e169,r2,r8,gripper,,,,,
capability_return,mission,m1,,,,,,,,e186,e169,e277,r8,r2,sprayer,,,,,
capability_return,mission,m4,,,,,,,,e267,e293,e272,r4,r2,sprayer,,,,,
capability_return,mission,m5,,,,,,,,e225,e229,e335,r4,r6,sprayer,,,,,
capability_return,mission,m5,,,,,,,,e225,e257,e335,r4,r2,sprayer,,,,,
capability_return,mission,m7,,,,,,,,e318,e377,e475,r4,r6,sprayer,,,,,
capability_return,mission,m7,,,,,,,,e318,e381,e475,r4,r2,sprayer,,,,,
capability_return,segment,m11_s1,,,,,,,,e245,e557,e641,r1,r6,sprayer,,,,,
capability_return,segment,m15_s1,,,,,,,,e349,e628,e682,r1,r6,sprayer,,,,,
capability_return,segment,m15_s3,,,,,,,,e357,e658,e714,r5,r6,sprayer,,,,,
capability_return,segment,m17_s3,,,,,,,,e402,e672,e747,r1,r2,sprayer,,,,,
capability_return,segment,m6_s2,,,,,,,,e177,e385,e504,r5,r6,sprayer,,,,,
handover,mission,m1,e169,e277,r2,r8,,,,,,,,,,,,,,
handover,mission,m1,e186,e169,r8,r2,,,,,,,,,,,,,,
handover,mission,m1,e24,e32,r7,r1,,,,,,,,,,,,,,
handover,mission,m1,e277,e470,r8,r7,,,,,,,,,,,,,,
handover,mission,m1,e28,e32,r3,r1,,,,,,,,,,,,,,
handover,mission,m1,e32,e149,r1,r8,,,,,,,,,,,,,,
handover,mission,m1,e32,e157,r1,r2,,,,,,,,,,,,,,
handover,mission,m1,e4,e24,r5,r7,,,,,,,,,,,,,,
handover,mission,m1,e4,e28,r5,r3,,,,,,,,,,,,,,
handover,mission,m10,e212,e456,r7,r2,,,,,,,,,,,,,,
handover,mission,m10,e216,e212,r5,r7,,,,,,,,,,,,,,
handover,mission,m10,e456,e220,r2,r1,,,,,,,,,,,,,,
handover,mission,m10,e495,e519,r1,r8,,,,,,,,,,,,,,
handover,mission,m10,e524,e784,r8,r3,,,,,,,,,,,,,,
handover,mission,m10,e64,e216,r7,r5,,,,,,,,,,,,,,
handover,mission,m11,e245,e532,r1,r6,,,,,,,,,,,,,,
handover,mission,m11,e249,e245,r5,r1,,,,,,,,,,,,,,
handover,mission,m11,e253,e249,r3,r5,,,,,,,,,,,,,,
handover,mission,m11,e544,e570,r5,r1,,,,,,,,,,,,,,
handover,mission,m11,e557,e544,r6,r5,,,,,,,,,,,,,,
handover,mission,m11,e641,e810,r1,r7,,,,,,,,,,,,,,
handover,mission,m11,e80,e253,r7,r3,,,,,,,,,,,,,,
handover,mission,m12,e297,e301,r3,r7,,,,,,,,,,,,,,
handover,mission,m12,e301,e305,r7,r5,,,,,,,,,,,,,,
handover,mission,m12,e305,e591,r5,r2,,,,,,,,,,,,,,
handover,mission,m12,e553,e619,r4,r1,,,,,,,,,,,,,,
handover,mission,m12,e591,e553,r2,r4,,,,,,,,,,,,,,
handover,mission,m12,e619,e668,r1,r5,,,,,,,,,,,,,,
handover,mission,m12,e668,e814,r5,r3,,,,,,,,,,,,,,
handover,mission,m12,e96,e297,r7,r3,,,,,,,,,,,,,,
handover,mission,m13,e100,e281,r3,r7,,,,,,,,,,,,,,
handover,mission,m13,e281,e289,r7,r1,,,,,,,,,,,,,,
handover,mission,m13,e285,e548,r5,r2,,,,,,,,,,,,,,
handover,mission,m13,e289,e285,r1,r5,,,,,,,,,,,,,,
handover,mission,m13,e574,e587,r2,r5,,,,,,,,,,,,,,
handover,mission,m13,e587,e609,r5,r4,,,,,,,,,,,,,,
handover,mission,m13,e609,e624,r4,r8,,,,,,,,,,,,,,
handover,mission,m13,e624,e806,r8,r7,,,,,,,,,,,,,,
handover,mission,m14,e104,e322,r5,r1,,,,,,,,,,,,,,
handover,mission,m14,e104,e326,r5,r3,,,,,,,,,,,,,,
handover,mission,m14,e322,e330,r1,r7,,,,,,,,,,,,,,
handover,mission,m14,e326,e330,r3,r7,,,,,,,,,,,,,,
handover,mission,m14,e330,e595,r7,r6,,,,,,,,,,,,,,
handover,mission,m14,e595,e600,r6,r4,,,,,,,,,,,,,,
handover,mission,m14,e600,e614,r4,r5,,,,,,,,,,,,,,
