objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id
mission,m1,e169,e277,r2,r8
mission,m1,e186,e169,r8,r2
mission,m1,e24,e32,r7,r1
mission,m1,e277,e470,r8,r7
mission,m1,e28,e32,r3,r1
mission,m1,e32,e149,r1,r8
mission,m1,e32,e157,r1,r2
mission,m1,e4,e24,r5,r7
mission,m1,e4,e28,r5,r3
mission,m10,e212,e456,r7,r2
mission,m10,e216,e212,r5,r7
mission,m10,e456,e220,r2,r1
mission,m10,e495,e519,r1,r8
mission,m10,e524,e784,r8,r3
mission,m10,e64,e216,r7,r5
mission,m11,e245,e532,r1,r6
mission,m11,e249,e245,r5,r1
mission,m11,e253,e249,r3,r5
mission,m11,e544,e570,r5,r1
mission,m11,e557,e544,r6,r5
mission,m11,e641,e810,r1,r7
mission,m11,e80,e253,r7,r3
mission,m12,e297,e301,r3,r7
mission,m12,e301,e305,r7,r5
mission,m12,e305,e591,r5,r2
mission,m12,e553,e619,r4,r1
mission,m12,e591,e553,r2,r4
mission,m12,e619,e668,r1,r5
mission,m12,e668,e814,r5,r3
mission,m12,e96,e297,r7,r3
mission,m13,e100,e281,r3,r7
mission,m13,e281,e289,r7,r1
mission,m13,e285,e548,r5,r2
mission,m13,e289,e285,r1,r5
mission,m13,e574,e587,r2,r5
mission,m13,e587,e609,r5,r4
mission,m13,e609,e624,r4,r8
mission,m13,e624,e806,r8,r7
mission,m14,e104,e322,r5,r1
mission,m14,e104,e326,r5,r3
mission,m14,e322,e330,r1,r7
mission,m14,e326,e330,r3,r7
mission,m14,e330,e595,r7,r6
mission,m14,e595,e600,r6,r4
mission,m14,e600,e614,r4,r5
mission,m14,e663,e802,r5,r3
mission,m15,e132,e353,r1,r3
mission,m15,e349,e357,r1,r5
mission,m15,e353,e357,r3,r5
mission,m15,e357,e628,r5,r6
mission,m15,e636,e682,r4,r1
mission,m15,e658,e636,r6,r4
mission,m15,e682,e714,r1,r5
mission,m15,e714,e822,r5,r7
mission,m16,e136,e369,r1,r7
mission,m16,e365,e654,r3,r8
mission,m16,e369,e365,r7,r3
mission,m16,e369,e649,r7,r2
mission,m16,e373,e365,r1,r3
mission,m16,e373,e649,r1,r2
mission,m16,e649,e654,r2,r8
mission,m16,e654,e687,r8,r5
mission,m16,e687,e692,r5,r8
mission,m16,e692,e818,r8,r7
mission,m17,e140,e402,r7,r1
mission,m17,e394,e672,r5,r2
mission,m17,e398,e394,r7,r5
mission,m17,e402,e398,r1,r7
mission,m17,e672,e705,r2,r6
mission,m17,e705,e677,r6,r4
mission,m17,e747,e830,r1,r3
mission,m17,e756,e747,r4,r1
mission,m18,e144,e418,r1,r7
mission,m18,e410,e709,r3,r2
mission,m18,e414,e410,r1,r3
mission,m18,e418,e414,r7,r1
mission,m18,e701,e719,r1,r8
mission,m18,e709,e701,r2,r1
mission,m18,e780,e834,r8,r7
mission,m19,e153,e448,r3,r1
mission,m19,e444,e751,r5,r6
mission,m19,e448,e452,r1,r3
mission,m19,e452,e444,r3,r5
mission,m19,e738,e789,r8,r4
mission,m19,e738,e794,r8,r1
mission,m19,e742,e738,r2,r8
mission,m19,e751,e742,r6,r2
mission,m19,e789,e838,r4,r3
mission,m19,e794,e838,r1,r3
mission,m2,e161,e196,r6,r8
mission,m2,e191,e196,r4,r8
mission,m2,e262,e361,r8,r3
mission,m2,e44,e161,r7,r6
mission,m2,e44,e191,r7,r4
mission,m2,e48,e44,r5,r7
mission,m2,e48,e52,r5,r3
mission,m2,e52,e161,r3,r6
mission,m2,e52,e191,r3,r4
mission,m2,e8,e48,r3,r5
mission,m20,e165,e432,r7,r5
mission,m20,e432,e436,r5,r7
mission,m20,e432,e440,r5,r3
mission,m20,e436,e728,r7,r6
mission,m20,e440,e728,r3,r6
mission,m20,e724,e733,r4,r1
mission,m20,e728,e724,r6,r4
mission,m20,e733,e775,r1,r4
mission,m20,e775,e826,r4,r3
mission,m3,e108,e112,r3,r7
mission,m3,e112,e309,r7,r2
mission,m3,e112,e313,r7,r6
mission,m3,e116,e112,r1,r7
mission,m3,e12,e108,r1,r3
mission,m3,e309,e345,r2,r4
mission,m3,e313,e345,r6,r4
mission,m3,e423,e428,r4,r8
mission,m3,e428,e645,r8,r7
mission,m4,e16,e84,r5,r7
mission,m4,e267,e293,r4,r2
mission,m4,e272,e390,r4,r8
mission,m4,e293,e272,r2,r4
mission,m4,e390,e604,r8,r7
mission,m4,e84,e88,r7,r1
mission,m4,e88,e267,r1,r4
mission,m4,e92,e88,r5,r1
mission,m5,e225,e229,r4,r6
mission,m5,e225,e257,r4,r2
mission,m5,e229,e335,r6,r4
mission,m5,e257,e335,r2,r4
mission,m5,e335,e340,r4,r8
mission,m5,e340,e536,r8,r3
mission,m5,e68,e225,r1,r4
mission,m5,e72,e76,r7,r3
mission,m5,e76,e68,r3,r1
mission,m6,e173,e385,r1,r6
mission,m6,e177,e181,r5,r3
mission,m6,e181,e173,r3,r1
mission,m6,e36,e177,r1,r5
mission,m6,e385,e466,r6,r4
mission,m6,e466,e490,r4,r8
mission,m6,e490,e504,r8,r5
mission,m6,e504,e763,r5,r7
mission,m7,e120,e318,r5,r4
mission,m7,e124,e120,r1,r5
mission,m7,e124,e128,r1,r3
mission,m7,e128,e318,r3,r4
