objective_type,objective_1,objective_2,mission_id,overlap_start,overlap_end
mission,m1,m10,,2026-01-01T08:04:46.79,2026-01-01T08:26:46.09
mission,m1,m11,,2026-01-01T08:05:48.81,2026-01-01T08:26:46.09
mission,m1,m12,,2026-01-01T08:07:59.09,2026-01-01T08:26:46.09
mission,m1,m13,,2026-01-01T08:07:18.43,2026-01-01T08:26:46.09
mission,m1,m14,,2026-01-01T08:08:44.17,2026-01-01T08:26:46.09
mission,m1,m15,,2026-01-01T08:09:36.59,2026-01-01T08:26:46.09
mission,m1,m16,,2026-01-01T08:09:58.32,2026-01-01T08:26:46.09
mission,m1,m17,,2026-01-01T08:11:04.59,2026-01-01T08:26:46.09
mission,m1,m18,,2026-01-01T08:11:28.99,2026-01-01T08:26:46.09
mission,m1,m19,,2026-01-01T08:11:51.98,2026-01-01T08:26:46.09
mission,m1,m2,,2026-01-01T08:00:58.87,2026-01-01T08:21:20.82
mission,m1,m20,,2026-01-01T08:11:47.88,2026-01-01T08:26:46.09
mission,m1,m3,,2026-01-01T08:02:06.85,2026-01-01T08:26:46.09
mission,m1,m4,,2026-01-01T08:01:31.92,2026-01-01T08:26:46.09
mission,m1,m5,,2026-01-01T08:01:19.67,2026-01-01T08:26:46.09
mission,m1,m6,,2026-01-01T08:03:37.02,2026-01-01T08:26:46.09
mission,m1,m7,,2026-01-01T08:02:06.60,2026-01-01T08:26:46.09
mission,m1,m8,,2026-01-01T08:04:43.79,2026-01-01T08:26:46.09
mission,m1,m9,,2026-01-01T08:05:44.92,2026-01-01T08:26:46.09
mission,m10,m11,,2026-01-01T08:05:48.81,2026-01-01T08:34:38.13
mission,m10,m12,,2026-01-01T08:07:59.09,2026-01-01T08:34:38.13
mission,m10,m13,,2026-01-01T08:07:18.43,2026-01-01T08:34:38.13
mission,m10,m14,,2026-01-01T08:08:44.17,2026-01-01T08:34:38.13
mission,m10,m15,,2026-01-01T08:09:36.59,2026-01-01T08:34:38.13
mission,m10,m16,,2026-01-01T08:09:58.32,2026-01-01T08:34:38.13
mission,m10,m17,,2026-01-01T08:11:04.59,2026-01-01T08:34:38.13
mission,m10,m18,,2026-01-01T08:11:28.99,2026-01-01T08:34:38.13
mission,m10,m19,,2026-01-01T08:11:51.98,2026-01-01T08:34:38.13
mission,m10,m2,,2026-01-01T08:04:46.79,2026-01-01T08:21:20.82
mission,m10,m20,,2026-01-01T08:11:47.88,2026-01-01T08:34:38.13
mission,m10,m3,,2026-01-01T08:04:46.79,2026-01-01T08:30:18.05
