objective_type,robot_id,prev_event_id,next_event_id,from_objective_id,to_objective_id
mission,r1,e116,e124,m3,m7
mission,r1,e12,e32,m3,m1
mission,r1,e124,e132,m7,m15
mission,r1,e132,e136,m15,m16
mission,r1,e136,e144,m16,m18
mission,r1,e144,e173,m18,m6
mission,r1,e173,e220,m6,m10
mission,r1,e220,e245,m10,m11
mission,r1,e245,e289,m11,m13
mission,r1,e289,e322,m13,m14
mission,r1,e32,e36,m1,m6
mission,r1,e322,e349,m14,m15
mission,r1,e349,e373,m15,m16
mission,r1,e36,e68,m6,m5
mission,r1,e373,e402,m16,m17
mission,r1,e402,e414,m17,m18
mission,r1,e414,e448,m18,m19
mission,r1,e448,e495,m19,m10
mission,r1,e495,e514,m10,m9
mission,r1,e514,e570,m9,m11
mission,r1,e570,e619,m11,m12
mission,r1,e619,e641,m12,m11
mission,r1,e641,e682,m11,m15
mission,r1,e68,e88,m5,m4
mission,r1,e682,e701,m15,m18
mission,r1,e701,e733,m18,m20
mission,r1,e733,e747,m20,m17
mission,r1,e747,e794,m17,m19
mission,r1,e88,e116,m4,m3
mission,r2,e169,e257,m1,m5
mission,r2,e257,e293,m5,m4
mission,r2,e293,e309,m4,m3
mission,r2,e309,e381,m3,m7
mission,r2,e381,e456,m7,m10
mission,r2,e456,e499,m10,m9
mission,r2,e528,e548,m9,m13
mission,r2,e574,e591,m13,m12
mission,r2,e591,e649,m12,m16
mission,r2,e649,e672,m16,m17
mission,r2,e672,e709,m17,m18
mission,r2,e709,e742,m18,m19
mission,r3,e100,e108,m13,m3
mission,r3,e108,e128,m3,m7
mission,r3,e128,e153,m7,m19
mission,r3,e153,e181,m19,m6
mission,r3,e181,e200,m6,m8
mission,r3,e200,e237,m8,m9
mission,r3,e237,e253,m9,m11
mission,r3,e253,e297,m11,m12
mission,r3,e28,e52,m1,m2
mission,r3,e297,e326,m12,m14
mission,r3,e326,e353,m14,m15
mission,r3,e353,e361,m15,m2
mission,r3,e361,e365,m2,m16
mission,r3,e365,e410,m16,m18
mission,r3,e410,e440,m18,m20
mission,r3,e440,e452,m20,m19
mission,r3,e452,e536,m19,m5
mission,r3,e52,e76,m2,m5
mission,r3,e536,e696,m5,m7
mission,r3,e696,e770,m7,m8
mission,r3,e76,e100,m5,m13
mission,r3,e770,e784,m8,m10
mission,r3,e784,e802,m10,m14
mission,r3,e8,e28,m2,m1
mission,r3,e802,e814,m14,m12
mission,r3,e814,e826,m12,m20
mission,r3,e826,e830,m20,m17
mission,r3,e830,e838,m17,m19
mission,r4,e191,e225,m2,m5
mission,r4,e225,e267,m5,m4
mission,r4,e272,e318,m4,m7
mission,r4,e318,e335,m7,m5
mission,r4,e335,e345,m5,m3
mission,r4,e423,e466,m3,m6
mission,r4,e466,e475,m6,m7
mission,r4,e475,e485,m7,m8
mission,r4,e509,e553,m8,m12
mission,r4,e553,e600,m12,m14
mission,r4,e600,e609,m14,m13
mission,r4,e609,e636,m13,m15
mission,r4,e636,e677,m15,m17
mission,r4,e677,e724,m17,m20
mission,r4,e724,e756,m20,m17
mission,r4,e756,e775,m17,m20
mission,r4,e775,e789,m20,m19
mission,r5,e104,e120,m14,m7
mission,r5,e120,e177,m7,m6
mission,r5,e16,e40,m4,m7
mission,r5,e177,e204,m6,m8
mission,r5,e204,e216,m8,m10
mission,r5,e216,e241,m10,m9
mission,r5,e241,e249,m9,m11
mission,r5,e249,e285,m11,m13
mission,r5,e285,e305,m13,m12
mission,r5,e305,e357,m12,m15
mission,r5,e357,e394,m15,m17
mission,r5,e394,e432,m17,m20
mission,r5,e4,e16,m1,m4
mission,r5,e40,e48,m7,m2
mission,r5,e432,e444,m20,m19
mission,r5,e444,e504,m19,m6
mission,r5,e48,e56,m2,m8
mission,r5,e504,e544,m6,m11
mission,r5,e544,e587,m11,m13
mission,r5,e56,e60,m8,m9
mission,r5,e587,e614,m13,m14
mission,r5,e60,e92,m9,m4
mission,r5,e663,e668,m14,m12
mission,r5,e668,e687,m12,m16
mission,r5,e687,e714,m16,m15
mission,r5,e92,e104,m4,m14
mission,r6,e161,e229,m2,m5
mission,r6,e229,e313,m5,m3
mission,r6,e313,e377,m3,m7
mission,r6,e377,e385,m7,m6
mission,r6,e385,e406,m6,m8
mission,r6,e406,e532,m8,m11
mission,r6,e557,e595,m11,m14
mission,r6,e595,e628,m14,m15
mission,r6,e658,e705,m15,m17
mission,r6,e705,e728,m17,m20
mission,r6,e728,e751,m20,m19
mission,r7,e112,e140,m3,m17
mission,r7,e140,e165,m17,m20
mission,r7,e165,e208,m20,m8
mission,r7,e20,e24,m5,m1
mission,r7,e208,e212,m8,m10
mission,r7,e212,e233,m10,m9
mission,r7,e233,e281,m9,m13
mission,r7,e24,e44,m1,m2
mission,r7,e281,e301,m13,m12
mission,r7,e301,e330,m12,m14
mission,r7,e330,e369,m14,m16
mission,r7,e369,e398,m16,m17
mission,r7,e398,e418,m17,m18
mission,r7,e418,e436,m18,m20
mission,r7,e436,e470,m20,m1
mission,r7,e44,e64,m2,m10
mission,r7,e470,e604,m1,m4
mission,r7,e604,e645,m4,m3
mission,r7,e64,e72,m10,m5
mission,r7,e645,e763,m3,m6
mission,r7,e72,e80,m5,m11
mission,r7,e763,e798,m6,m9
mission,r7,e798,e806,m9,m13
mission,r7,e80,e84,m11,m4
mission,r7,e806,e810,m13,m11
mission,r7,e810,e818,m11,m16
mission,r7,e818,e822,m16,m15
mission,r7,e822,e834,m15,m18
mission,r7,e84,e96,m4,m12
mission,r7,e96,e112,m12,m3
mission,r8,e186,e196,m1,m2
mission,r8,e262,e277,m2,m1
mission,r8,e277,e340,m1,m5
mission,r8,e340,e390,m5,m4
mission,r8,e390,e428,m4,m3
mission,r8,e428,e461,m3,m8
mission,r8,e461,e480,m8,m7
mission,r8,e480,e490,m7,m6
mission,r8,e490,e519,m6,m10
mission,r8,e524,e562,m10,m9
mission,r8,e582,e624,m9,m13
mission,r8,e624,e654,m13,m16
mission,r8,e692,e719,m16,m18
mission,r8,e719,e738,m18,m19
mission,r8,e738,e780,m19,m18
segment,r1,e116,e124,m3_s3,m7_s2
segment,r1,e173,e220,m6_s1,m10_s3
segment,r1,e220,e245,m10_s3,m11_s1
segment,r1,e245,e289,m11_s1,m13_s3
segment,r1,e289,e322,m13_s3,m14_s1
segment,r1,e322,e349,m14_s1,m15_s1
segment,r1,e349,e373,m15_s1,m16_s3
segment,r1,e373,e402,m16_s3,m17_s3
segment,r1,e402,e414,m17_s3,m18_s2
segment,r1,e414,e448,m18_s2,m19_s2
segment,r1,e448,e495,m19_s2,m10_s1
segment,r1,e495,e514,m10_s1,m9_s2
segment,r1,e514,e570,m9_s2,m11_s3
segment,r1,e570,e619,m11_s3,m12_s3
segment,r1,e619,e641,m12_s3,m11_s1
segment,r1,e641,e682,m11_s1,m15_s1
segment,r1,e68,e88,m5_s1,m4_s2
segment,r1,e682,e701,m15_s1,m18_s3
segment,r1,e701,e733,m18_s3,m20_s3
segment,r1,e733,e747,m20_s3,m17_s3
segment,r1,e747,e794,m17_s3,m19_s3
segment,r1,e88,e116,m4_s2,m3_s3
segment,r2,e157,e169,m1_s1,m1_s3
segment,r2,e169,e257,m1_s3,m5_s1
segment,r2,e257,e293,m5_s1,m4_s2
segment,r2,e293,e309,m4_s2,m3_s3
segment,r2,e309,e381,m3_s3,m7_s3
segment,r2,e381,e456,m7_s3,m10_s2
segment,r2,e456,e499,m10_s2,m9_s3
segment,r2,e499,e528,m9_s3,m9_s1
segment,r2,e528,e548,m9_s1,m13_s1
segment,r2,e548,e574,m13_s1,m13_s3
segment,r2,e574,e591,m13_s3,m12_s2
segment,r2,e591,e649,m12_s2,m16_s2
segment,r2,e649,e672,m16_s2,m17_s3
segment,r2,e672,e709,m17_s3,m18_s2
segment,r2,e709,e742,m18_s2,m19_s3
segment,r3,e108,e128,m3_s1,m7_s3
segment,r3,e181,e200,m6_s3,m8_s1
segment,r3,e200,e237,m8_s1,m9_s2
segment,r3,e237,e253,m9_s2,m11_s3
segment,r3,e253,e297,m11_s3,m12_s1
segment,r3,e28,e52,m1_s2,m2_s3
segment,r3,e297,e326,m12_s1,m14_s2
segment,r3,e326,e353,m14_s2,m15_s2
segment,r3,e365,e410,m16_s1,m18_s1
segment,r3,e410,e440,m18_s1,m20_s3
segment,r3,e440,e452,m20_s3,m19_s3
segment,r3,e52,e76,m2_s3,m5_s3
segment,r4,e191,e225,m2_s3,m5_s2
segment,r4,e225,e267,m5_s2,m4_s1
segment,r4,e267,e272,m4_s1,m4_s3
segment,r4,e272,e318,m4_s3,m7_s2
segment,r4,e318,e335,m7_s2,m5_s1
segment,r4,e335,e345,m5_s1,m3_s2
segment,r4,e345,e423,m3_s2,m3_s3
segment,r4,e423,e466,m3_s3,m6_s3
segment,r4,e466,e475,m6_s3,m7_s3
segment,r4,e475,e485,m7_s3,m8_s1
segment,r4,e485,e509,m8_s1,m8_s2
segment,r4,e509,e553,m8_s2,m12_s1
segment,r4,e553,e600,m12_s1,m14_s1
segment,r4,e600,e609,m14_s1,m13_s1
segment,r4,e609,e636,m13_s1,m15_s2
segment,r4,e636,e677,m15_s2,m17_s2
segment,r4,e677,e724,m17_s2,m20_s1
segment,r4,e724,e756,m20_s1,m17_s1
segment,r4,e756,e775,m17_s1,m20_s2
segment,r4,e775,e789,m20_s2,m19_s1
segment,r5,e120,e177,m7_s1,m6_s2
segment,r5,e177,e204,m6_s2,m8_s2
segment,r5,e204,e216,m8_s2,m10_s2
segment,r5,e216,e241,m10_s2,m9_s3
segment,r5,e241,e249,m9_s3,m11_s2
segment,r5,e249,e285,m11_s2,m13_s2
segment,r5,e285,e305,m13_s2,m12_s3
segment,r5,e305,e357,m12_s3,m15_s3
segment,r5,e357,e394,m15_s3,m17_s1
segment,r5,e394,e432,m17_s1,m20_s1
segment,r5,e432,e444,m20_s1,m19_s1
segment,r5,e444,e504,m19_s1,m6_s2
segment,r5,e504,e544,m6_s2,m11_s2
segment,r5,e544,e587,m11_s2,m13_s2
segment,r5,e587,e614,m13_s2,m14_s3
segment,r5,e614,e663,m14_s3,m14_s2
segment,r5,e663,e668,m14_s2,m12_s2
segment,r5,e668,e687,m12_s2,m16_s1
segment,r5,e687,e714,m16_s1,m15_s3
segment,r6,e161,e229,m2_s2,m5_s3
segment,r6,e229,e313,m5_s3,m3_s1
segment,r6,e313,e377,m3_s1,m7_s1
segment,r6,e377,e385,m7_s1,m6_s2
segment,r6,e385,e406,m6_s2,m8_s2
segment,r6,e406,e532,m8_s2,m11_s3
segment,r6,e532,e557,m11_s3,m11_s1
segment,r6,e557,e595,m11_s1,m14_s2
segment,r6,e595,e628,m14_s2,m15_s1
segment,r6,e628,e658,m15_s1,m15_s3
segment,r6,e658,e705,m15_s3,m17_s1
segment,r6,e705,e728,m17_s1,m20_s2
segment,r6,e728,e751,m20_s2,m19_s1
segment,r7,e208,e212,m8_s3,m10_s1
segment,r7,e212,e233,m10_s1,m9_s1
segment,r7,e233,e281,m9_s1,m13_s1
segment,r7,e24,e44,m1_s1,m2_s1
segment,r7,e281,e301,m13_s1,m12_s2
segment,r7,e301,e330,m12_s2,m14_s3
segment,r7,e330,e369,m14_s3,m16_s2
segment,r7,e369,e398,m16_s2,m17_s2
segment,r7,e398,e418,m17_s2,m18_s3
segment,r7,e418,e436,m18_s3,m20_s2
segment,r8,e149,e186,m1_s2,m1_s1
segment,r8,e186,e196,m1_s1,m2_s1
segment,r8,e196,e262,m2_s1,m2_s2
segment,r8,e262,e277,m2_s2,m1_s3
segment,r8,e277,e340,m1_s3,m5_s3
segment,r8,e340,e390,m5_s3,m4_s2
segment,r8,e390,e428,m4_s2,m3_s1
segment,r8,e428,e461,m3_s1,m8_s3
segment,r8,e461,e480,m8_s3,m7_s1
segment,r8,e480,e490,m7_s1,m6_s1
segment,r8,e490,e519,m6_s1,m10_s2
segment,r8,e519,e524,m10_s2,m10_s3
segment,r8,e524,e562,m10_s3,m9_s3
segment,r8,e562,e582,m9_s3,m9_s1
segment,r8,e582,e624,m9_s1,m13_s3
segment,r8,e624,e654,m13_s3,m16_s3
segment,r8,e654,e692,m16_s3,m16_s2
segment,r8,e692,e719,m16_s2,m18_s1
segment,r8,e719,e738,m18_s1,m19_s2
