event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e1,Control,navigate,2026-01-01T08:00:00.00,2026-01-01T08:00:47.80,r1,,,
e5,Control,navigate,2026-01-01T08:00:10.00,2026-01-01T08:03:14.98,r7,,,
e17,Control,navigate,2026-01-01T08:00:40.00,2026-01-01T08:02:55.03,r3,,,
e2,Control,position,2026-01-01T08:00:47.80,2026-01-01T08:00:50.03,r1,,,
e3,Control,align_camera,2026-01-01T08:00:50.03,2026-01-01T08:00:51.87,r1,,,
e4,Task,survey_field,2026-01-01T08:00:51.87,2026-01-01T08:01:00.15,r1,m1,,t1
e25,Control,navigate,2026-01-01T08:01:00.00,2026-01-01T08:02:20.12,r5,,,
e9,Control,navigate,2026-01-01T08:01:00.15,2026-01-01T08:03:03.10,r1,,,
e26,Control,position,2026-01-01T08:02:20.12,2026-01-01T08:02:22.52,r5,,,
e27,Control,align_camera,2026-01-01T08:02:22.52,2026-01-01T08:02:24.53,r5,,,
e28,Task,survey_field,2026-01-01T08:02:24.53,2026-01-01T08:02:34.58,r5,m7,,t58
e37,Control,navigate,2026-01-01T08:02:34.58,2026-01-01T08:04:44.57,r5,,,
e18,Control,position,2026-01-01T08:02:55.03,2026-01-01T08:02:57.10,r3,,,
e19,Control,align_camera,2026-01-01T08:02:57.10,2026-01-01T08:02:59.46,r3,,,
e20,Task,survey_field,2026-01-01T08:02:59.46,2026-01-01T08:03:10.77,r3,m5,,t39
e10,Control,position,2026-01-01T08:03:03.10,2026-01-01T08:03:05.14,r1,,,
e11,Control,align_camera,2026-01-01T08:03:05.14,2026-01-01T08:03:07.51,r1,,,
e12,Task,survey_field,2026-01-01T08:03:07.51,2026-01-01T08:03:15.54,r1,m3,,t20
e33,Control,navigate,2026-01-01T08:03:10.77,2026-01-01T08:04:58.65,r3,,,
e6,Control,position,2026-01-01T08:03:14.98,2026-01-01T08:03:17.13,r7,,,
e13,Control,navigate,2026-01-01T08:03:15.54,2026-01-01T08:05:36.70,r1,,,
e7,Control,align_camera,2026-01-01T08:03:17.13,2026-01-01T08:03:19.20,r7,,,
e8,Task,survey_field,2026-01-01T08:03:19.20,2026-01-01T08:03:30.13,r7,m2,,t11
e29,Control,navigate,2026-01-01T08:03:30.13,2026-01-01T08:05:29.67,r7,,,
e38,Control,position,2026-01-01T08:04:44.57,2026-01-01T08:04:46.59,r5,,,
e39,Control,align_camera,2026-01-01T08:04:46.59,2026-01-01T08:04:48.55,r5,,,
e40,Task,inspect,2026-01-01T08:04:48.55,2026-01-01T08:04:59.00,r5,m1,m1_s3,t7
e34,Control,position,2026-01-01T08:04:58.65,2026-01-01T08:05:00.33,r3,,,
e61,Control,navigate,2026-01-01T08:04:59.00,2026-01-01T08:06:36.65,r5,,,
e35,Control,align_camera,2026-01-01T08:05:00.33,2026-01-01T08:05:02.50,r3,,,
e36,Task,inspect,2026-01-01T08:05:02.50,2026-01-01T08:05:14.14,r3,m1,m1_s2,t5
e41,Control,navigate,2026-01-01T08:05:14.14,2026-01-01T08:06:35.64,r3,,,
e145,Control,navigate,2026-01-01T08:05:14.14,2026-01-01T08:06:54.68,r4,,,
e30,Control,position,2026-01-01T08:05:29.67,2026-01-01T08:05:31.51,r7,,,
e31,Control,align_camera,2026-01-01T08:05:31.51,2026-01-01T08:05:33.72,r7,,,
e32,Task,inspect,2026-01-01T08:05:33.72,2026-01-01T08:05:47.99,r7,m1,m1_s1,t2
e14,Control,position,2026-01-01T08:05:36.70,2026-01-01T08:05:38.73,r1,,,
e15,Control,align_camera,2026-01-01T08:05:38.73,2026-01-01T08:05:40.52,r1,,,
e16,Task,survey_field,2026-01-01T08:05:40.52,2026-01-01T08:05:49.37,r1,m4,,t30
e49,Control,navigate,2026-01-01T08:05:47.99,2026-01-01T08:07:08.14,r7,,,
e21,Control,navigate,2026-01-01T08:05:49.37,2026-01-01T08:07:46.01,r1,,,
e42,Control,position,2026-01-01T08:06:35.64,2026-01-01T08:06:37.81,r3,,,
e62,Control,position,2026-01-01T08:06:36.65,2026-01-01T08:06:38.83,r5,,,
e43,Control,align_camera,2026-01-01T08:06:37.81,2026-01-01T08:06:40.13,r3,,,
e63,Control,align_camera,2026-01-01T08:06:38.83,2026-01-01T08:06:40.62,r5,,,
e44,Task,survey_field,2026-01-01T08:06:40.13,2026-01-01T08:06:49.00,r3,m8,,t68
e64,Task,survey_field,2026-01-01T08:06:40.62,2026-01-01T08:06:49.97,r5,m13,,t115
e45,Control,navigate,2026-01-01T08:06:49.00,2026-01-01T08:07:36.87,r3,,,
e65,Control,navigate,2026-01-01T08:06:49.97,2026-01-01T08:08:11.15,r5,,,
e146,Control,position,2026-01-01T08:06:54.68,2026-01-01T08:06:56.34,r4,,,
e147,Control,align_gripper,2026-01-01T08:06:56.34,2026-01-01T08:06:58.65,r4,,,
e148,Control,grasp,2026-01-01T08:06:58.65,2026-01-01T08:07:01.30,r4,,,
e149,Task,harvest,2026-01-01T08:07:01.30,2026-01-01T08:07:27.15,r4,m1,m1_s2,t6
e50,Control,position,2026-01-01T08:07:08.14,2026-01-01T08:07:10.04,r7,,,
e51,Control,align_camera,2026-01-01T08:07:10.04,2026-01-01T08:07:11.93,r7,,,
e52,Task,survey_field,2026-01-01T08:07:11.93,2026-01-01T08:07:20.50,r7,m10,,t87
e53,Control,navigate,2026-01-01T08:07:20.50,2026-01-01T08:07:50.97,r7,,,
e46,Control,position,2026-01-01T08:07:36.87,2026-01-01T08:07:39.06,r3,,,
e47,Control,align_camera,2026-01-01T08:07:39.06,2026-01-01T08:07:41.25,r3,,,
e48,Task,survey_field,2026-01-01T08:07:41.25,2026-01-01T08:07:50.37,r3,m9,,t77
e22,Control,position,2026-01-01T08:07:46.01,2026-01-01T08:07:48.01,r1,,,
e23,Control,align_camera,2026-01-01T08:07:48.01,2026-01-01T08:07:49.93,r1,,,
e24,Task,survey_field,2026-01-01T08:07:49.93,2026-01-01T08:08:00.37,r1,m6,,t49
e57,Control,navigate,2026-01-01T08:07:50.37,2026-01-01T08:09:52.36,r3,,,
e54,Control,position,2026-01-01T08:07:50.97,2026-01-01T08:07:52.60,r7,,,
e55,Control,align_camera,2026-01-01T08:07:52.60,2026-01-01T08:07:54.33,r7,,,
e56,Task,survey_field,2026-01-01T08:07:54.33,2026-01-01T08:08:03.91,r7,m11,,t96
e89,Control,navigate,2026-01-01T08:08:00.37,2026-01-01T08:09:32.03,r1,,,
e85,Control,navigate,2026-01-01T08:08:03.91,2026-01-01T08:09:29.12,r7,,,
e66,Control,position,2026-01-01T08:08:11.15,2026-01-01T08:08:12.79,r5,,,
e67,Control,align_camera,2026-01-01T08:08:12.79,2026-01-01T08:08:14.69,r5,,,
e68,Task,survey_field,2026-01-01T08:08:14.69,2026-01-01T08:08:25.75,r5,m14,,t125
e69,Control,navigate,2026-01-01T08:08:25.75,2026-01-01T08:11:41.02,r5,,,
e86,Control,position,2026-01-01T08:09:29.12,2026-01-01T08:09:31.01,r7,,,
e87,Control,align_camera,2026-01-01T08:09:31.01,2026-01-01T08:09:33.17,r7,,,
e90,Control,position,2026-01-01T08:09:32.03,2026-01-01T08:09:34.41,r1,,,
e88,Task,inspect,2026-01-01T08:09:33.17,2026-01-01T08:09:46.84,r7,m7,m7_s3,t64
e91,Control,align_camera,2026-01-01T08:09:34.41,2026-01-01T08:09:36.79,r1,,,
e92,Task,survey_field,2026-01-01T08:09:36.79,2026-01-01T08:09:47.59,r1,m17,,t153
e256,Control,navigate,2026-01-01T08:09:46.84,2026-01-01T08:10:54.62,r2,,,
e109,Control,navigate,2026-01-01T08:09:46.84,2026-01-01T08:11:08.30,r7,,,
e93,Control,navigate,2026-01-01T08:09:47.59,2026-01-01T08:11:23.30,r1,,,
e58,Control,position,2026-01-01T08:09:52.36,2026-01-01T08:09:54.44,r3,,,
e59,Control,align_camera,2026-01-01T08:09:54.44,2026-01-01T08:09:56.37,r3,,,
e60,Task,survey_field,2026-01-01T08:09:56.37,2026-01-01T08:10:06.69,r3,m12,,t106
e73,Control,navigate,2026-01-01T08:10:06.69,2026-01-01T08:13:52.02,r3,,,
e257,Control,position,2026-01-01T08:10:54.62,2026-01-01T08:10:56.33,r2,,,
e258,Control,activate_sprayer,2026-01-01T08:10:56.33,2026-01-01T08:10:59.32,r2,,,
e259,Task,spray,2026-01-01T08:10:59.32,2026-01-01T08:11:18.88,r2,m7,m7_s3,t65
e110,Control,position,2026-01-01T08:11:08.30,2026-01-01T08:11:10.07,r7,,,
e111,Control,align_camera,2026-01-01T08:11:10.07,2026-01-01T08:11:12.20,r7,,,
e112,Task,inspect,2026-01-01T08:11:12.20,2026-01-01T08:11:23.70,r7,m5,m5_s2,t43
e94,Control,position,2026-01-01T08:11:23.30,2026-01-01T08:11:25.50,r1,,,
e121,Control,navigate,2026-01-01T08:11:23.70,2026-01-01T08:11:58.12,r7,,,
e95,Control,align_camera,2026-01-01T08:11:25.50,2026-01-01T08:11:27.43,r1,,,
e96,Task,survey_field,2026-01-01T08:11:27.43,2026-01-01T08:11:35.61,r1,m18,,t163
e133,Control,navigate,2026-01-01T08:11:35.61,2026-01-01T08:14:08.33,r1,,,
e70,Control,position,2026-01-01T08:11:41.02,2026-01-01T08:11:43.08,r5,,,
e71,Control,align_camera,2026-01-01T08:11:43.08,2026-01-01T08:11:44.82,r5,,,
e72,Task,survey_field,2026-01-01T08:11:44.82,2026-01-01T08:11:54.32,r5,m15,,t134
e81,Control,navigate,2026-01-01T08:11:54.32,2026-01-01T08:12:36.84,r5,,,
e122,Control,position,2026-01-01T08:11:58.12,2026-01-01T08:12:00.20,r7,,,
e123,Control,align_camera,2026-01-01T08:12:00.20,2026-01-01T08:12:02.11,r7,,,
e124,Task,inspect,2026-01-01T08:12:02.11,2026-01-01T08:12:16.22,r7,m3,m3_s2,t24
e129,Control,navigate,2026-01-01T08:12:16.22,2026-01-01T08:12:51.92,r7,,,
e82,Control,position,2026-01-01T08:12:36.84,2026-01-01T08:12:38.57,r5,,,
e83,Control,align_camera,2026-01-01T08:12:38.57,2026-01-01T08:12:40.81,r5,,,
e84,Task,inspect,2026-01-01T08:12:40.81,2026-01-01T08:12:52.63,r5,m7,m7_s2,t62
e130,Control,position,2026-01-01T08:12:51.92,2026-01-01T08:12:54.03,r7,,,
e326,Control,navigate,2026-01-01T08:12:52.63,2026-01-01T08:13:25.33,r4,,,
e97,Control,navigate,2026-01-01T08:12:52.63,2026-01-01T08:14:01.46,r5,,,
e131,Control,align_camera,2026-01-01T08:12:54.03,2026-01-01T08:12:56.10,r7,,,
e132,Task,inspect,2026-01-01T08:12:56.10,2026-01-01T08:13:06.64,r7,m2,m2_s1,t12
e154,Control,navigate,2026-01-01T08:13:06.64,2026-01-01T08:13:46.75,r7,,,
e331,Control,navigate,2026-01-01T08:13:06.64,2026-01-01T08:15:08.84,r8,,,
e327,Control,position,2026-01-01T08:13:25.33,2026-01-01T08:13:27.25,r4,,,
e328,Control,align_gripper,2026-01-01T08:13:27.25,2026-01-01T08:13:29.32,r4,,,
e329,Control,grasp,2026-01-01T08:13:29.32,2026-01-01T08:13:32.52,r4,,,
e330,Task,harvest,2026-01-01T08:13:32.52,2026-01-01T08:13:55.37,r4,m7,m7_s2,t63
e155,Control,position,2026-01-01T08:13:46.75,2026-01-01T08:13:48.46,r7,,,
e156,Control,align_camera,2026-01-01T08:13:48.46,2026-01-01T08:13:50.19,r7,,,
e157,Task,inspect,2026-01-01T08:13:50.19,2026-01-01T08:14:00.10,r7,m4,m4_s1,t31
e74,Control,position,2026-01-01T08:13:52.02,2026-01-01T08:13:53.82,r3,,,
e75,Control,align_camera,2026-01-01T08:13:53.82,2026-01-01T08:13:56.10,r3,,,
e76,Task,survey_field,2026-01-01T08:13:56.10,2026-01-01T08:14:07.90,r3,m16,,t144
e170,Control,navigate,2026-01-01T08:14:00.10,2026-01-01T08:14:58.89,r7,,,
e98,Control,position,2026-01-01T08:14:01.46,2026-01-01T08:14:03.19,r5,,,
e99,Control,align_camera,2026-01-01T08:14:03.19,2026-01-01T08:14:05.56,r5,,,
