task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t1,survey_field,m1,,mission,r1,random,2026-01-01T08:00:00.00,e4,2026-01-01T08:00:51.87,2026-01-01T08:01:00.15
t11,survey_field,m2,,mission,r7,random,2026-01-01T08:00:10.00,e8,2026-01-01T08:03:19.20,2026-01-01T08:03:30.13
t20,survey_field,m3,,mission,r1,random,2026-01-01T08:00:20.00,e12,2026-01-01T08:03:07.51,2026-01-01T08:03:15.54
t30,survey_field,m4,,mission,r1,random,2026-01-01T08:00:30.00,e16,2026-01-01T08:05:40.52,2026-01-01T08:05:49.37
t39,survey_field,m5,,mission,r3,random,2026-01-01T08:00:40.00,e20,2026-01-01T08:02:59.46,2026-01-01T08:03:10.77
t49,survey_field,m6,,mission,r1,random,2026-01-01T08:00:50.00,e24,2026-01-01T08:07:49.93,2026-01-01T08:08:00.37
t58,survey_field,m7,,mission,r5,random,2026-01-01T08:01:00.00,e28,2026-01-01T08:02:24.53,2026-01-01T08:02:34.58
t2,inspect,m1,m1_s1,segment,r7,random,2026-01-01T08:01:00.15,e32,2026-01-01T08:05:33.72,2026-01-01T08:05:47.99
t5,inspect,m1,m1_s2,segment,r3,random,2026-01-01T08:01:00.15,e36,2026-01-01T08:05:02.50,2026-01-01T08:05:14.14
t7,inspect,m1,m1_s3,segment,r5,random,2026-01-01T08:01:00.15,e40,2026-01-01T08:04:48.55,2026-01-01T08:04:59.00
t68,survey_field,m8,,mission,r3,random,2026-01-01T08:01:10.00,e44,2026-01-01T08:06:40.13,2026-01-01T08:06:49.00
t77,survey_field,m9,,mission,r3,random,2026-01-01T08:01:20.00,e48,2026-01-01T08:07:41.25,2026-01-01T08:07:50.37
t87,survey_field,m10,,mission,r7,random,2026-01-01T08:01:30.00,e52,2026-01-01T08:07:11.93,2026-01-01T08:07:20.50
t96,survey_field,m11,,mission,r7,random,2026-01-01T08:01:40.00,e56,2026-01-01T08:07:54.33,2026-01-01T08:08:03.91
t106,survey_field,m12,,mission,r3,random,2026-01-01T08:01:50.00,e60,2026-01-01T08:09:56.37,2026-01-01T08:10:06.69
t115,survey_field,m13,,mission,r5,random,2026-01-01T08:02:00.00,e64,2026-01-01T08:06:40.62,2026-01-01T08:06:49.97
t125,survey_field,m14,,mission,r5,random,2026-01-01T08:02:10.00,e68,2026-01-01T08:08:14.69,2026-01-01T08:08:25.75
t134,survey_field,m15,,mission,r5,random,2026-01-01T08:02:20.00,e72,2026-01-01T08:11:44.82,2026-01-01T08:11:54.32
t144,survey_field,m16,,mission,r3,random,2026-01-01T08:02:30.00,e76,2026-01-01T08:13:56.10,2026-01-01T08:14:07.90
t59,inspect,m7,m7_s1,segment,r3,random,2026-01-01T08:02:34.58,e80,2026-01-01T08:17:03.29,2026-01-01T08:17:17.18
t62,inspect,m7,m7_s2,segment,r5,random,2026-01-01T08:02:34.58,e84,2026-01-01T08:12:40.81,2026-01-01T08:12:52.63
t64,inspect,m7,m7_s3,segment,r7,random,2026-01-01T08:02:34.58,e88,2026-01-01T08:09:33.17,2026-01-01T08:09:46.84
t153,survey_field,m17,,mission,r1,random,2026-01-01T08:02:40.00,e92,2026-01-01T08:09:36.79,2026-01-01T08:09:47.59
t163,survey_field,m18,,mission,r1,random,2026-01-01T08:02:50.00,e96,2026-01-01T08:11:27.43,2026-01-01T08:11:35.61
t172,survey_field,m19,,mission,r5,random,2026-01-01T08:03:00.00,e100,2026-01-01T08:14:05.56,2026-01-01T08:14:15.40
t182,survey_field,m20,,mission,r5,random,2026-01-01T08:03:10.00,e104,2026-01-01T08:15:30.99,2026-01-01T08:15:39.81
t40,inspect,m5,m5_s1,segment,r3,random,2026-01-01T08:03:10.77,e108,2026-01-01T08:18:08.24,2026-01-01T08:18:19.20
t43,inspect,m5,m5_s2,segment,r7,random,2026-01-01T08:03:10.77,e112,2026-01-01T08:11:12.20,2026-01-01T08:11:23.70
t45,inspect,m5,m5_s3,segment,r5,random,2026-01-01T08:03:10.77,e116,2026-01-01T08:18:19.26,2026-01-01T08:18:31.69
t21,inspect,m3,m3_s1,segment,r5,random,2026-01-01T08:03:15.54,e120,2026-01-01T08:20:45.07,2026-01-01T08:20:59.35
t24,inspect,m3,m3_s2,segment,r7,random,2026-01-01T08:03:15.54,e124,2026-01-01T08:12:02.11,2026-01-01T08:12:16.22
t26,inspect,m3,m3_s3,segment,r3,random,2026-01-01T08:03:15.54,e128,2026-01-01T08:19:57.27,2026-01-01T08:20:08.63
t12,inspect,m2,m2_s1,segment,r7,random,2026-01-01T08:03:30.13,e132,2026-01-01T08:12:56.10,2026-01-01T08:13:06.64
