perspective_type,perspective_id,source_event_id,source_task_id,source_robot_id,target_event_id,target_task_id,target_robot_id
mission,m1,e4,t1,r1,e40,t7,r5
mission,m1,e40,t7,r5,e36,t5,r3
mission,m1,e36,t5,r3,e32,t2,r7
mission,m1,e32,t2,r7,e149,t6,r4
mission,m1,e149,t6,r4,e144,t8,r3
mission,m1,e144,t8,r3,e449,t9,r4
mission,m1,e144,t8,r3,e153,t3,r3
mission,m1,e449,t9,r4,e482,t4,r5
mission,m1,e153,t3,r3,e482,t4,r5
mission,m1,e482,t4,r5,e811,t10,r7
mission,m10,e52,t87,r7,e193,t88,r1
mission,m10,e193,t88,r1,e462,t89,r8
mission,m10,e462,t89,r8,e204,t93,r5
mission,m10,e204,t93,r5,e200,t90,r3
mission,m10,e200,t90,r3,e564,t91,r6
mission,m10,e564,t91,r6,e649,t92,r4
mission,m10,e649,t92,r4,e520,t94,r1
mission,m10,e520,t94,r1,e717,t95,r1
mission,m11,e56,t96,r7,e232,t97,r7
mission,m11,e232,t97,r7,e236,t100,r1
mission,m11,e236,t100,r1,e240,t102,r5
mission,m11,e240,t102,r5,e434,t98,r7
mission,m11,e434,t98,r7,e634,t99,r8
mission,m11,e634,t99,r8,e560,t103,r3
mission,m11,e560,t103,r3,e511,t101,r5
mission,m11,e511,t101,r5,e773,t104,r5
mission,m11,e773,t104,r5,e842,t105,r5
mission,m12,e60,t106,r3,e278,t107,r7
mission,m12,e278,t107,r7,e472,t108,r1
mission,m12,e472,t108,r1,e286,t112,r5
mission,m12,e286,t112,r5,e282,t109,r3
mission,m12,e282,t109,r3,e644,t113,r8
mission,m12,e644,t113,r8,e673,t110,r7
mission,m12,e673,t110,r7,e692,t111,r1
mission,m12,e692,t111,r1,e768,t114,r5
mission,m13,e64,t115,r5,e185,t119,r1
mission,m13,e185,t119,r1,e444,t120,r8
mission,m13,e444,t120,r8,e189,t121,r5
mission,m13,e189,t121,r5,e501,t122,r6
mission,m13,e501,t122,r6,e181,t116,r3
mission,m13,e181,t116,r3,e525,t123,r4
mission,m13,e181,t116,r3,e543,t117,r6
mission,m13,e525,t123,r4,e552,t118,r1
mission,m13,e543,t117,r6,e552,t118,r1
mission,m13,e552,t118,r1,e734,t124,r7
mission,m14,e68,t125,r5,e244,t126,r1
mission,m14,e244,t126,r1,e539,t127,r8
mission,m14,e539,t127,r8,e251,t128,r5
mission,m14,e251,t128,r5,e255,t131,r3
mission,m14,e255,t131,r3,e597,t129,r2
mission,m14,e597,t129,r2,e620,t130,r8
mission,m14,e620,t130,r8,e610,t132,r1
mission,m14,e610,t132,r1,e761,t133,r1
mission,m15,e72,t134,r5,e312,t135,r7
mission,m15,e312,t135,r7,e515,t136,r6
mission,m15,e515,t136,r6,e534,t137,r4
mission,m15,e534,t137,r4,e316,t138,r5
mission,m15,e534,t137,r4,e320,t140,r3
mission,m15,e316,t138,r5,e701,t139,r8
mission,m15,e320,t140,r3,e701,t139,r8
mission,m15,e701,t139,r8,e708,t141,r3
mission,m15,e708,t141,r3,e803,t142,r5
mission,m15,e803,t142,r5,e850,t143,r7
mission,m16,e76,t144,r3,e348,t147,r7
mission,m16,e348,t147,r7,e547,t148,r6
mission,m16,e348,t147,r7,e344,t145,r1
mission,m16,e547,t148,r6,e352,t150,r3
mission,m16,e344,t145,r1,e352,t150,r3
mission,m16,e352,t150,r3,e713,t151,r4
mission,m16,e713,t151,r4,e579,t149,r1
mission,m16,e579,t149,r1,e584,t146,r5
mission,m16,e584,t146,r5,e823,t152,r5
mission,m17,e92,t153,r1,e274,t159,r1
mission,m17,e274,t159,r1,e556,t160,r6
mission,m17,e556,t160,r6,e263,t154,r5
mission,m17,e263,t154,r5,e267,t157,r3
mission,m17,e267,t157,r3,e629,t155,r2
mission,m17,e629,t155,r2,e639,t158,r4
mission,m17,e639,t158,r4,e615,t161,r5
mission,m17,e615,t161,r5,e654,t156,r5
mission,m17,e654,t156,r5,e834,t162,r7
mission,m18,e96,t163,r1,e308,t169,r7
