pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
capability_return,mission,m1,,,,,,,,e149,e144,e449,r4,r3,sprayer,,,,,
capability_return,mission,m13,,,,,,,,e501,e181,e543,r6,r3,camera,,,,,
capability_return,mission,m15,,,,,,,,e320,e701,e708,r3,r8,gripper,,,,,
capability_return,mission,m18,,,,,,,,e687,e682,e786,r4,r3,sprayer,,,,,
capability_return,mission,m2,,,,,,,,e140,e371,e467,r5,r7,sprayer,,,,,
capability_return,mission,m3,,,,,,,,e120,e430,e325,r5,r6,sprayer,,,,,
capability_return,segment,m11_s3,,,,,,,,e240,e560,e773,r5,r3,sprayer,,,,,
capability_return,segment,m17_s1,,,,,,,,e263,e629,e654,r5,r2,sprayer,,,,,
capability_return,segment,m3_s1,,,,,,,,e120,e430,e457,r5,r6,sprayer,,,,,
handover,mission,m1,e149,e144,r4,r3,,,,,,,,,,,,,,
handover,mission,m1,e153,e482,r3,r5,,,,,,,,,,,,,,
handover,mission,m1,e32,e149,r7,r4,,,,,,,,,,,,,,
handover,mission,m1,e36,e32,r3,r7,,,,,,,,,,,,,,
handover,mission,m1,e4,e40,r1,r5,,,,,,,,,,,,,,
handover,mission,m1,e40,e36,r5,r3,,,,,,,,,,,,,,
handover,mission,m1,e449,e482,r4,r5,,,,,,,,,,,,,,
handover,mission,m1,e482,e811,r5,r7,,,,,,,,,,,,,,
handover,mission,m10,e193,e462,r1,r8,,,,,,,,,,,,,,
handover,mission,m10,e200,e564,r3,r6,,,,,,,,,,,,,,
handover,mission,m10,e204,e200,r5,r3,,,,,,,,,,,,,,
handover,mission,m10,e462,e204,r8,r5,,,,,,,,,,,,,,
handover,mission,m10,e52,e193,r7,r1,,,,,,,,,,,,,,
handover,mission,m10,e564,e649,r6,r4,,,,,,,,,,,,,,
handover,mission,m10,e649,e520,r4,r1,,,,,,,,,,,,,,
handover,mission,m11,e232,e236,r7,r1,,,,,,,,,,,,,,
handover,mission,m11,e236,e240,r1,r5,,,,,,,,,,,,,,
handover,mission,m11,e240,e434,r5,r7,,,,,,,,,,,,,,
handover,mission,m11,e434,e634,r7,r8,,,,,,,,,,,,,,
handover,mission,m11,e560,e511,r3,r5,,,,,,,,,,,,,,
handover,mission,m11,e634,e560,r8,r3,,,,,,,,,,,,,,
handover,mission,m12,e278,e472,r7,r1,,,,,,,,,,,,,,
handover,mission,m12,e282,e644,r3,r8,,,,,,,,,,,,,,
handover,mission,m12,e286,e282,r5,r3,,,,,,,,,,,,,,
