objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id
mission,m1,e149,e144,r4,r3
mission,m1,e153,e482,r3,r5
mission,m1,e32,e149,r7,r4
mission,m1,e36,e32,r3,r7
mission,m1,e4,e40,r1,r5
mission,m1,e40,e36,r5,r3
mission,m1,e449,e482,r4,r5
mission,m1,e482,e811,r5,r7
mission,m10,e193,e462,r1,r8
mission,m10,e200,e564,r3,r6
mission,m10,e204,e200,r5,r3
mission,m10,e462,e204,r8,r5
mission,m10,e52,e193,r7,r1
mission,m10,e564,e649,r6,r4
mission,m10,e649,e520,r4,r1
mission,m11,e232,e236,r7,r1
mission,m11,e236,e240,r1,r5
mission,m11,e240,e434,r5,r7
mission,m11,e434,e634,r7,r8
mission,m11,e560,e511,r3,r5
mission,m11,e634,e560,r8,r3
mission,m12,e278,e472,r7,r1
mission,m12,e282,e644,r3,r8
mission,m12,e286,e282,r5,r3
mission,m12,e472,e286,r1,r5
mission,m12,e60,e278,r3,r7
mission,m12,e644,e673,r8,r7
mission,m12,e673,e692,r7,r1
mission,m12,e692,e768,r1,r5
mission,m13,e181,e525,r3,r4
mission,m13,e181,e543,r3,r6
mission,m13,e185,e444,r1,r8
mission,m13,e189,e501,r5,r6
mission,m13,e444,e189,r8,r5
mission,m13,e501,e181,r6,r3
mission,m13,e525,e552,r4,r1
mission,m13,e543,e552,r6,r1
mission,m13,e552,e734,r1,r7
mission,m13,e64,e185,r5,r1
mission,m14,e244,e539,r1,r8
mission,m14,e251,e255,r5,r3
mission,m14,e255,e597,r3,r2
mission,m14,e539,e251,r8,r5
mission,m14,e597,e620,r2,r8
mission,m14,e620,e610,r8,r1
mission,m14,e68,e244,r5,r1
mission,m15,e312,e515,r7,r6
mission,m15,e316,e701,r5,r8
mission,m15,e320,e701,r3,r8
mission,m15,e515,e534,r6,r4
mission,m15,e534,e316,r4,r5
mission,m15,e534,e320,r4,r3
mission,m15,e701,e708,r8,r3
mission,m15,e708,e803,r3,r5
mission,m15,e72,e312,r5,r7
mission,m15,e803,e850,r5,r7
mission,m16,e344,e352,r1,r3
mission,m16,e348,e344,r7,r1
mission,m16,e348,e547,r7,r6
mission,m16,e352,e713,r3,r4
