objective_type,objective_1,objective_2,mission_id,overlap_start,overlap_end
mission,m1,m10,,2026-01-01T08:07:11.93,2026-01-01T08:58:53.54
mission,m1,m11,,2026-01-01T08:07:54.33,2026-01-01T09:13:23.37
mission,m1,m12,,2026-01-01T08:09:56.37,2026-01-01T09:13:23.37
mission,m1,m13,,2026-01-01T08:06:40.62,2026-01-01T08:55:16.22
mission,m1,m14,,2026-01-01T08:08:14.69,2026-01-01T09:02:37.71
mission,m1,m15,,2026-01-01T08:11:44.82,2026-01-01T09:13:23.37
mission,m1,m16,,2026-01-01T08:13:56.10,2026-01-01T09:13:23.37
mission,m1,m17,,2026-01-01T08:09:36.79,2026-01-01T09:13:23.37
mission,m1,m18,,2026-01-01T08:11:27.43,2026-01-01T09:05:14.05
mission,m1,m19,,2026-01-01T08:14:05.56,2026-01-01T09:13:23.37
mission,m1,m2,,2026-01-01T08:03:19.20,2026-01-01T09:13:23.37
mission,m1,m20,,2026-01-01T08:15:30.99,2026-01-01T09:13:23.37
mission,m1,m3,,2026-01-01T08:03:07.51,2026-01-01T09:13:23.37
mission,m1,m4,,2026-01-01T08:05:40.52,2026-01-01T08:53:41.27
mission,m1,m5,,2026-01-01T08:02:59.46,2026-01-01T09:02:40.23
mission,m1,m6,,2026-01-01T08:07:49.93,2026-01-01T09:00:05.65
mission,m1,m7,,2026-01-01T08:02:24.53,2026-01-01T09:03:12.62
mission,m1,m8,,2026-01-01T08:06:40.13,2026-01-01T09:13:23.37
mission,m1,m9,,2026-01-01T08:07:41.25,2026-01-01T09:13:23.37
mission,m10,m11,,2026-01-01T08:07:54.33,2026-01-01T08:58:53.54
mission,m10,m12,,2026-01-01T08:09:56.37,2026-01-01T08:58:53.54
mission,m10,m13,,2026-01-01T08:07:11.93,2026-01-01T08:55:16.22
mission,m10,m14,,2026-01-01T08:08:14.69,2026-01-01T08:58:53.54
mission,m10,m15,,2026-01-01T08:11:44.82,2026-01-01T08:58:53.54
mission,m10,m16,,2026-01-01T08:13:56.10,2026-01-01T08:58:53.54
mission,m10,m17,,2026-01-01T08:09:36.79,2026-01-01T08:58:53.54
mission,m10,m18,,2026-01-01T08:11:27.43,2026-01-01T08:58:53.54
mission,m10,m19,,2026-01-01T08:14:05.56,2026-01-01T08:58:53.54
mission,m10,m2,,2026-01-01T08:07:11.93,2026-01-01T08:58:53.54
mission,m10,m20,,2026-01-01T08:15:30.99,2026-01-01T08:58:53.54
