objective_type,robot_id,prev_event_id,next_event_id,from_objective_id,to_objective_id
mission,r1,e12,e16,m3,m4
mission,r1,e136,e161,m2,m4
mission,r1,e16,e24,m4,m6
mission,r1,e161,e177,m4,m8
mission,r1,e177,e185,m8,m13
mission,r1,e185,e193,m13,m10
mission,r1,e193,e220,m10,m6
mission,r1,e220,e236,m6,m11
mission,r1,e236,e244,m11,m14
mission,r1,e24,e92,m6,m17
mission,r1,e244,e274,m14,m17
mission,r1,e274,e344,m17,m16
mission,r1,e344,e356,m16,m19
mission,r1,e356,e422,m19,m6
mission,r1,e4,e12,m1,m3
mission,r1,e422,e472,m6,m12
mission,r1,e472,e477,m12,m5
mission,r1,e477,e497,m5,m18
mission,r1,e497,e506,m18,m8
mission,r1,e506,e520,m8,m10
mission,r1,e520,e552,m10,m13
mission,r1,e552,e579,m13,m16
mission,r1,e579,e610,m16,m14
mission,r1,e610,e692,m14,m12
mission,r1,e692,e717,m12,m10
mission,r1,e717,e742,m10,m5
mission,r1,e742,e761,m5,m14
mission,r1,e761,e790,m14,m7
mission,r1,e92,e96,m17,m18
mission,r1,e96,e136,m18,m2
mission,r2,e391,e399,m7,m9
mission,r2,e399,e407,m9,m5
mission,r2,e407,e597,m5,m14
mission,r2,e597,e629,m14,m17
mission,r2,e629,e721,m17,m19
mission,r3,e108,e128,m5,m3
mission,r3,e128,e144,m3,m1
mission,r3,e153,e169,m1,m8
mission,r3,e169,e181,m8,m13
mission,r3,e181,e200,m13,m10
mission,r3,e20,e36,m5,m1
mission,r3,e200,e212,m10,m9
mission,r3,e212,e224,m9,m6
mission,r3,e224,e255,m6,m14
mission,r3,e255,e267,m14,m17
mission,r3,e267,e282,m17,m12
mission,r3,e282,e304,m12,m18
mission,r3,e304,e320,m18,m15
mission,r3,e320,e352,m15,m16
mission,r3,e352,e364,m16,m19
mission,r3,e36,e44,m1,m8
mission,r3,e364,e387,m19,m20
mission,r3,e387,e403,m20,m5
mission,r3,e403,e426,m5,m3
mission,r3,e426,e560,m3,m11
mission,r3,e44,e48,m8,m9
mission,r3,e48,e60,m9,m12
mission,r3,e560,e682,m11,m18
mission,r3,e60,e76,m12,m16
mission,r3,e682,e696,m18,m6
mission,r3,e696,e708,m6,m15
mission,r3,e708,e846,m15,m20
mission,r3,e76,e80,m16,m7
mission,r3,e80,e108,m7,m5
mission,r4,e149,e330,m1,m7
mission,r4,e330,e449,m7,m1
mission,r4,e449,e487,m1,m6
mission,r4,e487,e492,m6,m4
mission,r4,e492,e525,m4,m13
mission,r4,e525,e534,m13,m15
mission,r4,e534,e639,m15,m17
mission,r4,e639,e649,m17,m10
mission,r4,e649,e659,m10,m6
mission,r4,e659,e664,m6,m9
mission,r4,e664,e678,m9,m19
mission,r4,e678,e687,m19,m18
mission,r4,e687,e713,m18,m16
mission,r4,e713,e730,m16,m20
mission,r4,e730,e786,m20,m18
mission,r5,e100,e104,m19,m20
mission,r5,e104,e116,m20,m5
mission,r5,e116,e120,m5,m3
mission,r5,e120,e140,m3,m2
mission,r5,e140,e165,m2,m4
mission,r5,e165,e189,m4,m13
mission,r5,e189,e204,m13,m10
mission,r5,e204,e216,m10,m9
mission,r5,e216,e240,m9,m11
mission,r5,e240,e251,m11,m14
mission,r5,e251,e263,m14,m17
mission,r5,e263,e286,m17,m12
mission,r5,e28,e40,m7,m1
mission,r5,e286,e291,m12,m7
mission,r5,e291,e296,m7,m5
mission,r5,e296,e300,m5,m18
mission,r5,e300,e316,m18,m15
mission,r5,e316,e325,m15,m3
mission,r5,e325,e340,m3,m4
mission,r5,e340,e360,m4,m19
mission,r5,e360,e379,m19,m20
mission,r5,e379,e412,m20,m7
mission,r5,e40,e64,m1,m13
mission,r5,e412,e417,m7,m8
mission,r5,e417,e439,m8,m9
mission,r5,e439,e457,m9,m3
mission,r5,e457,e467,m3,m2
mission,r5,e467,e482,m2,m1
mission,r5,e482,e511,m1,m11
mission,r5,e511,e569,m11,m9
mission,r5,e569,e574,m9,m2
mission,r5,e574,e584,m2,m16
mission,r5,e584,e593,m16,m8
mission,r5,e593,e615,m8,m17
mission,r5,e64,e68,m13,m14
mission,r5,e654,e752,m17,m19
mission,r5,e68,e72,m14,m15
mission,r5,e72,e84,m15,m7
mission,r5,e752,e768,m19,m12
mission,r5,e768,e773,m12,m11
mission,r5,e773,e778,m11,m20
mission,r5,e778,e803,m20,m15
mission,r5,e803,e807,m15,m3
mission,r5,e807,e823,m3,m16
mission,r5,e823,e838,m16,m19
mission,r5,e838,e842,m19,m11
mission,r5,e84,e100,m7,m19
mission,r6,e430,e501,m3,m13
mission,r6,e501,e515,m13,m15
mission,r6,e515,e543,m15,m13
mission,r6,e543,e547,m13,m16
mission,r6,e547,e556,m16,m17
mission,r6,e556,e564,m17,m10
mission,r6,e564,e588,m10,m6
mission,r6,e588,e605,m6,m20
mission,r7,e112,e124,m5,m3
mission,r7,e124,e132,m3,m2
mission,r7,e132,e157,m2,m4
mission,r7,e157,e173,m4,m8
mission,r7,e173,e208,m8,m9
mission,r7,e208,e228,m9,m6
mission,r7,e228,e232,m6,m11
mission,r7,e232,e278,m11,m12
mission,r7,e278,e308,m12,m18
mission,r7,e308,e312,m18,m15
mission,r7,e312,e348,m15,m16
mission,r7,e32,e52,m1,m10
mission,r7,e348,e371,m16,m2
mission,r7,e371,e375,m2,m8
mission,r7,e375,e383,m8,m20
mission,r7,e383,e395,m20,m4
mission,r7,e395,e434,m4,m11
mission,r7,e434,e529,m11,m9
mission,r7,e52,e56,m10,m11
mission,r7,e529,e601,m9,m19
mission,r7,e56,e88,m11,m7
mission,r7,e601,e673,m19,m12
mission,r7,e673,e725,m12,m4
mission,r7,e725,e734,m4,m13
mission,r7,e734,e794,m13,m5
mission,r7,e794,e798,m5,m18
mission,r7,e798,e811,m18,m1
mission,r7,e8,e32,m2,m1
mission,r7,e811,e815,m1,m9
mission,r7,e815,e819,m9,m2
mission,r7,e819,e827,m2,m8
mission,r7,e827,e834,m8,m17
mission,r7,e834,e850,m17,m15
mission,r7,e88,e112,m7,m5
mission,r8,e335,e444,m2,m13
mission,r8,e444,e462,m13,m10
mission,r8,e462,e539,m10,m14
mission,r8,e620,e625,m14,m4
mission,r8,e625,e634,m4,m11
mission,r8,e634,e644,m11,m12
mission,r8,e644,e669,m12,m20
mission,r8,e669,e701,m20,m15
mission,r8,e701,e747,m15,m19
mission,r8,e747,e757,m19,m3
segment,r1,e136,e161,m2_s2,m4_s2
segment,r1,e161,e177,m4_s2,m8_s3
segment,r1,e177,e185,m8_s3,m13_s2
segment,r1,e185,e193,m13_s2,m10_s1
segment,r1,e193,e220,m10_s1,m6_s1
segment,r1,e220,e236,m6_s1,m11_s2
segment,r1,e236,e244,m11_s2,m14_s1
segment,r1,e244,e274,m14_s1,m17_s3
segment,r1,e274,e344,m17_s3,m16_s1
segment,r1,e344,e356,m16_s1,m19_s1
segment,r1,e356,e422,m19_s1,m6_s3
segment,r1,e422,e472,m6_s3,m12_s1
segment,r1,e472,e477,m12_s1,m5_s3
segment,r1,e477,e497,m5_s3,m18_s3
