task_id,task_name,mission_id,segment_id,task_scope,location_x,location_y,release_time
t1,survey_field,m1,,mission,76.3212,56.7236,2026-01-01T08:00:00.00
t10,final_inspection,m1,,mission,76.3212,56.7236,2026-01-01T08:00:00.00
t2,inspect,m1,m1_s1,segment,134.993,91.3662,2026-01-01T08:00:00.00
t3,spray,m1,m1_s1,segment,134.993,91.3662,2026-01-01T08:00:00.00
t4,harvest,m1,m1_s1,segment,134.993,91.3662,2026-01-01T08:00:00.00
t5,inspect,m1,m1_s2,segment,137.1723,132.3693,2026-01-01T08:00:00.00
t6,harvest,m1,m1_s2,segment,137.1723,132.3693,2026-01-01T08:00:00.00
t7,inspect,m1,m1_s3,segment,26.5956,153.5676,2026-01-01T08:00:00.00
t8,spray,m1,m1_s3,segment,26.5956,153.5676,2026-01-01T08:00:00.00
t9,harvest,m1,m1_s3,segment,26.5956,153.5676,2026-01-01T08:00:00.00
t11,survey_field,m2,,mission,196.4826,193.8776,2026-01-01T08:00:10.00
t19,final_inspection,m2,,mission,196.4826,193.8776,2026-01-01T08:00:10.00
t12,inspect,m2,m2_s1,segment,122.6654,8.8521,2026-01-01T08:00:10.00
t13,harvest,m2,m2_s1,segment,122.6654,8.8521,2026-01-01T08:00:10.00
t14,inspect,m2,m2_s2,segment,0.811,26.7945,2026-01-01T08:00:10.00
t15,spray,m2,m2_s2,segment,0.811,26.7945,2026-01-01T08:00:10.00
t16,harvest,m2,m2_s2,segment,0.811,26.7945,2026-01-01T08:00:10.00
t17,inspect,m2,m2_s3,segment,188.2005,60.5721,2026-01-01T08:00:10.00
t18,harvest,m2,m2_s3,segment,188.2005,60.5721,2026-01-01T08:00:10.00
t20,survey_field,m3,,mission,73.2291,179.6392,2026-01-01T08:00:20.00
t29,final_inspection,m3,,mission,73.2291,179.6392,2026-01-01T08:00:20.00
t21,inspect,m3,m3_s1,segment,62.8728,109.7964,2026-01-01T08:00:20.00
t22,spray,m3,m3_s1,segment,62.8728,109.7964,2026-01-01T08:00:20.00
t23,harvest,m3,m3_s1,segment,62.8728,109.7964,2026-01-01T08:00:20.00
t24,inspect,m3,m3_s2,segment,87.2062,12.9988,2026-01-01T08:00:20.00
t25,harvest,m3,m3_s2,segment,87.2062,12.9988,2026-01-01T08:00:20.00
t26,inspect,m3,m3_s3,segment,116.9092,168.8136,2026-01-01T08:00:20.00
t27,spray,m3,m3_s3,segment,116.9092,168.8136,2026-01-01T08:00:20.00
t28,harvest,m3,m3_s3,segment,116.9092,168.8136,2026-01-01T08:00:20.00
t30,survey_field,m4,,mission,31.2838,44.8598,2026-01-01T08:00:30.00
t38,final_inspection,m4,,mission,31.2838,44.8598,2026-01-01T08:00:30.00
t31,inspect,m4,m4_s1,segment,82.574,7.385,2026-01-01T08:00:30.00
