event_id,task_name,start_time,end_time,mission_id,segment_id,robot_id,case_study,algorithm,required_capability,duration_min,travel_time_min,wait_from_deps_min,zone,x,y,order,item,room,floor,field,plot,destination,priority
e_agriculture_capability_aware_00001,drone_scan,2026-01-09T06:09,2026-01-09T06:17,field_alpha,field_alpha_survey_A1,ag_drone_1,agriculture,capability_aware,aerial_imaging,8,9,9,plot_A1,2.62,5.36,,,,,field_alpha,A1,,high
e_agriculture_capability_aware_00002,drone_scan,2026-01-09T06:10,2026-01-09T06:17,field_alpha,field_alpha_survey_A2,ag_drone_2,agriculture,capability_aware,aerial_imaging,7,10,10,plot_A2,5.61,4.85,,,,,field_alpha,A2,,normal
e_agriculture_capability_aware_00003,soil_moisture_analysis,2026-01-09T06:20,2026-01-09T06:25,field_alpha,field_alpha_survey_A2,ag_generalist_1,agriculture,capability_aware,soil_sensing,5,3,3,plot_A2,5.61,4.85,,,,,field_alpha,A2,,normal
e_agriculture_capability_aware_00004,drone_scan,2026-01-09T06:22,2026-01-09T06:28,field_alpha,field_alpha_survey_A3,ag_drone_2,agriculture,capability_aware,aerial_imaging,6,5,22,plot_A3,9.24,5.25,,,,,field_alpha,A3,,normal
e_agriculture_capability_aware_00005,soil_moisture_analysis,2026-01-09T06:22,2026-01-09T06:29,field_alpha,field_alpha_survey_A1,ag_soilbot_1,agriculture,capability_aware,soil_sensing,7,5,5,plot_A1,2.62,5.36,,,,,field_alpha,A1,,high
e_agriculture_capability_aware_00006,drone_scan,2026-01-09T06:24,2026-01-09T06:32,field_beta,field_beta_survey_B1,ag_drone_1,agriculture,capability_aware,aerial_imaging,8,7,24,plot_B1,2.86,10.34,,,,,field_beta,B1,,high
e_agriculture_capability_aware_00007,drone_scan,2026-01-09T06:32,2026-01-09T06:40,field_alpha,field_alpha_survey_A4,ag_drone_2,agriculture,capability_aware,aerial_imaging,8,4,32,plot_A4,11.78,4.99,,,,,field_alpha,A4,,normal
e_agriculture_capability_aware_00008,soil_moisture_analysis,2026-01-09T06:33,2026-01-09T06:39,field_alpha,field_alpha_survey_A3,ag_generalist_1,agriculture,capability_aware,soil_sensing,6,5,5,plot_A3,9.24,5.25,,,,,field_alpha,A3,,normal
e_agriculture_capability_aware_00009,drone_scan,2026-01-09T06:37,2026-01-09T06:44,field_beta,field_beta_survey_B2,ag_drone_1,agriculture,capability_aware,aerial_imaging,7,5,37,plot_B2,6.03,10.15,,,,,field_beta,B2,,normal
e_agriculture_capability_aware_00010,soil_moisture_analysis,2026-01-09T06:39,2026-01-09T06:45,field_beta,field_beta_survey_B1,ag_soilbot_1,agriculture,capability_aware,soil_sensing,6,7,7,plot_B1,2.86,10.34,,,,,field_beta,B1,,high
e_agriculture_capability_aware_00011,soil_moisture_analysis,2026-01-09T06:44,2026-01-09T06:49,field_alpha,field_alpha_survey_A4,ag_generalist_1,agriculture,capability_aware,soil_sensing,5,4,4,plot_A4,11.78,4.99,,,,,field_alpha,A4,,normal
e_agriculture_capability_aware_00012,drone_scan,2026-01-09T06:49,2026-01-09T06:56,field_beta,field_beta_survey_B3,ag_drone_1,agriculture,capability_aware,aerial_imaging,7,5,49,plot_B3,9.13,9.98,,,,,field_beta,B3,,normal
e_agriculture_capability_aware_00013,soil_moisture_analysis,2026-01-09T06:50,2026-01-09T06:55,field_beta,field_beta_survey_B2,ag_soilbot_1,agriculture,capability_aware,soil_sensing,5,5,6,plot_B2,6.03,10.15,,,,,field_beta,B2,,normal
e_agriculture_capability_aware_00014,soil_moisture_analysis,2026-01-09T07:01,2026-01-09T07:07,field_beta,field_beta_survey_B3,ag_soilbot_1,agriculture,capability_aware,soil_sensing,6,5,5,plot_B3,9.13,9.98,,,,,field_beta,B3,,normal
e_agriculture_capability_aware_00015,data_analysis,2026-01-09T07:03,2026-01-09T07:12,field_alpha,,ag_drone_2,agriculture,capability_aware,data_processing,9,14,14,farm_base,2.00,2.00,,,,,field_alpha,,,normal
e_agriculture_capability_aware_00016,data_analysis,2026-01-09T07:12,2026-01-09T07:22,field_beta,,ag_drone_2,agriculture,capability_aware,data_processing,10,0,5,farm_base,2.00,2.00,,,,,field_beta,,,normal
e_agriculture_capability_aware_00017,fertilizer_application,2026-01-09T07:13,2026-01-09T07:27,field_alpha,field_alpha_treatment_A4,ag_generalist_1,agriculture,capability_aware,fertilizer,14,1,1,plot_A4,12.28,4.72,,,,,field_alpha,A4,,normal
