strategy,entity_type,entity_count,avg_duration_seconds,median_duration_seconds,min_duration_seconds,max_duration_seconds
agriculture_random_seed10,Mission,20,4498.85,4498,2880,6376
agriculture_random_seed10,Robot,8,4166.875,3574.5,1284,6791
agriculture_random_seed10,Segment,60,1511.2333333333333,1180,59,4172
agriculture_hungarian_seed10,Mission,20,1767.95,1754,1221,2043
agriculture_hungarian_seed10,Robot,8,2359.25,2497,1686,2742
agriculture_hungarian_seed10,Segment,60,799.8333333333333,871.5,80,1238
agriculture_greedy_seed10,Mission,20,1813,1854.5,1094,2010
agriculture_greedy_seed10,Robot,8,2421.875,2526.5,1850,2748
agriculture_greedy_seed10,Segment,60,682.7333333333333,779.5,65,1102
agriculture_auction_seed10,Mission,20,1773.1,1816.5,1242,1958
agriculture_auction_seed10,Robot,8,2245.375,2405,1570,2606
agriculture_auction_seed10,Segment,60,690.3000000000002,768,80,1011
