event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
1,Control,undock,2026-08-27T18:16:07.539255,2026-08-27T18:16:11.545244,robot1,m1,m1_s2
2,Control,move_to,2026-08-27T18:16:11.547770,2026-08-27T18:16:27.176308,robot1,m1,m1_s2
3,Task,vacuum,2026-08-27T18:16:27.178952,2026-08-27T18:16:37.685659,robot1,m1,m1_s2
4,Task,disinfect,2026-08-27T18:17:04.551964,2026-08-27T18:17:10.560211,robot1,m1,m1_s2
5,Control,move_to,2026-08-27T18:17:21.540548,2026-08-27T18:17:26.021997,robot1,m1,m1_s4
6,Task,disinfect,2026-08-27T18:17:26.024589,2026-08-27T18:17:34.033797,robot1,m1,m1_s4
7,Task,final_room_check,2026-08-27T18:17:36.545205,2026-08-27T18:17:42.550529,robot1,m1,m1_s4
8,Control,undock,2026-08-27T18:16:07.542233,2026-08-27T18:16:11.547736,robot2,m1,m1_s4
9,Control,move_to,2026-08-27T18:16:11.549727,2026-08-27T18:16:24.363195,robot2,m1,m1_s4
10,Task,vacuum,2026-08-27T18:16:24.365611,2026-08-27T18:16:38.374137,robot2,m1,m1_s4
11,Control,move_to,2026-08-27T18:16:38.542579,2026-08-27T18:16:43.022165,robot2,m1,m1_s3
12,Task,vacuum,2026-08-27T18:16:43.024897,2026-08-27T18:17:07.532562,robot2,m1,m1_s3
13,Task,disinfect,2026-08-27T18:18:08.562536,2026-08-27T18:18:22.568709,robot2,m1,m1_s3
14,Control,undock,2026-08-27T18:16:05.533573,2026-08-27T18:16:09.540523,robot3,m1,m1_s1
15,Control,move_to,2026-08-27T18:16:09.543439,2026-08-27T18:16:18.495148,robot3,m1,m1_s1
16,Task,vacuum,2026-08-27T18:16:18.497619,2026-08-27T18:16:39.505176,robot3,m1,m1_s1
17,Control,undock,2026-08-27T18:17:10.550780,2026-08-27T18:17:14.558559,robot4,m1,m1_s3
18,Control,move_to,2026-08-27T18:17:14.560666,2026-08-27T18:17:27.983861,robot4,m1,m1_s3
19,Task,mop,2026-08-27T18:17:27.985626,2026-08-27T18:18:06.491445,robot4,m1,m1_s3
20,Control,undock,2026-08-27T18:15:42.549602,2026-08-27T18:15:46.557164,robot5,m1,m1_s3
21,Control,move_to,2026-08-27T18:15:46.559052,2026-08-27T18:15:59.981690,robot5,m1,m1_s3
22,Task,check_room,2026-08-27T18:15:59.983995,2026-08-27T18:16:10.491597,robot5,m1,m1_s3
23,Control,move_to,2026-08-27T18:17:11.534375,2026-08-27T18:17:18.752828,robot5,m1,m1_s2
24,Task,final_room_check,2026-08-27T18:17:18.755271,2026-08-27T18:17:23.263201,robot5,m1,m1_s2
25,Control,move_to,2026-08-27T18:17:26.547365,2026-08-27T18:17:35.501164,robot5,m1,m1_s1
26,Task,disinfect,2026-08-27T18:17:35.503368,2026-08-27T18:17:47.511447,robot5,m1,m1_s1
27,Control,move_to,2026-08-27T18:18:23.559546,2026-08-27T18:18:28.035294,robot5,m1,m1_s3
28,Task,final_room_check,2026-08-27T18:18:28.036001,2026-08-27T18:18:38.542208,robot5,m1,m1_s3
29,Control,undock,2026-08-27T18:15:42.544897,2026-08-27T18:15:46.555296,robot6,m1,m1_s2
30,Control,move_to,2026-08-27T18:15:46.557974,2026-08-27T18:16:02.185697,robot6,m1,m1_s2
31,Task,check_room,2026-08-27T18:16:02.188053,2026-08-27T18:16:06.695292,robot6,m1,m1_s2
32,Control,move_to,2026-08-27T18:16:41.579707,2026-08-27T18:16:50.532091,robot6,m1,m1_s1
33,Task,mop,2026-08-27T18:16:50.534661,2026-08-27T18:17:23.542471,robot6,m1,m1_s1
34,Control,undock,2026-08-27T18:16:40.553398,2026-08-27T18:16:44.562085,robot7,m1,m1_s4
35,Control,move_to,2026-08-27T18:16:44.565001,2026-08-27T18:16:57.377826,robot7,m1,m1_s4
36,Task,mop,2026-08-27T18:16:57.378864,2026-08-27T18:17:19.381940,robot7,m1,m1_s4
37,Control,undock,2026-08-27T18:15:42.566310,2026-08-27T18:15:46.571362,robot8,m1,m1_s4
38,Control,move_to,2026-08-27T18:15:46.573154,2026-08-27T18:15:59.398660,robot8,m1,m1_s4
39,Task,check_room,2026-08-27T18:15:59.399502,2026-08-27T18:16:05.402671,robot8,m1,m1_s4
40,Control,undock,2026-08-27T18:15:42.556710,2026-08-27T18:15:46.560879,robot9,m1,m1_s1
41,Control,move_to,2026-08-27T18:15:46.562147,2026-08-27T18:15:55.512696,robot9,m1,m1_s1
42,Task,check_room,2026-08-27T18:15:55.515017,2026-08-27T18:16:04.522343,robot9,m1,m1_s1
43,Control,move_to,2026-08-27T18:16:40.553271,2026-08-27T18:16:45.034953,robot9,m1,m1_s2
44,Task,mop,2026-08-27T18:16:45.036986,2026-08-27T18:17:01.545023,robot9,m1,m1_s2
45,Control,move_to,2026-08-27T18:17:49.556937,2026-08-27T18:17:58.511281,robot9,m1,m1_s1
46,Task,final_room_check,2026-08-27T18:17:58.513731,2026-08-27T18:18:07.521562,robot9,m1,m1_s1
47,Control,undock,2026-08-27T17:56:57.576754,2026-08-27T17:57:01.585678,robot1,m2,m2_s8
48,Control,move_to,2026-08-27T17:57:01.588579,2026-08-27T17:57:18.090252,robot1,m2,m2_s8
49,Task,check_room,2026-08-27T17:57:18.093023,2026-08-27T17:57:28.589391,robot1,m2,m2_s8
50,Control,move_to,2026-08-27T17:57:31.518382,2026-08-27T17:57:48.614785,robot1,m2,m2_s2
51,Task,vacuum,2026-08-27T17:57:48.616871,2026-08-27T17:57:59.134242,robot1,m2,m2_s2
52,Control,move_to,2026-08-27T17:57:59.525603,2026-08-27T17:58:04.004063,robot1,m2,m2_s4
53,Task,vacuum,2026-08-27T17:58:04.006510,2026-08-27T17:58:18.015138,robot1,m2,m2_s4
54,Control,move_to,2026-08-27T17:58:18.527109,2026-08-27T17:58:21.361373,robot1,m2,m2_s7
55,Task,vacuum,2026-08-27T17:58:21.364128,2026-08-27T17:58:31.869705,robot1,m2,m2_s7
56,Control,move_to,2026-08-27T17:58:32.518260,2026-08-27T17:58:46.666983,robot1,m2,m2_s8
57,Task,vacuum,2026-08-27T17:58:46.668626,2026-08-27T17:59:11.175006,robot1,m2,m2_s8
58,Control,move_to,2026-08-27T17:59:20.515844,2026-08-27T17:59:38.635168,robot1,m2,m2_s3
59,Task,disinfect,2026-08-27T17:59:38.637408,2026-08-27T17:59:52.646962,robot1,m2,m2_s3
60,Control,undock,2026-08-27T17:56:57.524781,2026-08-27T17:57:01.529893,robot2,m2,m2_s2
61,Control,move_to,2026-08-27T17:57:01.530403,2026-08-27T17:57:23.884643,robot2,m2,m2_s2
62,Task,check_room,2026-08-27T17:57:23.886314,2026-08-27T17:57:28.391166,robot2,m2,m2_s2
63,Control,move_to,2026-08-27T17:57:28.557964,2026-08-27T17:57:48.562848,robot2,m2,m2_s1
64,Task,vacuum,2026-08-27T17:57:48.564600,2026-08-27T17:58:09.581964,robot2,m2,m2_s1
65,Control,move_to,2026-08-27T17:58:10.516397,2026-08-27T17:58:26.645755,robot2,m2,m2_s5
66,Task,vacuum,2026-08-27T17:58:26.646506,2026-08-27T17:58:44.156622,robot2,m2,m2_s5
67,Control,move_to,2026-08-27T17:58:44.524656,2026-08-27T17:58:54.528518,robot2,m2,m2_s4
68,Task,disinfect,2026-08-27T17:58:54.529673,2026-08-27T17:59:02.533551,robot2,m2,m2_s4
