event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
1,Control,undock,2026-08-27T19:08:47.268242,2026-08-27T19:08:51.272652,robot1,m1,m1_s1
2,Control,move_to,2026-08-27T19:08:51.274208,2026-08-27T19:09:00.225992,robot1,m1,m1_s1
3,Task,vacuum,2026-08-27T19:09:00.228780,2026-08-27T19:09:21.234564,robot1,m1,m1_s1
4,Control,move_to,2026-08-27T19:09:46.243163,2026-08-27T19:09:50.721650,robot1,m1,m1_s2
5,Task,disinfect,2026-08-27T19:09:50.723961,2026-08-27T19:09:56.731637,robot1,m1,m1_s2
6,Control,move_to,2026-08-27T19:10:02.247639,2026-08-27T19:10:11.197206,robot1,m1,m1_s1
7,Task,disinfect,2026-08-27T19:10:11.199991,2026-08-27T19:10:23.207645,robot1,m1,m1_s1
8,Control,move_to,2026-08-27T19:10:37.249962,2026-08-27T19:10:41.727709,robot1,m1,m1_s3
9,Task,disinfect,2026-08-27T19:10:41.730479,2026-08-27T19:10:55.741160,robot1,m1,m1_s3
10,Control,undock,2026-08-27T19:08:49.282784,2026-08-27T19:08:53.286228,robot2,m1,m1_s4
11,Control,move_to,2026-08-27T19:08:53.287117,2026-08-27T19:09:06.099221,robot2,m1,m1_s4
12,Task,vacuum,2026-08-27T19:09:06.101530,2026-08-27T19:09:20.109112,robot2,m1,m1_s4
13,Control,move_to,2026-08-27T19:09:20.272119,2026-08-27T19:09:24.749895,robot2,m1,m1_s3
14,Task,vacuum,2026-08-27T19:09:24.752363,2026-08-27T19:09:49.257265,robot2,m1,m1_s3
15,Control,undock,2026-08-27T19:08:49.238214,2026-08-27T19:08:53.243194,robot3,m1,m1_s2
16,Control,move_to,2026-08-27T19:08:53.244128,2026-08-27T19:09:08.869465,robot3,m1,m1_s2
17,Task,vacuum,2026-08-27T19:09:08.870399,2026-08-27T19:09:19.377794,robot3,m1,m1_s2
18,Control,move_to,2026-08-27T19:09:49.268306,2026-08-27T19:09:53.746637,robot3,m1,m1_s4
19,Task,disinfect,2026-08-27T19:09:53.749455,2026-08-27T19:10:01.758601,robot3,m1,m1_s4
20,Control,undock,2026-08-27T19:08:24.250436,2026-08-27T19:08:28.255870,robot6,m1,m1_s1
21,Control,move_to,2026-08-27T19:08:28.257639,2026-08-27T19:08:37.226571,robot6,m1,m1_s1
22,Task,check_room,2026-08-27T19:08:37.227237,2026-08-27T19:08:46.232123,robot6,m1,m1_s1
23,Control,move_to,2026-08-27T19:09:22.272822,2026-08-27T19:09:26.750681,robot6,m1,m1_s2
24,Task,mop,2026-08-27T19:09:26.753329,2026-08-27T19:09:43.261963,robot6,m1,m1_s2
25,Control,move_to,2026-08-27T19:09:52.251363,2026-08-27T19:09:58.259475,robot6,m1,m1_s3
26,Task,mop,2026-08-27T19:09:58.261368,2026-08-27T19:10:36.769926,robot6,m1,m1_s3
27,Task,final_room_check,2026-08-27T19:10:58.255425,2026-08-27T19:11:08.764514,robot6,m1,m1_s3
28,Control,undock,2026-08-27T19:08:24.251352,2026-08-27T19:08:28.255812,robot7,m1,m1_s2
29,Control,move_to,2026-08-27T19:08:28.280947,2026-08-27T19:08:43.907456,robot7,m1,m1_s2
30,Task,check_room,2026-08-27T19:08:43.909566,2026-08-27T19:08:48.417454,robot7,m1,m1_s2
31,Control,move_to,2026-08-27T19:09:22.276621,2026-08-27T19:09:26.753889,robot7,m1,m1_s4
32,Task,mop,2026-08-27T19:09:26.755594,2026-08-27T19:09:48.763783,robot7,m1,m1_s4
33,Control,move_to,2026-08-27T19:09:57.242818,2026-08-27T19:09:59.246655,robot7,m1,m1_s2
34,Task,final_room_check,2026-08-27T19:09:59.247360,2026-08-27T19:10:03.753270,robot7,m1,m1_s2
35,Control,move_to,2026-08-27T19:10:25.246563,2026-08-27T19:10:34.195946,robot7,m1,m1_s1
36,Task,final_room_check,2026-08-27T19:10:34.197663,2026-08-27T19:10:43.203387,robot7,m1,m1_s1
37,Control,undock,2026-08-27T19:08:24.252125,2026-08-27T19:08:28.256229,robot8,m1,m1_s3
38,Control,move_to,2026-08-27T19:08:28.258514,2026-08-27T19:08:41.702538,robot8,m1,m1_s3
39,Task,check_room,2026-08-27T19:08:41.705054,2026-08-27T19:08:52.210862,robot8,m1,m1_s3
40,Control,move_to,2026-08-27T19:09:24.259904,2026-08-27T19:09:27.093722,robot8,m1,m1_s1
41,Task,mop,2026-08-27T19:09:27.095865,2026-08-27T19:10:00.100869,robot8,m1,m1_s1
42,Control,move_to,2026-08-27T19:10:04.249926,2026-08-27T19:10:06.255616,robot8,m1,m1_s4
43,Task,final_room_check,2026-08-27T19:10:06.257591,2026-08-27T19:10:12.262909,robot8,m1,m1_s4
44,Control,undock,2026-08-27T19:08:24.254566,2026-08-27T19:08:28.259014,robot9,m1,m1_s4
45,Control,move_to,2026-08-27T19:08:28.260955,2026-08-27T19:08:41.091858,robot9,m1,m1_s4
46,Task,check_room,2026-08-27T19:08:41.093624,2026-08-27T19:08:47.101223,robot9,m1,m1_s4
47,Control,undock,2026-08-27T19:14:50.846189,2026-08-27T19:14:54.850086,robot1,m2,m2_s5
48,Control,move_to,2026-08-27T19:14:54.851825,2026-08-27T19:15:19.598980,robot1,m2,m2_s5
49,Task,check_room,2026-08-27T19:15:19.600926,2026-08-27T19:15:27.109644,robot1,m2,m2_s5
50,Control,move_to,2026-08-27T19:15:27.848022,2026-08-27T19:15:42.413986,robot1,m2,m2_s2
51,Task,vacuum,2026-08-27T19:15:42.416070,2026-08-27T19:15:52.922355,robot1,m2,m2_s2
52,Control,move_to,2026-08-27T19:15:53.813352,2026-08-27T19:15:58.292495,robot1,m2,m2_s4
53,Task,vacuum,2026-08-27T19:15:58.295126,2026-08-27T19:16:12.304210,robot1,m2,m2_s4
54,Control,move_to,2026-08-27T19:16:12.833794,2026-08-27T19:16:15.668299,robot1,m2,m2_s7
55,Task,vacuum,2026-08-27T19:16:15.671538,2026-08-27T19:16:26.181650,robot1,m2,m2_s7
56,Control,move_to,2026-08-27T19:16:26.813948,2026-08-27T19:16:40.963154,robot1,m2,m2_s8
57,Task,vacuum,2026-08-27T19:16:40.965207,2026-08-27T19:17:05.471825,robot1,m2,m2_s8
58,Control,move_to,2026-08-27T19:17:08.819785,2026-08-27T19:17:26.028802,robot1,m2,m2_s7
59,Task,final_room_check,2026-08-27T19:17:26.029651,2026-08-27T19:17:30.534989,robot1,m2,m2_s7
60,Control,move_to,2026-08-27T19:17:34.819112,2026-08-27T19:17:43.309868,robot1,m2,m2_s6
61,Task,disinfect,2026-08-27T19:17:43.311158,2026-08-27T19:17:55.312919,robot1,m2,m2_s6
62,Control,move_to,2026-08-27T19:17:55.811415,2026-08-27T19:18:04.762664,robot1,m2,m2_s8
63,Task,disinfect,2026-08-27T19:18:04.765592,2026-08-27T19:18:18.774952,robot1,m2,m2_s8
64,Control,undock,2026-08-27T19:14:50.880782,2026-08-27T19:14:54.884124,robot2,m2,m2_s6
65,Control,move_to,2026-08-27T19:14:54.885501,2026-08-27T19:15:21.723957,robot2,m2,m2_s6
66,Task,check_room,2026-08-27T19:15:21.725238,2026-08-27T19:15:30.732026,robot2,m2,m2_s6
67,Control,move_to,2026-08-27T19:15:30.823546,2026-08-27T19:15:42.493128,robot2,m2,m2_s3
68,Task,vacuum,2026-08-27T19:15:42.495786,2026-08-27T19:16:07.003659,robot2,m2,m2_s3
69,Control,move_to,2026-08-27T19:16:07.817127,2026-08-27T19:16:26.798329,robot2,m2,m2_s6
70,Task,vacuum,2026-08-27T19:16:26.801320,2026-08-27T19:16:47.820822,robot2,m2,m2_s6
71,Control,move_to,2026-08-27T19:16:48.813658,2026-08-27T19:17:00.482488,robot2,m2,m2_s3
72,Task,disinfect,2026-08-27T19:17:00.484503,2026-08-27T19:17:14.494251,robot2,m2,m2_s3
73,Control,move_to,2026-08-27T19:17:36.817500,2026-08-27T19:17:54.820650,robot2,m2,m2_s5
74,Task,disinfect,2026-08-27T19:17:54.822881,2026-08-27T19:18:04.829675,robot2,m2,m2_s5
75,Control,undock,2026-08-27T19:14:50.919259,2026-08-27T19:14:54.927099,robot3,m2,m2_s7
76,Control,move_to,2026-08-27T19:14:54.928814,2026-08-27T19:15:17.741859,robot3,m2,m2_s7
77,Task,check_room,2026-08-27T19:15:17.744742,2026-08-27T19:15:22.250683,robot3,m2,m2_s7
78,Control,move_to,2026-08-27T19:15:22.806377,2026-08-27T19:15:40.019595,robot3,m2,m2_s1
79,Task,vacuum,2026-08-27T19:15:40.022563,2026-08-27T19:16:01.030651,robot3,m2,m2_s1
80,Control,move_to,2026-08-27T19:16:01.819533,2026-08-27T19:16:17.953169,robot3,m2,m2_s5
