event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
1,Control,undock,2026-08-27T18:30:23.035385,2026-08-27T18:30:27.040288,robot1,m1,s1
2,Control,move_to,2026-08-27T18:30:27.041934,2026-08-27T18:30:35.994386,robot1,m1,s1
3,Task,check_room,2026-08-27T18:30:35.996851,2026-08-27T18:30:45.002611,robot1,m1,s1
4,Task,vacuum,2026-08-27T18:30:46.001563,2026-08-27T18:31:07.006083,robot1,m1,s1
5,Control,move_to,2026-08-27T18:31:32.003219,2026-08-27T18:31:34.008671,robot1,m1,s4
6,Task,disinfect,2026-08-27T18:31:34.010552,2026-08-27T18:31:42.016661,robot1,m1,s4
7,Task,final_room_check,2026-08-27T18:31:45.000523,2026-08-27T18:31:51.007966,robot1,m1,s4
8,Control,move_to,2026-08-27T18:31:54.997329,2026-08-27T18:31:57.003706,robot1,m1,s2
9,Task,disinfect,2026-08-27T18:31:57.006150,2026-08-27T18:32:03.012432,robot1,m1,s2
10,Task,final_room_check,2026-08-27T18:32:03.985443,2026-08-27T18:32:08.491448,robot1,m1,s2
11,Control,move_to,2026-08-27T18:32:15.995762,2026-08-27T18:32:22.004894,robot1,m1,s3
12,Task,disinfect,2026-08-27T18:32:22.007679,2026-08-27T18:32:36.015427,robot1,m1,s3
13,Task,final_room_check,2026-08-27T18:32:39.018061,2026-08-27T18:32:49.525482,robot1,m1,s3
14,Control,undock,2026-08-27T18:30:23.036155,2026-08-27T18:30:27.041787,robot2,m1,s4
15,Control,move_to,2026-08-27T18:30:27.043206,2026-08-27T18:30:39.856146,robot2,m1,s4
16,Task,check_room,2026-08-27T18:30:39.858158,2026-08-27T18:30:45.865196,robot2,m1,s4
17,Task,vacuum,2026-08-27T18:30:47.995936,2026-08-27T18:31:02.000640,robot2,m1,s4
18,Control,move_to,2026-08-27T18:31:03.001808,2026-08-27T18:31:05.013752,robot2,m1,s2
19,Task,vacuum,2026-08-27T18:31:05.014552,2026-08-27T18:31:15.522715,robot2,m1,s2
20,Control,move_to,2026-08-27T18:31:56.999997,2026-08-27T18:32:05.956114,robot2,m1,s1
21,Task,disinfect,2026-08-27T18:32:05.958616,2026-08-27T18:32:17.967781,robot2,m1,s1
22,Task,final_room_check,2026-08-27T18:32:20.029993,2026-08-27T18:32:29.038920,robot2,m1,s1
23,Control,undock,2026-08-27T18:30:23.034679,2026-08-27T18:30:27.039331,robot3,m1,s3
24,Control,move_to,2026-08-27T18:30:27.041798,2026-08-27T18:30:40.466058,robot3,m1,s3
25,Task,check_room,2026-08-27T18:30:40.467908,2026-08-27T18:30:50.973844,robot3,m1,s3
26,Task,vacuum,2026-08-27T18:30:52.996517,2026-08-27T18:31:17.503540,robot3,m1,s3
27,Control,undock,2026-08-27T18:30:23.037183,2026-08-27T18:30:27.041799,robot4,m1,s2
28,Control,move_to,2026-08-27T18:30:27.043225,2026-08-27T18:30:42.670466,robot4,m1,s2
29,Task,check_room,2026-08-27T18:30:42.672426,2026-08-27T18:30:47.176577,robot4,m1,s2
30,Control,move_to,2026-08-27T18:31:05.013755,2026-08-27T18:31:09.494150,robot4,m1,s4
31,Task,mop,2026-08-27T18:31:09.497183,2026-08-27T18:31:31.506660,robot4,m1,s4
32,Control,undock,2026-08-27T18:31:08.015124,2026-08-27T18:31:12.018596,robot5,m1,s1
33,Control,move_to,2026-08-27T18:31:12.019681,2026-08-27T18:31:20.972576,robot5,m1,s1
34,Task,mop,2026-08-27T18:31:20.975657,2026-08-27T18:31:53.981197,robot5,m1,s1
35,Control,undock,2026-08-27T18:31:15.996522,2026-08-27T18:31:20.002523,robot6,m1,s2
36,Control,move_to,2026-08-27T18:31:20.003299,2026-08-27T18:31:35.676867,robot6,m1,s2
37,Task,mop,2026-08-27T18:31:35.677531,2026-08-27T18:31:52.184518,robot6,m1,s2
38,Control,undock,2026-08-27T18:31:17.997370,2026-08-27T18:31:22.004055,robot7,m1,s3
39,Control,move_to,2026-08-27T18:31:22.006377,2026-08-27T18:31:35.433658,robot7,m1,s3
40,Task,mop,2026-08-27T18:31:35.435804,2026-08-27T18:32:13.941722,robot7,m1,s3
41,Control,undock,2026-08-27T18:34:33.542764,2026-08-27T18:34:37.555784,robot1,m2,s1
42,Control,move_to,2026-08-27T18:34:37.557058,2026-08-27T18:34:46.507277,robot1,m2,s1
43,Task,check_room,2026-08-27T18:34:46.508911,2026-08-27T18:34:55.515026,robot1,m2,s1
44,Task,vacuum,2026-08-27T18:34:56.538731,2026-08-27T18:35:17.543219,robot1,m2,s1
45,Control,move_to,2026-08-27T18:35:18.540560,2026-08-27T18:35:31.352682,robot1,m2,s4
46,Task,vacuum,2026-08-27T18:35:31.354709,2026-08-27T18:35:45.362673,robot1,m2,s4
47,Control,move_to,2026-08-27T18:35:45.540880,2026-08-27T18:35:54.491174,robot1,m2,s6
48,Task,vacuum,2026-08-27T18:35:54.493887,2026-08-27T18:36:15.502347,robot1,m2,s6
49,Control,move_to,2026-08-27T18:36:19.538642,2026-08-27T18:36:26.760228,robot1,m2,s4
50,Task,disinfect,2026-08-27T18:36:26.763176,2026-08-27T18:36:34.772135,robot1,m2,s4
51,Task,final_room_check,2026-08-27T18:36:37.553606,2026-08-27T18:36:43.557665,robot1,m2,s4
52,Control,move_to,2026-08-27T18:36:50.532709,2026-08-27T18:37:02.541421,robot1,m2,s8
53,Task,final_room_check,2026-08-27T18:37:02.544263,2026-08-27T18:37:13.049674,robot1,m2,s8
54,Control,move_to,2026-08-27T18:37:23.668525,2026-08-27T18:37:43.774413,robot1,m2,s5
55,Task,final_room_check,2026-08-27T18:37:43.776524,2026-08-27T18:37:51.286104,robot1,m2,s5
