event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e1,Control,navigate,26:01:01T08:00:00.00,26:01:01T08:00:47.57,r5,,,
e5,Control,navigate,26:01:01T08:00:00.00,26:01:01T08:00:53.93,r3,,,
e10,Control,navigate,26:01:01T08:00:00.00,26:01:01T08:00:55.47,r1,,,
e23,Control,navigate,26:01:01T08:00:10.00,26:01:01T08:00:19.73,r7,,,
e24,Control,enter_room,26:01:01T08:00:19.73,26:01:01T08:00:21.75,r7,,,
e25,Control,localize,26:01:01T08:00:21.75,26:01:01T08:00:23.44,r7,,,
e26,Control,clean_path,26:01:01T08:00:23.44,26:01:01T08:00:30.56,r7,,,
e27,Task,vacuum,26:01:01T08:00:30.56,26:01:01T08:00:53.94,r7,m2,m2_s3,t17
e2,Control,enter_room,26:01:01T08:00:47.57,26:01:01T08:00:49.22,r5,,,
e3,Control,position,26:01:01T08:00:49.22,26:01:01T08:00:51.43,r5,,,
e4,Task,inspect,26:01:01T08:00:51.43,26:01:01T08:01:00.28,r5,m1,m1_s1,t1
e6,Control,enter_room,26:01:01T08:00:53.93,26:01:01T08:00:55.63,r3,,,
e82,Control,navigate,26:01:01T08:00:53.94,26:01:01T08:01:51.15,r8,,,
e32,Control,navigate,26:01:01T08:00:53.94,26:01:01T08:02:10.30,r7,,,
e11,Control,enter_room,26:01:01T08:00:55.47,26:01:01T08:00:57.76,r1,,,
e7,Control,localize,26:01:01T08:00:55.63,26:01:01T08:00:57.61,r3,,,
e8,Control,clean_path,26:01:01T08:00:57.61,26:01:01T08:01:05.77,r3,,,
e12,Control,position,26:01:01T08:00:57.76,26:01:01T08:00:59.70,r1,,,
e13,Task,inspect,26:01:01T08:00:59.70,26:01:01T08:01:06.78,r1,m1,m1_s3,t7
e14,Control,navigate,26:01:01T08:01:00.28,26:01:01T08:01:36.28,r5,,,
e9,Task,vacuum,26:01:01T08:01:05.77,26:01:01T08:01:28.42,r3,m1,m1_s2,t5
e19,Control,navigate,26:01:01T08:01:06.78,26:01:01T08:01:38.14,r1,,,
e135,Control,navigate,26:01:01T08:01:28.42,26:01:01T08:01:37.65,r4,,,
e41,Control,navigate,26:01:01T08:01:28.42,26:01:01T08:02:24.04,r3,,,
e15,Control,enter_room,26:01:01T08:01:36.28,26:01:01T08:01:38.31,r5,,,
e136,Control,position,26:01:01T08:01:37.65,26:01:01T08:01:39.59,r4,,,
e20,Control,enter_room,26:01:01T08:01:38.14,26:01:01T08:01:40.53,r1,,,
e16,Control,localize,26:01:01T08:01:38.31,26:01:01T08:01:40.50,r5,,,
e137,Task,empty_bin,26:01:01T08:01:39.59,26:01:01T08:01:49.92,r4,m1,m1_s2,t6
e17,Control,clean_path,26:01:01T08:01:40.50,26:01:01T08:01:47.54,r5,,,
e21,Control,position,26:01:01T08:01:40.53,26:01:01T08:01:42.65,r1,,,
e22,Task,inspect,26:01:01T08:01:42.65,26:01:01T08:01:50.46,r1,m2,m2_s2,t13
e18,Task,vacuum,26:01:01T08:01:47.54,26:01:01T08:02:10.66,r5,m2,m2_s1,t11
e28,Control,navigate,26:01:01T08:01:50.46,26:01:01T08:02:13.56,r1,,,
e83,Control,position,26:01:01T08:01:51.15,26:01:01T08:01:53.42,r8,,,
e84,Task,empty_bin,26:01:01T08:01:53.42,26:01:01T08:02:05.29,r8,m2,m2_s3,t18
e33,Control,enter_room,26:01:01T08:02:10.30,26:01:01T08:02:11.96,r7,,,
e211,Control,navigate,26:01:01T08:02:10.66,26:01:01T08:02:31.01,r8,,,
e37,Control,navigate,26:01:01T08:02:10.66,26:01:01T08:03:17.92,r5,,,
e34,Control,localize,26:01:01T08:02:11.96,26:01:01T08:02:14.06,r7,,,
