task_id,task_name,mission_id,segment_id,location_x,location_y,release_time
t1,inspect,m1,m1_s1,17.6352,47.1413,0.0
t2,vacuum,m1,m1_s1,17.6352,47.1413,0.0
t3,mop,m1,m1_s1,17.6352,47.1413,0.0
t4,disinfect,m1,m1_s1,17.6352,47.1413,0.0
t5,vacuum,m1,m1_s2,64.7544,0.5199,0.0
t6,empty_bin,m1,m1_s2,64.7544,0.5199,0.0
t7,inspect,m1,m1_s3,64.4655,55.8512,0.0
t8,vacuum,m1,m1_s3,64.4655,55.8512,0.0
t9,mop,m1,m1_s3,64.4655,55.8512,0.0
t10,disinfect,m1,m1_s3,64.4655,55.8512,0.0
t11,vacuum,m2,m2_s1,27.22,12.4384,10.0
t12,empty_bin,m2,m2_s1,27.22,12.4384,10.0
t13,inspect,m2,m2_s2,76.577,26.9276,10.0
t14,vacuum,m2,m2_s2,76.577,26.9276,10.0
t15,mop,m2,m2_s2,76.577,26.9276,10.0
t16,disinfect,m2,m2_s2,76.577,26.9276,10.0
t17,vacuum,m2,m2_s3,7.4197,7.7373,10.0
t18,empty_bin,m2,m2_s3,7.4197,7.7373,10.0
t19,inspect,m3,m3_s1,67.7995,48.2981,20.0
t20,vacuum,m3,m3_s1,67.7995,48.2981,20.0
t21,mop,m3,m3_s1,67.7995,48.2981,20.0
t22,disinfect,m3,m3_s1,67.7995,48.2981,20.0
t23,vacuum,m3,m3_s2,64.5703,58.3785,20.0
t24,empty_bin,m3,m3_s2,64.5703,58.3785,20.0
t25,inspect,m3,m3_s3,42.8982,77.8493,20.0
t26,vacuum,m3,m3_s3,42.8982,77.8493,20.0
t27,mop,m3,m3_s3,42.8982,77.8493,20.0
t28,disinfect,m3,m3_s3,42.8982,77.8493,20.0
t29,vacuum,m4,m4_s1,30.2828,44.1633,30.0
t30,empty_bin,m4,m4_s1,30.2828,44.1633,30.0
t31,inspect,m4,m4_s2,66.3524,49.4816,30.0
t32,vacuum,m4,m4_s2,66.3524,49.4816,30.0
t33,mop,m4,m4_s2,66.3524,49.4816,30.0
t34,disinfect,m4,m4_s2,66.3524,49.4816,30.0
t35,vacuum,m4,m4_s3,68.9366,46.1882,30.0
t36,empty_bin,m4,m4_s3,68.9366,46.1882,30.0
t37,inspect,m5,m5_s1,56.3657,3.666,40.0
t38,vacuum,m5,m5_s1,56.3657,3.666,40.0
t39,mop,m5,m5_s1,56.3657,3.666,40.0
t40,disinfect,m5,m5_s1,56.3657,3.666,40.0
t41,vacuum,m5,m5_s2,18.2319,23.151,40.0
t42,empty_bin,m5,m5_s2,18.2319,23.151,40.0
t43,inspect,m5,m5_s3,6.3834,18.6233,40.0
t44,vacuum,m5,m5_s3,6.3834,18.6233,40.0
t45,mop,m5,m5_s3,6.3834,18.6233,40.0
t46,disinfect,m5,m5_s3,6.3834,18.6233,40.0
t47,vacuum,m6,m6_s1,8.0801,22.2379,50.0
t48,empty_bin,m6,m6_s1,8.0801,22.2379,50.0
t49,inspect,m6,m6_s2,50.8548,29.1866,50.0
t50,vacuum,m6,m6_s2,50.8548,29.1866,50.0
t51,mop,m6,m6_s2,50.8548,29.1866,50.0
t52,disinfect,m6,m6_s2,50.8548,29.1866,50.0
t53,vacuum,m6,m6_s3,29.6145,16.7606,50.0
t54,empty_bin,m6,m6_s3,29.6145,16.7606,50.0
t55,inspect,m7,m7_s1,21.3582,74.9324,60.0
t56,vacuum,m7,m7_s1,21.3582,74.9324,60.0
t57,mop,m7,m7_s1,21.3582,74.9324,60.0
t58,disinfect,m7,m7_s1,21.3582,74.9324,60.0
t59,vacuum,m7,m7_s2,51.8428,48.7305,60.0
t60,empty_bin,m7,m7_s2,51.8428,48.7305,60.0
t61,inspect,m7,m7_s3,13.6911,58.3301,60.0
t62,vacuum,m7,m7_s3,13.6911,58.3301,60.0
t63,mop,m7,m7_s3,13.6911,58.3301,60.0
t64,disinfect,m7,m7_s3,13.6911,58.3301,60.0
t65,vacuum,m8,m8_s1,13.0722,30.3564,70.0
t66,empty_bin,m8,m8_s1,13.0722,30.3564,70.0
t67,inspect,m8,m8_s2,79.1619,51.2,70.0
t68,vacuum,m8,m8_s2,79.1619,51.2,70.0
t69,mop,m8,m8_s2,79.1619,51.2,70.0
t70,disinfect,m8,m8_s2,79.1619,51.2,70.0
t71,vacuum,m8,m8_s3,44.556,54.7691,70.0
t72,empty_bin,m8,m8_s3,44.556,54.7691,70.0
t73,inspect,m9,m9_s1,67.4282,62.08,80.0
t74,vacuum,m9,m9_s1,67.4282,62.08,80.0
t75,mop,m9,m9_s1,67.4282,62.08,80.0
t76,disinfect,m9,m9_s1,67.4282,62.08,80.0
t77,vacuum,m9,m9_s2,18.3238,2.568,80.0
t78,empty_bin,m9,m9_s2,18.3238,2.568,80.0
t79,inspect,m9,m9_s3,25.2362,21.4193,80.0
t80,vacuum,m9,m9_s3,25.2362,21.4193,80.0
t81,mop,m9,m9_s3,25.2362,21.4193,80.0
t82,disinfect,m9,m9_s3,25.2362,21.4193,80.0
