event_id,task_name,start_time,end_time,mission_id,segment_id,robot_id,case_study,algorithm,required_capability,duration_min,travel_time_min,wait_from_deps_min,zone,x,y,order,item,room,floor,field,plot,destination,priority
e_order_management_capability_aware_00001,locate_item,2026-01-07T08:03,2026-01-07T08:07,order_001,order_001_item_03,wr_scanner_1,order_management,capability_aware,vision,4,3,3,aisle_3,7.87,3.82,order_001,mug,,,,,dock_A,high
e_order_management_capability_aware_00002,locate_item,2026-01-07T08:05,2026-01-07T08:10,order_001,order_001_item_01,wr_picker_2,order_management,capability_aware,vision,5,5,5,aisle_1,3.78,4.19,order_001,book,,,,,dock_A,high
e_order_management_capability_aware_00003,locate_item,2026-01-07T08:10,2026-01-07T08:14,order_001,order_001_item_02,wr_picker_1,order_management,capability_aware,vision,4,10,10,aisle_2,6.23,3.93,order_001,headphones,,,,,dock_A,high
e_order_management_capability_aware_00004,locate_item,2026-01-07T08:10,2026-01-07T08:14,order_002,order_002_item_03,wr_scanner_1,order_management,capability_aware,vision,4,3,10,aisle_3,7.81,5.81,order_002,charger,,,,,dock_B,normal
e_order_management_capability_aware_00005,pick_item,2026-01-07T08:10,2026-01-07T08:16,order_001,order_001_item_01,wr_picker_2,order_management,capability_aware,gripper,6,0,0,aisle_1,3.78,4.19,order_001,book,,,,,dock_A,high
e_order_management_capability_aware_00006,pick_item,2026-01-07T08:14,2026-01-07T08:20,order_001,order_001_item_02,wr_picker_1,order_management,capability_aware,gripper,6,0,0,aisle_2,6.23,3.93,order_001,headphones,,,,,dock_A,high
e_order_management_capability_aware_00007,locate_item,2026-01-07T08:17,2026-01-07T08:21,order_002,order_002_item_02,wr_scanner_1,order_management,capability_aware,vision,4,3,17,aisle_2,5.82,6.21,order_002,mouse,,,,,dock_B,normal
e_order_management_capability_aware_00008,locate_item,2026-01-07T08:19,2026-01-07T08:22,order_002,order_002_item_01,wr_picker_2,order_management,capability_aware,vision,3,3,19,aisle_1,3.75,5.83,order_002,keyboard,,,,,dock_B,normal
e_order_management_capability_aware_00009,pick_item,2026-01-07T08:22,2026-01-07T08:28,order_002,order_002_item_01,wr_picker_2,order_management,capability_aware,gripper,6,0,0,aisle_1,3.75,5.83,order_002,keyboard,,,,,dock_B,normal
e_order_management_capability_aware_00010,pick_item,2026-01-07T08:23,2026-01-07T08:28,order_001,order_001_item_03,wr_picker_1,order_management,capability_aware,gripper,5,3,16,aisle_3,7.87,3.82,order_001,mug,,,,,dock_A,high
e_order_management_capability_aware_00011,scan_item,2026-01-07T08:25,2026-01-07T08:28,order_001,order_001_item_02,wr_scanner_1,order_management,capability_aware,scanner,3,4,5,scan_station,7.23,3.93,order_001,headphones,,,,,dock_A,high
e_order_management_capability_aware_00012,pack_item,2026-01-07T08:28,2026-01-07T08:35,order_001,order_001_item_02,wr_packer_1,order_management,capability_aware,packing,7,0,0,packing_station,10.00,8.00,order_001,headphones,,,,,dock_A,high
e_order_management_capability_aware_00013,scan_item,2026-01-07T08:31,2026-01-07T08:34,order_001,order_001_item_03,wr_scanner_1,order_management,capability_aware,scanner,3,3,3,scan_station,8.87,3.82,order_001,mug,,,,,dock_A,high
e_order_management_capability_aware_00014,locate_item,2026-01-07T08:31,2026-01-07T08:35,order_003,order_003_item_01,wr_picker_2,order_management,capability_aware,vision,4,3,31,aisle_1,3.76,7.89,order_003,tablet,,,,,dock_A,high
e_order_management_capability_aware_00015,locate_item,2026-01-07T08:33,2026-01-07T08:36,order_002,order_002_item_04,wr_picker_1,order_management,capability_aware,vision,3,5,33,aisle_4,10.26,6.25,order_002,cable,,,,,dock_B,normal
e_order_management_capability_aware_00016,pick_item,2026-01-07T08:35,2026-01-07T08:40,order_003,order_003_item_01,wr_picker_2,order_management,capability_aware,gripper,5,0,0,aisle_1,3.76,7.89,order_003,tablet,,,,,dock_A,high
e_order_management_capability_aware_00017,pack_item,2026-01-07T08:35,2026-01-07T08:41,order_001,order_001_item_03,wr_packer_1,order_management,capability_aware,packing,6,0,1,packing_station,10.00,8.00,order_001,mug,,,,,dock_A,high
e_order_management_capability_aware_00018,pick_item,2026-01-07T08:36,2026-01-07T08:42,order_002,order_002_item_04,wr_picker_1,order_management,capability_aware,gripper,6,0,0,aisle_4,10.26,6.25,order_002,cable,,,,,dock_B,normal
e_order_management_capability_aware_00019,scan_item,2026-01-07T08:40,2026-01-07T08:43,order_001,order_001_item_01,wr_scanner_1,order_management,capability_aware,scanner,3,6,24,scan_station,4.78,4.19,order_001,book,,,,,dock_A,high
e_order_management_capability_aware_00020,locate_item,2026-01-07T08:44,2026-01-07T08:48,order_003,order_003_item_02,wr_picker_2,order_management,capability_aware,vision,4,4,44,aisle_2,6.29,7.93,order_003,case,,,,,dock_A,high
e_order_management_capability_aware_00021,move_to_dispatch,2026-01-07T08:45,2026-01-07T08:54,order_001,order_001_item_03,wr_packer_1,order_management,capability_aware,transport,9,4,4,dock_A,12.00,9.00,order_001,mug,,,,,dock_A,high
e_order_management_capability_aware_00022,scan_item,2026-01-07T08:46,2026-01-07T08:49,order_002,order_002_item_01,wr_scanner_1,order_management,capability_aware,scanner,3,3,18,scan_station,4.75,5.83,order_002,keyboard,,,,,dock_B,normal
e_order_management_capability_aware_00023,locate_item,2026-01-07T08:46,2026-01-07T08:51,order_003,order_003_item_03,wr_picker_1,order_management,capability_aware,vision,5,4,46,aisle_3,8.08,8.11,order_003,stylus,,,,,dock_A,high
