event_id,task_name,start_time,end_time,mission_id,segment_id,robot_id,case_study,algorithm,required_capability,duration_min,travel_time_min,wait_from_deps_min,zone,x,y,order,item,room,floor,field,plot,destination,priority
e_order_management_static_assignment_00001,locate_item,2026-01-07T08:03,2026-01-07T08:06,order_001,order_001_item_03,wr_scanner_1,order_management,static_assignment,vision,3,3,3,aisle_3,7.87,3.82,order_001,mug,,,,,dock_A,high
e_order_management_static_assignment_00002,locate_item,2026-01-07T08:05,2026-01-07T08:09,order_001,order_001_item_01,wr_picker_2,order_management,static_assignment,vision,4,5,5,aisle_1,3.78,4.19,order_001,book,,,,,dock_A,high
e_order_management_static_assignment_00003,locate_item,2026-01-07T08:09,2026-01-07T08:13,order_001,order_001_item_02,wr_scanner_1,order_management,static_assignment,vision,4,3,9,aisle_2,6.23,3.93,order_001,headphones,,,,,dock_A,high
e_order_management_static_assignment_00004,pick_item,2026-01-07T08:09,2026-01-07T08:16,order_001,order_001_item_01,wr_picker_2,order_management,static_assignment,gripper,7,0,0,aisle_1,3.78,4.19,order_001,book,,,,,dock_A,high
e_order_management_static_assignment_00005,locate_item,2026-01-07T08:10,2026-01-07T08:15,order_002,order_002_item_01,wr_picker_1,order_management,static_assignment,vision,5,10,10,aisle_1,3.75,5.83,order_002,keyboard,,,,,dock_B,normal
e_order_management_static_assignment_00006,pick_item,2026-01-07T08:15,2026-01-07T08:20,order_002,order_002_item_01,wr_picker_1,order_management,static_assignment,gripper,5,0,0,aisle_1,3.75,5.83,order_002,keyboard,,,,,dock_B,normal
e_order_management_static_assignment_00007,scan_item,2026-01-07T08:18,2026-01-07T08:21,order_001,order_001_item_01,wr_scanner_1,order_management,static_assignment,scanner,3,2,2,scan_station,4.78,4.19,order_001,book,,,,,dock_A,high
e_order_management_static_assignment_00008,locate_item,2026-01-07T08:20,2026-01-07T08:24,order_002,order_002_item_02,wr_picker_2,order_management,static_assignment,vision,4,4,20,aisle_2,5.82,6.21,order_002,mouse,,,,,dock_B,normal
e_order_management_static_assignment_00009,pack_item,2026-01-07T08:21,2026-01-07T08:27,order_001,order_001_item_01,wr_packer_1,order_management,static_assignment,packing,6,0,0,packing_station,10.00,8.00,order_001,book,,,,,dock_A,high
e_order_management_static_assignment_00010,locate_item,2026-01-07T08:23,2026-01-07T08:27,order_003,order_003_item_01,wr_picker_1,order_management,static_assignment,vision,4,3,23,aisle_1,3.76,7.89,order_003,tablet,,,,,dock_A,high
e_order_management_static_assignment_00011,scan_item,2026-01-07T08:24,2026-01-07T08:27,order_002,order_002_item_01,wr_scanner_1,order_management,static_assignment,scanner,3,3,4,scan_station,4.75,5.83,order_002,keyboard,,,,,dock_B,normal
e_order_management_static_assignment_00012,pick_item,2026-01-07T08:24,2026-01-07T08:30,order_002,order_002_item_02,wr_picker_2,order_management,static_assignment,gripper,6,0,0,aisle_2,5.82,6.21,order_002,mouse,,,,,dock_B,normal
e_order_management_static_assignment_00013,pack_item,2026-01-07T08:27,2026-01-07T08:33,order_002,order_002_item_01,wr_packer_1,order_management,static_assignment,packing,6,0,0,packing_station,10.00,8.00,order_002,keyboard,,,,,dock_B,normal
e_order_management_static_assignment_00014,pick_item,2026-01-07T08:27,2026-01-07T08:34,order_003,order_003_item_01,wr_picker_1,order_management,static_assignment,gripper,7,0,0,aisle_1,3.76,7.89,order_003,tablet,,,,,dock_A,high
e_order_management_static_assignment_00015,scan_item,2026-01-07T08:33,2026-01-07T08:36,order_002,order_002_item_02,wr_scanner_1,order_management,static_assignment,scanner,3,3,3,scan_station,6.82,6.21,order_002,mouse,,,,,dock_B,normal
e_order_management_static_assignment_00016,locate_item,2026-01-07T08:33,2026-01-07T08:38,order_002,order_002_item_03,wr_picker_2,order_management,static_assignment,vision,5,3,33,aisle_3,7.81,5.81,order_002,charger,,,,,dock_B,normal
e_order_management_static_assignment_00017,pack_item,2026-01-07T08:36,2026-01-07T08:44,order_002,order_002_item_02,wr_packer_1,order_management,static_assignment,packing,8,0,0,packing_station,10.00,8.00,order_002,mouse,,,,,dock_B,normal
e_order_management_static_assignment_00018,locate_item,2026-01-07T08:38,2026-01-07T08:42,order_003,order_003_item_02,wr_picker_1,order_management,static_assignment,vision,4,4,38,aisle_2,6.29,7.93,order_003,case,,,,,dock_A,high
e_order_management_static_assignment_00019,pick_item,2026-01-07T08:38,2026-01-07T08:45,order_002,order_002_item_03,wr_picker_2,order_management,static_assignment,gripper,7,0,0,aisle_3,7.81,5.81,order_002,charger,,,,,dock_B,normal
e_order_management_static_assignment_00020,scan_item,2026-01-07T08:40,2026-01-07T08:43,order_003,order_003_item_01,wr_scanner_1,order_management,static_assignment,scanner,3,4,6,scan_station,4.76,7.89,order_003,tablet,,,,,dock_A,high
e_order_management_static_assignment_00021,move_to_dispatch,2026-01-07T08:40,2026-01-07T08:48,order_001,order_001_item_01,wr_amr_1,order_management,static_assignment,transport,8,13,13,dock_A,12.00,9.00,order_001,book,,,,,dock_A,high
e_order_management_static_assignment_00022,pick_item,2026-01-07T08:42,2026-01-07T08:47,order_003,order_003_item_02,wr_picker_1,order_management,static_assignment,gripper,5,0,0,aisle_2,6.29,7.93,order_003,case,,,,,dock_A,high
e_order_management_static_assignment_00023,pack_item,2026-01-07T08:44,2026-01-07T08:50,order_003,order_003_item_01,wr_packer_1,order_management,static_assignment,packing,6,0,1,packing_station,10.00,8.00,order_003,tablet,,,,,dock_A,high
e_order_management_static_assignment_00024,locate_item,2026-01-07T08:48,2026-01-07T08:52,order_003,order_003_item_03,wr_scanner_1,order_management,static_assignment,vision,4,5,48,aisle_3,8.08,8.11,order_003,stylus,,,,,dock_A,high
e_order_management_static_assignment_00025,move_to_dispatch,2026-01-07T08:48,2026-01-07T08:56,order_002,order_002_item_02,wr_amr_1,order_management,static_assignment,transport,8,0,4,dock_B,12.00,9.00,order_002,mouse,,,,,dock_B,normal
e_order_management_static_assignment_00026,locate_item,2026-01-07T08:49,2026-01-07T08:53,order_002,order_002_item_04,wr_picker_2,order_management,static_assignment,vision,4,4,49,aisle_4,10.26,6.25,order_002,cable,,,,,dock_B,normal
e_order_management_static_assignment_00027,pick_item,2026-01-07T08:53,2026-01-07T08:59,order_001,order_001_item_02,wr_picker_1,order_management,static_assignment,gripper,6,6,40,aisle_2,6.23,3.93,order_001,headphones,,,,,dock_A,high
e_order_management_static_assignment_00028,pick_item,2026-01-07T08:53,2026-01-07T09:00,order_002,order_002_item_04,wr_picker_2,order_management,static_assignment,gripper,7,0,0,aisle_4,10.26,6.25,order_002,cable,,,,,dock_B,normal
e_order_management_static_assignment_00029,scan_item,2026-01-07T08:54,2026-01-07T08:57,order_003,order_003_item_02,wr_scanner_1,order_management,static_assignment,scanner,3,2,7,scan_station,7.29,7.93,order_003,case,,,,,dock_A,high
e_order_management_static_assignment_00030,pack_item,2026-01-07T08:57,2026-01-07T09:04,order_003,order_003_item_02,wr_packer_1,order_management,static_assignment,packing,7,0,0,packing_station,10.00,8.00,order_003,case,,,,,dock_A,high
e_order_management_static_assignment_00031,scan_item,2026-01-07T09:01,2026-01-07T09:04,order_002,order_002_item_03,wr_scanner_1,order_management,static_assignment,scanner,3,4,16,scan_station,8.81,5.81,order_002,charger,,,,,dock_B,normal
e_order_management_static_assignment_00032,pick_item,2026-01-07T09:02,2026-01-07T09:07,order_001,order_001_item_03,wr_picker_1,order_management,static_assignment,gripper,5,3,56,aisle_3,7.87,3.82,order_001,mug,,,,,dock_A,high
e_order_management_static_assignment_00033,pick_item,2026-01-07T09:04,2026-01-07T09:11,order_003,order_003_item_03,wr_picker_2,order_management,static_assignment,gripper,7,4,12,aisle_3,8.08,8.11,order_003,stylus,,,,,dock_A,high
e_order_management_static_assignment_00034,pack_item,2026-01-07T09:04,2026-01-07T09:12,order_002,order_002_item_03,wr_packer_1,order_management,static_assignment,packing,8,0,0,packing_station,10.00,8.00,order_002,charger,,,,,dock_B,normal
e_order_management_static_assignment_00035,scan_item,2026-01-07T09:08,2026-01-07T09:12,order_001,order_001_item_02,wr_scanner_1,order_management,static_assignment,scanner,4,4,9,scan_station,7.23,3.93,order_001,headphones,,,,,dock_A,high
e_order_management_static_assignment_00036,move_to_dispatch,2026-01-07T09:12,2026-01-07T09:19,order_002,order_002_item_03,wr_amr_1,order_management,static_assignment,transport,7,0,0,dock_B,12.00,9.00,order_002,charger,,,,,dock_B,normal
e_order_management_static_assignment_00037,pack_item,2026-01-07T09:12,2026-01-07T09:20,order_001,order_001_item_02,wr_packer_1,order_management,static_assignment,packing,8,0,0,packing_station,10.00,8.00,order_001,headphones,,,,,dock_A,high
e_order_management_static_assignment_00038,scan_item,2026-01-07T09:15,2026-01-07T09:18,order_001,order_001_item_03,wr_scanner_1,order_management,static_assignment,scanner,3,3,8,scan_station,8.87,3.82,order_001,mug,,,,,dock_A,high
e_order_management_static_assignment_00039,move_to_dispatch,2026-01-07T09:16,2026-01-07T09:25,order_003,order_003_item_02,wr_picker_1,order_management,static_assignment,transport,9,9,12,dock_A,12.00,9.00,order_003,case,,,,,dock_A,high
e_order_management_static_assignment_00040,pack_item,2026-01-07T09:20,2026-01-07T09:26,order_001,order_001_item_03,wr_packer_1,order_management,static_assignment,packing,6,0,2,packing_station,10.00,8.00,order_001,mug,,,,,dock_A,high
e_order_management_static_assignment_00041,move_to_dispatch,2026-01-07T09:20,2026-01-07T09:29,order_001,order_001_item_02,wr_amr_1,order_management,static_assignment,transport,9,0,0,dock_A,12.00,9.00,order_001,headphones,,,,,dock_A,high
e_order_management_static_assignment_00042,scan_item,2026-01-07T09:23,2026-01-07T09:26,order_002,order_002_item_04,wr_scanner_1,order_management,static_assignment,scanner,3,5,23,scan_station,11.26,6.25,order_002,cable,,,,,dock_B,normal
