event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,1970-01-01T00:40:48.12,1970-01-01T00:40:52.13,robot1,m3,s1
e2,Control,move_to,1970-01-01T00:40:52.13,1970-01-01T00:41:02.90,robot1,m3,s1
e3,Control,localize,1970-01-01T00:41:02.90,1970-01-01T00:41:07.91,robot1,m3,s1
e4,Task,pick,1970-01-01T00:41:07.91,1970-01-01T00:41:11.92,robot1,m3,s1
e5,Task,move_to,1970-01-01T00:41:11.92,1970-01-01T00:41:20.41,robot1,m3,s1
e6,Control,localize,1970-01-01T00:41:20.42,1970-01-01T00:41:25.42,robot1,m3,s1
e7,Task,place,1970-01-01T00:41:25.42,1970-01-01T00:41:29.43,robot1,m3,s1
e8,Control,move_to,1970-01-01T00:41:30.08,1970-01-01T00:41:36.08,robot1,m5,s2
e9,Control,localize,1970-01-01T00:41:36.08,1970-01-01T00:41:41.09,robot1,m5,s2
e10,Task,pick,1970-01-01T00:41:41.09,1970-01-01T00:41:44.10,robot1,m5,s2
e11,Task,move_to,1970-01-01T00:41:44.10,1970-01-01T00:41:44.10,robot1,m5,s2
e12,Control,localize,1970-01-01T00:41:44.11,1970-01-01T00:41:49.11,robot1,m5,s2
e13,Task,place,1970-01-01T00:41:49.12,1970-01-01T00:41:52.12,robot1,m5,s2
e14,Control,localize,1970-01-01T00:41:53.09,1970-01-01T00:41:58.10,robot1,m1,s1
e15,Task,pick,1970-01-01T00:41:58.10,1970-01-01T00:42:06.11,robot1,m1,s1
e16,Task,move_to,1970-01-01T00:42:06.12,1970-01-01T00:42:14.61,robot1,m1,s1
e17,Control,localize,1970-01-01T00:42:14.61,1970-01-01T00:42:19.62,robot1,m1,s1
e18,Task,place,1970-01-01T00:42:19.62,1970-01-01T00:42:27.62,robot1,m1,s1
e19,Control,move_to,1970-01-01T00:42:28.10,1970-01-01T00:42:36.59,robot1,m5,s1
e20,Control,localize,1970-01-01T00:42:36.59,1970-01-01T00:42:41.60,robot1,m5,s1
e21,Task,pick,1970-01-01T00:42:41.60,1970-01-01T00:42:45.61,robot1,m5,s1
e22,Task,move_to,1970-01-01T00:42:45.61,1970-01-01T00:42:54.10,robot1,m5,s1
e23,Control,localize,1970-01-01T00:42:54.11,1970-01-01T00:42:59.11,robot1,m5,s1
e24,Task,place,1970-01-01T00:42:59.11,1970-01-01T00:43:03.12,robot1,m5,s1
e25,Control,move_to,1970-01-01T00:43:04.08,1970-01-01T00:43:12.57,robot1,m5,s3
e26,Control,localize,1970-01-01T00:43:12.57,1970-01-01T00:43:17.58,robot1,m5,s3
e27,Task,pick,1970-01-01T00:43:17.59,1970-01-01T00:43:22.59,robot1,m5,s3
e28,Task,move_to,1970-01-01T00:43:22.60,1970-01-01T00:43:31.09,robot1,m5,s3
e29,Control,localize,1970-01-01T00:43:31.09,1970-01-01T00:43:36.09,robot1,m5,s3
e30,Task,place,1970-01-01T00:43:36.09,1970-01-01T00:43:41.10,robot1,m5,s3
e31,Control,move_to,1970-01-01T00:43:42.09,1970-01-01T00:43:52.29,robot1,m7,s4
e32,Control,localize,1970-01-01T00:43:52.30,1970-01-01T00:43:57.30,robot1,m7,s4
e33,Task,pick,1970-01-01T00:43:57.30,1970-01-01T00:43:59.31,robot1,m7,s4
e34,Task,move_to,1970-01-01T00:43:59.32,1970-01-01T00:44:04.98,robot1,m7,s4
e35,Control,localize,1970-01-01T00:44:04.98,1970-01-01T00:44:09.99,robot1,m7,s4
e36,Task,place,1970-01-01T00:44:09.99,1970-01-01T00:44:12.00,robot1,m7,s4
e37,Control,localize,1970-01-01T00:44:12.12,1970-01-01T00:44:17.13,robot1,m7,s2
e38,Task,pick,1970-01-01T00:44:17.13,1970-01-01T00:44:20.13,robot1,m7,s2
e39,Task,move_to,1970-01-01T00:44:20.14,1970-01-01T00:44:28.63,robot1,m7,s2
