event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-28T09:31:18.742372,2026-08-28T09:31:22.747074,robot1,m3,s1
e2,Control,move_to,2026-08-28T09:31:22.747772,2026-08-28T09:31:33.524650,robot1,m3,s1
e3,Control,localize,2026-08-28T09:31:33.527133,2026-08-28T09:31:38.530331,robot1,m3,s1
e4,Task,pick,2026-08-28T09:31:38.530978,2026-08-28T09:31:42.536638,robot1,m3,s1
e5,Task,move_to,2026-08-28T09:31:42.540947,2026-08-28T09:31:51.035577,robot1,m3,s1
e6,Control,localize,2026-08-28T09:31:51.040116,2026-08-28T09:31:56.047379,robot1,m3,s1
e7,Task,place,2026-08-28T09:31:56.049159,2026-08-28T09:32:00.054622,robot1,m3,s1
e8,Control,move_to,2026-08-28T09:32:00.723665,2026-08-28T09:32:06.730275,robot1,m5,s2
e9,Control,localize,2026-08-28T09:32:06.732095,2026-08-28T09:32:11.737144,robot1,m5,s2
e10,Task,pick,2026-08-28T09:32:11.737941,2026-08-28T09:32:14.742673,robot1,m5,s2
e11,Task,move_to,2026-08-28T09:32:14.748523,2026-08-28T09:32:14.753548,robot1,m5,s2
e12,Control,localize,2026-08-28T09:32:14.756322,2026-08-28T09:32:19.760326,robot1,m5,s2
e13,Task,place,2026-08-28T09:32:19.761198,2026-08-28T09:32:22.765152,robot1,m5,s2
e14,Control,localize,2026-08-28T09:32:23.719947,2026-08-28T09:32:28.724230,robot1,m1,s1
e15,Task,pick,2026-08-28T09:32:28.725498,2026-08-28T09:32:36.731821,robot1,m1,s1
e16,Task,move_to,2026-08-28T09:32:36.736682,2026-08-28T09:32:45.228472,robot1,m1,s1
e17,Control,localize,2026-08-28T09:32:45.233175,2026-08-28T09:32:50.239241,robot1,m1,s1
e18,Task,place,2026-08-28T09:32:50.240383,2026-08-28T09:32:58.245236,robot1,m1,s1
e19,Control,move_to,2026-08-28T09:32:58.724319,2026-08-28T09:33:07.213731,robot1,m5,s1
e20,Control,localize,2026-08-28T09:33:07.215002,2026-08-28T09:33:12.222553,robot1,m5,s1
e21,Task,pick,2026-08-28T09:33:12.225634,2026-08-28T09:33:16.231854,robot1,m5,s1
e22,Task,move_to,2026-08-28T09:33:16.234217,2026-08-28T09:33:24.724716,robot1,m5,s1
e23,Control,localize,2026-08-28T09:33:24.728341,2026-08-28T09:33:29.733681,robot1,m5,s1
e24,Task,place,2026-08-28T09:33:29.734243,2026-08-28T09:33:33.737176,robot1,m5,s1
e25,Control,move_to,2026-08-28T09:33:34.724011,2026-08-28T09:33:45.497819,robot1,m7,s1
e26,Control,localize,2026-08-28T09:33:45.498442,2026-08-28T09:33:50.502349,robot1,m7,s1
e27,Task,pick,2026-08-28T09:33:50.503229,2026-08-28T09:33:55.509088,robot1,m7,s1
e28,Task,move_to,2026-08-28T09:33:55.514875,2026-08-28T09:33:58.351008,robot1,m7,s1
e29,Control,localize,2026-08-28T09:33:58.354665,2026-08-28T09:34:03.362321,robot1,m7,s1
e30,Task,place,2026-08-28T09:34:03.364395,2026-08-28T09:34:08.371272,robot1,m7,s1
e31,Control,localize,2026-08-28T09:34:08.731543,2026-08-28T09:34:13.737128,robot1,m5,s4
e32,Task,pick,2026-08-28T09:34:13.739972,2026-08-28T09:34:17.747886,robot1,m5,s4
e33,Task,move_to,2026-08-28T09:34:17.750561,2026-08-28T09:34:26.241858,robot1,m5,s4
e34,Control,localize,2026-08-28T09:34:26.243119,2026-08-28T09:34:31.247988,robot1,m5,s4
e35,Task,place,2026-08-28T09:34:31.250616,2026-08-28T09:34:35.257979,robot1,m5,s4
e36,Control,move_to,2026-08-28T09:34:35.757796,2026-08-28T09:34:44.246032,robot1,m7,s2
e37,Control,localize,2026-08-28T09:34:44.247740,2026-08-28T09:34:49.255520,robot1,m7,s2
e38,Task,pick,2026-08-28T09:34:49.257152,2026-08-28T09:34:52.264871,robot1,m7,s2
e39,Task,move_to,2026-08-28T09:34:52.269664,2026-08-28T09:35:00.760617,robot1,m7,s2
e40,Control,localize,2026-08-28T09:35:00.762394,2026-08-28T09:35:05.769017,robot1,m7,s2
e41,Task,place,2026-08-28T09:35:05.771264,2026-08-28T09:35:08.776730,robot1,m7,s2
e42,Control,move_to,2026-08-28T09:35:09.722486,2026-08-28T09:35:22.376507,robot1,m2,s2
e43,Control,localize,2026-08-28T09:35:22.378210,2026-08-28T09:35:27.382574,robot1,m2,s2
e44,Task,pick,2026-08-28T09:35:27.383316,2026-08-28T09:35:29.386794,robot1,m2,s2
e45,Task,move_to,2026-08-28T09:35:29.388536,2026-08-28T09:35:37.876295,robot1,m2,s2
e46,Control,localize,2026-08-28T09:35:37.879264,2026-08-28T09:35:42.888698,robot1,m2,s2
e47,Task,place,2026-08-28T09:35:42.890479,2026-08-28T09:35:44.896530,robot1,m2,s2
e48,Control,move_to,2026-08-28T09:35:45.725351,2026-08-28T09:35:50.234259,robot1,m8,s3
e49,Control,localize,2026-08-28T09:35:50.235342,2026-08-28T09:35:55.246313,robot1,m8,s3
e50,Task,pick,2026-08-28T09:35:55.248027,2026-08-28T09:35:58.252689,robot1,m8,s3
e51,Task,move_to,2026-08-28T09:35:58.256526,2026-08-28T09:36:03.920028,robot1,m8,s3
e52,Control,localize,2026-08-28T09:36:03.924609,2026-08-28T09:36:08.928034,robot1,m8,s3
e53,Task,place,2026-08-28T09:36:08.930260,2026-08-28T09:36:11.939329,robot1,m8,s3
e54,Control,move_to,2026-08-28T09:36:12.718084,2026-08-28T09:36:20.967571,robot1,m8,s4
e55,Control,localize,2026-08-28T09:36:20.968200,2026-08-28T09:36:25.973838,robot1,m8,s4
e56,Task,pick,2026-08-28T09:36:25.976823,2026-08-28T09:36:32.983281,robot1,m8,s4
e57,Task,move_to,2026-08-28T09:36:32.988077,2026-08-28T09:36:44.308528,robot1,m8,s4
e58,Control,localize,2026-08-28T09:36:44.311784,2026-08-28T09:36:49.316941,robot1,m8,s4
e59,Task,place,2026-08-28T09:36:49.319418,2026-08-28T09:36:56.325457,robot1,m8,s4
e60,Control,move_to,2026-08-28T09:36:56.746234,2026-08-28T09:37:02.752667,robot1,m4,s1
e61,Control,localize,2026-08-28T09:37:02.754586,2026-08-28T09:37:07.757956,robot1,m4,s1
e62,Task,pick,2026-08-28T09:37:07.758482,2026-08-28T09:37:11.764509,robot1,m4,s1
e63,Task,move_to,2026-08-28T09:37:11.769011,2026-08-28T09:37:20.261893,robot1,m4,s1
e64,Control,localize,2026-08-28T09:37:20.265815,2026-08-28T09:37:25.273451,robot1,m4,s1
e65,Task,place,2026-08-28T09:37:25.275974,2026-08-28T09:37:29.283968,robot1,m4,s1
e66,Control,move_to,2026-08-28T09:37:29.722869,2026-08-28T09:37:37.727491,robot1,m6,s1
e67,Control,localize,2026-08-28T09:37:37.729525,2026-08-28T09:37:42.734466,robot1,m6,s1
e68,Task,pick,2026-08-28T09:37:42.735291,2026-08-28T09:37:52.740569,robot1,m6,s1
e69,Task,move_to,2026-08-28T09:37:52.743913,2026-08-28T09:37:52.747242,robot1,m6,s1
e70,Control,localize,2026-08-28T09:37:52.749724,2026-08-28T09:37:57.754179,robot1,m6,s1
e71,Task,place,2026-08-28T09:37:57.755303,2026-08-28T09:38:07.760051,robot1,m6,s1
e72,Control,move_to,2026-08-28T09:38:08.729984,2026-08-28T09:38:17.679961,robot1,m6,s2
e73,Control,localize,2026-08-28T09:38:17.682761,2026-08-28T09:38:22.690332,robot1,m6,s2
e74,Task,pick,2026-08-28T09:38:22.691638,2026-08-28T09:38:25.697646,robot1,m6,s2
e75,Task,move_to,2026-08-28T09:38:25.700389,2026-08-28T09:38:37.019631,robot1,m6,s2
e76,Control,localize,2026-08-28T09:38:37.022544,2026-08-28T09:38:42.026384,robot1,m6,s2
e77,Task,place,2026-08-28T09:38:42.026953,2026-08-28T09:38:45.032667,robot1,m6,s2
e78,Control,localize,2026-08-28T09:39:07.733244,2026-08-28T09:39:12.741272,robot1,m6,s3
e79,Task,pick,2026-08-28T09:39:12.743940,2026-08-28T09:39:17.752617,robot1,m6,s3
e80,Task,move_to,2026-08-28T09:39:17.754786,2026-08-28T09:39:26.246250,robot1,m6,s3
e81,Control,localize,2026-08-28T09:39:26.251059,2026-08-28T09:39:31.259183,robot1,m6,s3
e82,Task,place,2026-08-28T09:39:31.260955,2026-08-28T09:39:36.266590,robot1,m6,s3
e83,Control,undock,2026-08-28T09:31:18.745347,2026-08-28T09:31:22.749056,robot2,m3,s2
e84,Control,move_to,2026-08-28T09:31:22.749559,2026-08-28T09:31:31.238275,robot2,m3,s2
e85,Control,localize,2026-08-28T09:31:31.239627,2026-08-28T09:31:36.246348,robot2,m3,s2
e86,Task,pick,2026-08-28T09:31:36.248078,2026-08-28T09:31:39.252034,robot2,m3,s2
e87,Task,move_to,2026-08-28T09:31:39.253470,2026-08-28T09:31:44.916395,robot2,m3,s2
e88,Control,localize,2026-08-28T09:31:44.921948,2026-08-28T09:31:49.930651,robot2,m3,s2
