event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-28T10:01:18.471411,2026-08-28T10:01:22.477043,robot1,m1,s1
e2,Control,move_to,2026-08-28T10:01:22.478151,2026-08-28T10:01:41.353999,robot1,m1,s1
e3,Control,localize,2026-08-28T10:01:41.355682,2026-08-28T10:01:46.360717,robot1,m1,s1
e4,Task,pick,2026-08-28T10:01:46.361543,2026-08-28T10:01:54.365501,robot1,m1,s1
e5,Task,move_to,2026-08-28T10:01:54.366861,2026-08-28T10:01:54.369561,robot1,m1,s1
e6,Control,localize,2026-08-28T10:01:54.370930,2026-08-28T10:01:59.376069,robot1,m1,s1
e7,Task,place,2026-08-28T10:01:59.378472,2026-08-28T10:02:07.382921,robot1,m1,s1
e8,Control,localize,2026-08-28T10:02:07.474422,2026-08-28T10:02:12.479758,robot1,m1,s2
e9,Task,pick,2026-08-28T10:02:12.481038,2026-08-28T10:02:14.485974,robot1,m1,s2
e10,Task,move_to,2026-08-28T10:02:14.488718,2026-08-28T10:02:22.979032,robot1,m1,s2
e11,Control,localize,2026-08-28T10:02:22.982296,2026-08-28T10:02:27.987065,robot1,m1,s2
e12,Task,place,2026-08-28T10:02:27.988257,2026-08-28T10:02:29.993988,robot1,m1,s2
e13,Control,move_to,2026-08-28T10:02:30.473473,2026-08-28T10:02:38.972458,robot1,m3,s1
e14,Control,localize,2026-08-28T10:02:38.975140,2026-08-28T10:02:43.983277,robot1,m3,s1
e15,Task,pick,2026-08-28T10:02:43.987398,2026-08-28T10:02:47.994141,robot1,m3,s1
e16,Task,move_to,2026-08-28T10:02:47.997280,2026-08-28T10:02:56.490156,robot1,m3,s1
e17,Control,localize,2026-08-28T10:02:56.493851,2026-08-28T10:03:01.498939,robot1,m3,s1
e18,Task,place,2026-08-28T10:03:01.499600,2026-08-28T10:03:05.506609,robot1,m3,s1
e19,Control,move_to,2026-08-28T10:03:06.471169,2026-08-28T10:03:14.981221,robot1,m5,s2
e20,Control,localize,2026-08-28T10:03:14.983045,2026-08-28T10:03:19.987639,robot1,m5,s2
e21,Task,pick,2026-08-28T10:03:19.988420,2026-08-28T10:03:22.992368,robot1,m5,s2
e22,Task,move_to,2026-08-28T10:03:22.995300,2026-08-28T10:03:31.486693,robot1,m5,s2
e23,Control,localize,2026-08-28T10:03:31.490861,2026-08-28T10:03:36.499063,robot1,m5,s2
e24,Task,place,2026-08-28T10:03:36.501985,2026-08-28T10:03:39.518400,robot1,m5,s2
e25,Control,move_to,2026-08-28T10:03:40.473805,2026-08-28T10:03:54.902027,robot1,m7,s2
