event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-28T09:42:22.772436,2026-08-28T09:42:26.779212,robot1,m5,s3
e2,Control,move_to,2026-08-28T09:42:26.780519,2026-08-28T09:42:32.441836,robot1,m5,s3
e3,Control,localize,2026-08-28T09:42:32.442411,2026-08-28T09:42:37.444317,robot1,m5,s3
e4,Task,pick,2026-08-28T09:42:37.445771,2026-08-28T09:42:42.451571,robot1,m5,s3
e5,Task,move_to,2026-08-28T09:42:42.455395,2026-08-28T09:42:50.949280,robot1,m5,s3
e6,Control,localize,2026-08-28T09:42:50.953516,2026-08-28T09:42:55.962219,robot1,m5,s3
e7,Task,place,2026-08-28T09:42:55.964121,2026-08-28T09:43:00.971524,robot1,m5,s3
e8,Control,move_to,2026-08-28T09:43:01.771308,2026-08-28T09:43:06.249057,robot1,m7,s3
e9,Control,localize,2026-08-28T09:43:06.250833,2026-08-28T09:43:11.256158,robot1,m7,s3
e10,Task,pick,2026-08-28T09:43:11.257586,2026-08-28T09:43:14.262777,robot1,m7,s3
e11,Task,move_to,2026-08-28T09:43:14.264803,2026-08-28T09:43:19.928293,robot1,m7,s3
e12,Control,localize,2026-08-28T09:43:19.933960,2026-08-28T09:43:25.029617,robot1,m7,s3
e13,Task,place,2026-08-28T09:43:25.038465,2026-08-28T09:43:28.051931,robot1,m7,s3
e14,Control,localize,2026-08-28T09:43:28.766686,2026-08-28T09:43:33.779323,robot1,m5,s1
e15,Task,pick,2026-08-28T09:43:33.782204,2026-08-28T09:43:37.787668,robot1,m5,s1
e16,Task,move_to,2026-08-28T09:43:37.791312,2026-08-28T09:43:46.283625,robot1,m5,s1
e17,Control,localize,2026-08-28T09:43:46.289180,2026-08-28T09:43:51.297348,robot1,m5,s1
e18,Task,place,2026-08-28T09:43:51.298874,2026-08-28T09:43:55.308572,robot1,m5,s1
e19,Control,move_to,2026-08-28T09:43:55.774514,2026-08-28T09:44:04.265816,robot1,m5,s4
e20,Control,localize,2026-08-28T09:44:04.268284,2026-08-28T09:44:09.272039,robot1,m5,s4
e21,Task,pick,2026-08-28T09:44:09.272695,2026-08-28T09:44:13.275068,robot1,m5,s4
e22,Task,move_to,2026-08-28T09:44:13.276657,2026-08-28T09:44:21.766145,robot1,m5,s4
e23,Control,localize,2026-08-28T09:44:21.768845,2026-08-28T09:44:26.773705,robot1,m5,s4
e24,Task,place,2026-08-28T09:44:26.775317,2026-08-28T09:44:30.781351,robot1,m5,s4
e25,Control,move_to,2026-08-28T09:44:31.880795,2026-08-28T09:44:42.659804,robot1,m8,s3
e26,Control,localize,2026-08-28T09:44:42.663098,2026-08-28T09:44:47.670720,robot1,m8,s3
e27,Task,pick,2026-08-28T09:44:47.674479,2026-08-28T09:44:50.682775,robot1,m8,s3
e28,Task,move_to,2026-08-28T09:44:50.687812,2026-08-28T09:44:56.350648,robot1,m8,s3
e29,Control,localize,2026-08-28T09:44:56.353349,2026-08-28T09:45:01.358691,robot1,m8,s3
e30,Task,place,2026-08-28T09:45:01.360515,2026-08-28T09:45:04.368783,robot1,m8,s3
e31,Control,move_to,2026-08-28T09:45:04.772270,2026-08-28T09:45:10.780635,robot1,m3,s1
e32,Control,localize,2026-08-28T09:45:10.782078,2026-08-28T09:45:15.786933,robot1,m3,s1
e33,Task,pick,2026-08-28T09:45:15.787686,2026-08-28T09:45:19.790723,robot1,m3,s1
e34,Task,move_to,2026-08-28T09:45:19.795728,2026-08-28T09:45:28.292537,robot1,m3,s1
e35,Control,localize,2026-08-28T09:45:28.294330,2026-08-28T09:45:33.297912,robot1,m3,s1
e36,Task,place,2026-08-28T09:45:33.298607,2026-08-28T09:45:37.299687,robot1,m3,s1
e37,Control,localize,2026-08-28T09:45:37.777089,2026-08-28T09:45:42.782238,robot1,m8,s5
e38,Task,pick,2026-08-28T09:45:42.783492,2026-08-28T09:45:47.788278,robot1,m8,s5
e39,Task,move_to,2026-08-28T09:45:47.790774,2026-08-28T09:45:56.281538,robot1,m8,s5
e40,Control,localize,2026-08-28T09:45:56.285149,2026-08-28T09:46:01.291185,robot1,m8,s5
e41,Task,place,2026-08-28T09:46:01.293695,2026-08-28T09:46:06.303229,robot1,m8,s5
